time,latent,alpha,beta,lambda
1940-01-16 00:00:00,2.1871605,1.0005201,1.0030197,0.9975079
1940-02-15 00:00:00,3.8283124,1.000722,1.0034469,0.9972845
1940-03-16 00:00:00,0.2530781,0.99996936,1.0022229,0.9977515
1940-04-15 12:00:00,0.1998192,1.001027,1.0002598,1.000767
1940-05-16 00:00:00,2.0611093,1.0013802,1.000695,1.0006847
1940-06-15 12:00:00,0.053701404,1.0012388,1.000583,1.0006554
1940-07-16 00:00:00,1.5326653,1.0008792,0.9985403,1.0023423
1940-08-16 00:00:00,0.8838235,1.000376,0.9978333,1.0025482
1940-09-15 12:00:00,0.113442786,1.0011964,1.0003828,1.0008132
1940-10-16 00:00:00,0.3176753,0.99997276,1.0001804,0.99979246
1940-11-15 12:00:00,1.2221708,1.0016668,1.0005232,1.001143
1940-12-16 00:00:00,0.88385504,1.0006591,1.0032415,0.9974259
1941-01-16 00:00:00,2.3845425,1.0007128,1.0028485,0.9978703
1941-02-14 12:00:00,1.4007168,1.0010834,1.0038285,0.99726534
1941-03-16 00:00:00,0.3561476,1.0000025,1.0027307,0.9972792
1941-04-15 12:00:00,0.15369342,0.99978864,1.001365,0.99842584
1941-05-16 00:00:00,0.10878452,0.99974954,1.0000929,0.99965674
1941-06-15 12:00:00,1.7810924,1.001426,0.999996,1.00143
1941-07-16 00:00:00,0.13368331,1.0011057,0.9996582,1.0014479
1941-08-16 00:00:00,1.1970705,1.0015361,1.0001196,1.0014164
1941-09-15 12:00:00,0.3595044,1.0002993,0.9976086,1.0026972
1941-10-16 00:00:00,1.3617847,1.0015626,1.0004834,1.0010787
1941-11-15 12:00:00,0.59299105,1.0001204,0.9998169,1.0003035
1941-12-16 00:00:00,0.88921356,1.0007918,1.0030634,0.99773526
1942-01-16 00:00:00,0.74892044,1.0003792,1.0022384,0.998145
1942-02-14 12:00:00,0.034918,1.0002184,1.0023052,0.99791807
1942-03-16 00:00:00,2.3991404,1.0004169,0.99998355,1.0004333
1942-04-15 12:00:00,1.7236587,1.0001394,1.0017555,0.99838674
1942-05-16 00:00:00,1.0353397,0.9999544,0.9997457,1.0002087
1942-06-15 12:00:00,0.42243996,1.0006509,0.99877566,1.0018775
1942-07-16 00:00:00,1.4820234,1.0004109,0.9977858,1.002631
1942-08-16 00:00:00,1.1120806,1.0006279,0.9982891,1.0023428
1942-09-15 12:00:00,3.8790908,0.9997889,0.99639934,1.0034018
1942-10-16 00:00:00,1.0175337,1.0014738,1.000825,1.0006483
1942-11-15 12:00:00,0.19340986,1.0000799,1.0021683,0.9979161
1942-12-16 00:00:00,0.39600182,1.0007689,1.0002788,1.00049
1943-01-16 00:00:00,0.083917536,1.0007328,1.002718,0.9980202
1943-02-14 12:00:00,0.46443906,0.9998629,0.99992317,0.99993974
1943-03-16 00:00:00,0.049041,0.999269,1.0013412,0.9979306
1943-04-15 12:00:00,0.7684869,1.0003964,1.0001829,1.0002135
1943-05-16 00:00:00,1.3647064,1.0006634,0.9983418,1.0023254
1943-06-15 12:00:00,0.3446958,1.001262,0.999766,1.0014963
1943-07-16 00:00:00,2.6359508,1.0012641,0.9996562,1.0016085
1943-08-16 00:00:00,0.59049094,0.99975944,0.99643755,1.0033338
1943-09-15 12:00:00,0.4056146,0.9999899,0.996736,1.0032645
1943-10-16 00:00:00,1.5343659,1.0014554,1.0009822,1.0004728
1943-11-15 12:00:00,0.13257599,1.0012819,1.0001637,1.001118
1943-12-16 00:00:00,1.3387799,0.999977,1.0006329,0.9993445
1944-01-16 00:00:00,6.7093334,0.9997082,1.0007795,0.9989295
1944-02-15 00:00:00,3.651307,0.9999827,1.0022508,0.997737
1944-03-16 00:00:00,0.9388581,0.9996859,0.9998795,0.9998064
1944-04-15 12:00:00,1.971518,0.9995997,0.9995991,1.0000006
1944-05-16 00:00:00,0.69677365,1.0016342,1.0010628,1.0005709
1944-06-15 12:00:00,2.1969566,1.0014497,1.0010595,1.0003898
1944-07-16 00:00:00,1.7135535,1.0002278,0.9974231,1.0028119
1944-08-16 00:00:00,0.06813182,0.99973136,0.99630153,1.0034425
1944-09-15 12:00:00,0.18903935,1.0002218,0.9977334,1.0024941
1944-10-16 00:00:00,1.2385409,1.0017004,1.0015379,1.0001622
1944-11-15 12:00:00,0.2884121,0.99967444,1.0013694,0.9983074
1944-12-16 00:00:00,0.7604336,0.99978137,1.000649,0.99913293
1945-01-16 00:00:00,0.57454395,1.0020735,1.001319,1.0007535
1945-02-14 12:00:00,1.4792846,0.9997134,1.0014198,0.9982961
1945-03-16 00:00:00,0.75164133,0.9999901,1.001967,0.998027
1945-04-15 12:00:00,0.73843414,1.0010095,0.9996929,1.0013169
1945-05-16 00:00:00,0.26239923,0.9999975,0.9992275,1.0007706
1945-06-15 12:00:00,1.0560182,1.0013546,1.0000495,1.001305
1945-07-16 00:00:00,0.3105407,1.0003494,0.99756235,1.0027939
1945-08-16 00:00:00,0.47632492,1.0006496,0.9983223,1.0023311
1945-09-15 12:00:00,0.6709655,1.0000942,0.9974911,1.0026096
1945-10-16 00:00:00,1.2986432,0.99992,1.0005214,0.9993989
1945-11-15 12:00:00,2.7356944,0.99941415,1.0001684,0.9992458
1945-12-16 00:00:00,0.7374328,1.0001934,1.002265,0.9979331
1946-01-16 00:00:00,1.4404938,1.000404,1.000057,1.000347
1946-02-14 12:00:00,0.16056189,1.0008794,1.0006175,1.0002618
1946-03-16 00:00:00,3.1331124,0.9992491,1.0011557,0.9980956
1946-04-15 12:00:00,0.6908161,1.0012468,1.0002489,1.0009977
1946-05-16 00:00:00,4.9213667,1.0015646,1.0010778,1.0004864
1946-06-15 12:00:00,1.1507282,0.99998033,0.9968887,1.0031012
