year,sim,signal,Scale_Sig,Scale_Int,Scale_Dur,Scale_Freq
2025,0,1.000904562148646,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2026,0,1.0004842927793056,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2027,0,1.0002298559667262,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2028,0,0.9995404364850293,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2029,0,0.9998493897119267,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2030,0,1.0000869525448455,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2031,0,1.0000606239121184,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2032,0,1.0004486556184284,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2033,0,0.9999173460983685,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2034,0,1.0004032680174502,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2035,0,1.000509105900928,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2036,0,0.9999837660182762,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2037,0,1.0003463433491024,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2038,0,1.0003820260412595,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2039,0,0.9999791411643617,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2040,0,1.0008348518111143,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2041,0,1.000998833426212,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2042,0,1.0003767036470959,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2043,0,1.000760251985202,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2044,0,1.0008598595724099,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2025,1,1.0001204972161748,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2026,1,1.0002389661006486,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2027,1,1.000286795327394,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2028,1,0.9999202171405139,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2029,1,1.0001369581378765,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2030,1,1.0002378343419083,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2031,1,1.0004694126175058,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2032,1,1.000413798017589,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2033,1,1.0001795089213588,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2034,1,1.0006257822336329,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2035,1,1.0009367081144043,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2036,1,1.000453325139952,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2037,1,1.0002668888998338,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2038,1,1.0001727459176086,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2039,1,1.0001692290389532,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2040,1,1.0004256357845016,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2041,1,1.0002266384610647,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2042,1,1.0001780511208989,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2043,1,1.0004984568824198,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2044,1,1.000478412229329,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2025,2,1.0005610750380975,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2026,2,0.9999690967570513,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
2027,2,1.0007531778510634,1.0000869966946446,44358.97435897436,3.9358974358974357,0.9176470588235294
