year,sim,signal,Scale_Sig,Scale_Int,Scale_Dur,Scale_Freq
1990,0,1.000191561089335,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1991,0,0.9999678322286754,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1992,0,1.0010747625336762,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1993,0,1.0002428661431417,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1994,0,0.9997341373360856,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1995,0,1.0003539123913168,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1996,0,1.0002246013510048,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1997,0,1.0002428656296587,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1998,0,0.9999575746440111,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1999,0,1.0003278645109375,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
2000,0,1.0004634943222064,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
2001,0,1.0003397270029706,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
2002,0,1.0002969468937848,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
2003,0,1.000757162819389,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
2004,0,1.0009677605068654,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1990,1,1.0001239897517034,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1991,1,1.000277708671641,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1992,1,1.0000700663084006,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1993,1,1.0004223436450206,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1994,1,1.0003009894022141,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1995,1,1.0004333070352305,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1996,1,1.0003961619525041,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1997,1,1.0007086529930496,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1998,1,1.0008092443697765,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1999,1,1.0003028960861438,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
2000,1,0.9999573677632813,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
2001,1,1.0003932306632348,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
2002,1,1.000405061263147,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
2003,1,1.0002241283654372,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
2004,1,1.0003322722127799,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1990,2,1.000749343887605,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1991,2,1.000481121562821,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1992,2,1.0004377920105025,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1993,2,1.0008007493019662,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1994,2,1.0000869179929401,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1995,2,1.0000932370792108,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1996,2,1.0004147943386283,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1997,2,1.0003473194990387,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1998,2,1.0000639685919865,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1999,2,1.000486063108821,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
2000,2,0.9999152680310426,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
2001,2,1.0001556030359624,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
2002,2,1.0006217225234437,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
2003,2,1.0003389753122518,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
2004,2,1.0004076197325549,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1990,3,1.000845394298,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1991,3,1.0004199033378725,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1992,3,1.0000768092236891,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1993,3,1.0002576655435398,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1994,3,1.0002521599665108,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1995,3,1.000652053697121,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1996,3,1.0001722377047992,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1997,3,1.0002038936114286,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1998,3,0.9999124767343481,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1999,3,1.0000000360414574,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
2000,3,0.9999637284731965,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
2001,3,1.0001768656328347,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
2002,3,0.9999258284197491,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
2003,3,1.00057936635468,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
2004,3,1.0009541675385205,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1990,4,1.0003425323921544,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1991,4,1.000189671975376,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1992,4,1.0004697576205963,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1993,4,1.0002569774014418,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1994,4,1.0008832190488617,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1995,4,1.000582033842868,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1996,4,1.0006413973461978,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1997,4,1.0006102162771524,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1998,4,0.9998318751994919,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
1999,4,0.9999785454381408,1.0001624361164434,51893.333333333336,3.1555555555555554,0.9
