Year,Signal,Cluster_ID,Duration,Intensity,Frequency
1980,1.0001273478868358,1980.1,8,80200.0,2
1980,1.0001273478868358,1980.2,8,34500.0,2
1981,1.000195454758967,1981.1,6,36100.0,1
1982,0.9991788686382345,1982.1,7,25000.0,5
1982,0.9991788686382345,1982.2,4,84200.0,5
1982,0.9991788686382345,1982.3,6,25000.0,5
1982,0.9991788686382345,1982.4,4,49400.0,5
1982,0.9991788686382345,1982.5,3,34800.0,5
1983,0.9992024242731719,1983.1,3,25400.0,9
1983,0.9992024242731719,1983.2,4,24100.0,9
1983,0.9992024242731719,1983.3,3,19800.0,9
1983,0.9992024242731719,1983.4,8,24900.0,9
1983,0.9992024242731719,1983.5,8,34400.0,9
1983,0.9992024242731719,1983.6,1,20700.0,9
1983,0.9992024242731719,1983.7,4,36200.0,9
1983,0.9992024242731719,1983.8,4,25600.0,9
1983,0.9992024242731719,1983.9,6,47200.0,9
1984,1.000268916032043,1984.0,3,19600.0,1
1985,1.000496339848911,1985.0,0,4110.0,0
1986,1.0002999289329402,1986.1,14,131000.0,2
1986,1.0002999289329402,1986.2,9,40900.0,2
1987,0.9999661906488068,1987.0,0,3500.0,0
1988,1.0003357718450658,1988.0,0,4550.0,0
1989,1.0008919777656264,1989.1,3,24400.0,1
1990,1.0004449120457264,1990.0,0,7930.0,0
1991,1.00023945198838,1991.0,0,4440.0,0
1992,1.0002374500892932,1992.0,0,4670.0,0
1993,1.000247516739351,1993.0,0,16100.0,0
1994,1.0006322770561442,1994.0,0,4090.0,0
1995,1.000348084153609,1995.1,2,26700.0,7
1995,1.000348084153609,1995.2,2,28400.0,7
1995,1.000348084153609,1995.3,1,17200.0,7
1995,1.000348084153609,1995.4,8,41800.0,7
1995,1.000348084153609,1995.5,6,22700.0,7
1995,1.000348084153609,1995.6,16,22600.0,7
1995,1.000348084153609,1995.7,5,32900.0,7
1996,0.9997695016820374,1996.1,5,27700.0,6
1996,0.9997695016820374,1996.2,6,22600.0,6
1996,0.9997695016820374,1996.3,5,43700.0,6
1996,0.9997695016820374,1996.4,3,24400.0,6
1996,0.9997695016820374,1996.5,4,27300.0,6
1996,0.9997695016820374,1996.6,4,32200.0,6
1997,1.0000649729722066,1997.0,14,106000.0,2
1997,1.0000649729722066,1997.1,10,32000.0,2
1998,0.9995822624001435,1998.1,6,33700.0,1
1999,1.000370891718079,1999.1,3,19600.0,3
1999,1.000370891718079,1999.2,3,23900.0,3
1999,1.000370891718079,1999.3,3,21800.0,3
2000,1.0001457090735717,2000.1,5,24100.0,1
2001,1.0001872366414908,2001.0,0,3110.0,0
2002,1.0007356303992128,2002.0,0,4020.0,0
2003,1.0004554185465808,2003.0,0,7000.0,0
2004,1.0001849187710485,2004.0,0,7930.0,0
2005,0.9998305903432733,2005.1,4,23900.0,2
2005,0.9998305903432733,2005.2,7,36300.0,2
2006,1.0000809076656678,2006.0,11,36200.0,2
2006,1.0000809076656678,2006.1,16,34900.0,2
2007,1.0006478225703066,2007.0,0,4520.0,0
2008,1.0009496973288727,2008.0,0,4400.0,0
2009,1.0002089093206772,2009.0,0,5510.0,0
2010,0.9997101220458628,2010.1,8,30900.0,1
2011,1.000327633891215,2011.1,14,26300.0,1
2012,1.0004786846036335,2012.0,0,9930.0,0
2013,1.000859493994646,2013.0,0,4850.0,0
2014,1.0004295489887964,2014.0,0,2540.0,0
