Year,Signal,Cluster_ID,Duration,Intensity,Frequency
1940,1.0002824089227065,1940.1,3,57500.0,3
1940,1.0002824089227065,1940.2,1,47400.0,3
1940,1.0002824089227065,1940.3,2,69600.0,3
1941,1.000215835050761,1941.0,0,26900.0,0
1942,1.0004494176307435,1942.1,2,54600.0,2
1942,1.0004494176307435,1942.2,1,32600.0,2
1943,1.0007334495925277,1943.1,3,73800.0,2
1943,1.0007334495925277,1943.2,3,73700.0,2
1944,1.0002398006557873,1944.0,0,12400.0,0
1945,1.000277983476902,1945.1,2,70900.0,3
1945,1.000277983476902,1945.2,1,32400.0,3
1945,1.000277983476902,1945.3,1,32200.0,3
1946,1.0007042102640895,1946.0,0,13300.0,0
1947,1.0006420963949898,1947.0,0,20100.0,0
1948,1.000313566018315,1948.0,0,17600.0,0
1949,1.0004404551127553,1949.0,0,25500.0,0
1950,1.000023465482552,1950.1,5,132000.0,3
1950,1.000023465482552,1950.2,2,76400.0,3
1950,1.000023465482552,1950.3,3,60300.0,3
1951,1.0002466881838763,1951.1,1,39500.0,1
1952,1.0001333733281912,1952.0,0,30500.0,0
1953,1.0004665698922643,1953.0,0,27600.0,0
1954,1.0005871846178571,1954.1,1,36500.0,1
1955,1.0006468260061168,1955.1,7,69300.0,1
1956,1.0009496664618314,1956.1,3,33500.0,1
1957,1.0001419908186344,1957.0,0,28200.0,0
1958,1.0002009979503748,1958.1,1,33000.0,1
1959,1.000889381525657,1959.0,0,6260.0,0
1960,1.0003436998909099,1960.0,0,5170.0,0
1961,1.000214089438093,1961.0,0,4540.0,0
1962,1.0002259142363428,1962.0,0,7870.0,0
1963,1.0000766462296597,1963.1,5,74100.0,1
1964,1.0003251336850645,1964.1,7,115000.0,1
1965,1.0000955118923944,1965.1,3,35500.0,1
1966,1.0006326148610465,1966.0,0,22600.0,0
1967,1.0001244770650985,1967.1,1,35900.0,1
1968,1.000096570888592,1968.0,0,8230.0,0
1969,1.0004279926535455,1969.1,3,67200.0,2
1969,1.0004279926535455,1969.2,3,39900.0,2
