time,latent,alpha,beta,lambda
1940-01-16 00:00:00,0.24450567,1.00074,1.0039891,0.9967639
1940-02-15 00:00:00,1.4966602,1.0006481,1.0037866,0.99687344
1940-03-16 00:00:00,0.20270935,1.0003644,1.0026097,0.99776053
1940-04-15 12:00:00,0.1993179,1.0001959,0.9969913,1.0032142
1940-05-16 00:00:00,1.8515956,0.99882114,0.99805504,1.0007676
1940-06-15 12:00:00,1.2089651,0.9996514,0.99903005,1.0006219
1940-07-16 00:00:00,0.25006795,0.9979008,0.9979771,0.9999235
1940-08-16 00:00:00,1.5776614,0.99754095,0.9977213,0.9998192
1940-09-15 12:00:00,1.4620782,1.0003531,0.9990584,1.0012959
1940-10-16 00:00:00,1.5825052,0.99987465,0.99823326,1.0016443
1940-11-15 12:00:00,0.10148642,0.9996732,0.99833447,1.001341
1940-12-16 00:00:00,0.9121562,1.0010936,1.0043153,0.9967922
1941-01-16 00:00:00,1.2625334,1.0012658,1.004454,0.9968259
1941-02-14 12:00:00,1.2083395,1.001294,1.004672,0.9966377
1941-03-16 00:00:00,1.0322094,1.0020605,1.0036455,0.9984208
1941-04-15 12:00:00,0.30048037,1.0003875,1.0012603,0.99912834
1941-05-16 00:00:00,0.2254951,0.99957615,0.99702287,1.0025609
1941-06-15 12:00:00,0.91966105,0.9992716,0.998302,1.0009712
1941-07-16 00:00:00,0.20669016,0.99887097,0.9985081,1.0003635
1941-08-16 00:00:00,0.8107848,1.0007743,0.9986036,1.0021737
1941-09-15 12:00:00,0.16431937,0.9974267,0.9975143,0.99991214
1941-10-16 00:00:00,0.57636577,1.0005702,0.9987096,1.001863
1941-11-15 12:00:00,0.42892283,1.0001827,0.9983551,1.0018307
1941-12-16 00:00:00,1.09955,1.000351,1.0038309,0.99653333
1942-01-16 00:00:00,0.48883885,1.0006622,1.0034714,0.99720055
1942-02-14 12:00:00,0.7389686,1.0006512,1.0023687,0.9982866
1942-03-16 00:00:00,2.5158424,0.9997642,0.99796075,1.0018071
1942-04-15 12:00:00,1.6201684,1.0001413,1.0016115,0.9985322
1942-05-16 00:00:00,0.49473935,0.99995977,0.9972154,1.0027521
1942-06-15 12:00:00,0.0107328845,0.9980795,0.9979654,1.0001143
1942-07-16 00:00:00,4.140337,0.99753314,0.99776465,0.99976796
1942-08-16 00:00:00,2.0688477,0.99766773,0.9980445,0.9996225
1942-09-15 12:00:00,1.0549474,0.99704945,0.99711984,0.9999294
1942-10-16 00:00:00,7.8718605,0.9996999,0.9999654,0.99973446
1942-11-15 12:00:00,0.35247898,0.99982595,1.0028232,0.9970112
1942-12-16 00:00:00,1.1730825,0.9996215,0.997226,1.0024022
1943-01-16 00:00:00,0.30724812,1.0003283,1.0039961,0.9963468
1943-02-14 12:00:00,0.16500087,1.0002179,0.9978573,1.0023657
1943-03-16 00:00:00,0.10285944,1.0004079,1.0021356,0.998276
1943-04-15 12:00:00,2.2036538,1.0001619,0.9973721,1.0027971
1943-05-16 00:00:00,0.35684305,0.99774784,0.9974445,1.0003041
1943-06-15 12:00:00,0.80409,0.99871653,0.99833924,1.0003779
1943-07-16 00:00:00,1.8503321,0.99828696,0.9981137,1.0001736
1943-08-16 00:00:00,2.3830621,0.9970299,0.9971104,0.99991924
1943-09-15 12:00:00,0.656879,0.99703723,0.99719006,0.99984676
1943-10-16 00:00:00,0.49511096,1.0002209,0.9982043,1.0020202
1943-11-15 12:00:00,0.562137,0.9990488,0.9979933,1.0010576
1943-12-16 00:00:00,0.6094291,1.0004244,0.9991628,1.0012627
1944-01-16 00:00:00,3.3141806,1.0005609,1.0009736,0.9995877
1944-02-15 00:00:00,0.4250656,1.0013667,1.0041695,0.9972089
1944-03-16 00:00:00,0.115243055,1.0001969,0.99828243,1.0019178
1944-04-15 12:00:00,0.33705384,1.0001613,0.9983829,1.0017812
1944-05-16 00:00:00,0.52993137,1.0004492,0.99785405,1.0026007
1944-06-15 12:00:00,1.7601421,0.99929696,0.9983273,1.0009713
1944-07-16 00:00:00,0.95628107,0.9972611,0.99750185,0.99975866
1944-08-16 00:00:00,0.5989165,0.9969794,0.99703336,0.9999459
1944-09-15 12:00:00,0.78761023,0.9974999,0.9976025,0.9998971
1944-10-16 00:00:00,0.047370665,0.9989563,0.99713314,1.0018284
1944-11-15 12:00:00,0.07762689,1.0005525,1.0026052,0.99795264
1944-12-16 00:00:00,0.34243152,1.0003059,1.0004636,0.99984235
1945-01-16 00:00:00,0.2839957,0.9993979,0.9984035,1.000996
1945-02-14 12:00:00,0.44970825,1.0002193,1.0028907,0.9973363
1945-03-16 00:00:00,0.7082493,1.0007832,1.0030174,0.9977725
1945-04-15 12:00:00,0.2598402,0.9990449,0.9974878,1.001561
1945-05-16 00:00:00,0.4652623,1.0004596,0.99697435,1.0034958
1945-06-15 12:00:00,0.64421105,0.9992084,0.99824494,1.0009651
1945-07-16 00:00:00,2.8423824,0.9974617,0.9975027,0.9999589
1945-08-16 00:00:00,1.491963,0.99776375,0.99771255,1.0000513
1945-09-15 12:00:00,2.055479,0.9977332,0.9978557,0.9998772
1945-10-16 00:00:00,0.5385018,1.0007313,1.0008172,0.9999142
1945-11-15 12:00:00,0.07836882,0.99957514,0.9998129,0.9997622
1945-12-16 00:00:00,0.25224817,1.0003676,1.0032306,0.9971463
1946-01-16 00:00:00,2.7785952,0.9999896,0.9978637,1.0021305
1946-02-14 12:00:00,0.5284793,1.000481,0.9984345,1.0020497
1946-03-16 00:00:00,1.6308354,1.000575,1.0029179,0.99766386
1946-04-15 12:00:00,0.86912924,0.9989222,0.99828196,1.0006413
1946-05-16 00:00:00,0.7232849,0.9996284,0.99873286,1.0008967
1946-06-15 12:00:00,0.44289234,0.9972748,0.99732083,0.99995387
1946-07-16 00:00:00,1.0628167,0.99888307,0.99810183,1.0007827
1946-08-16 00:00:00,0.5641678,0.9975761,0.9976879,0.999888
1946-09-15 12:00:00,0.17228274,0.99734455,0.9975907,0.99975324
1946-10-16 00:00:00,0.81653583,0.9998326,0.9982518,1.0015836
1946-11-15 12:00:00,0.19017121,1.0001824,1.002861,0.997329
1946-12-16 00:00:00,0.7636646,1.0003269,0.9993266,1.001001
1947-01-16 00:00:00,0.6272838,0.9998824,0.9980697,1.0018162
1947-02-14 12:00:00,1.3423377,0.9999267,1.0000108,0.99991584
1947-03-16 00:00:00,2.0842955,1.0004522,1.001279,0.99917424
1947-04-15 12:00:00,0.3554983,0.9999189,0.9979281,1.001995
1947-05-16 00:00:00,0.5231178,1.0000411,0.99884564,1.0011969
1947-06-15 12:00:00,0.5234522,1.0002116,0.9982062,1.002009
1947-07-16 00:00:00,0.2259324,0.9971642,0.9972114,0.9999527
1947-08-16 00:00:00,0.05543408,0.9980855,0.99855,0.99953485
1947-09-15 12:00:00,1.189624,0.9981847,0.9985303,0.9996538
1947-10-16 00:00:00,1.140017,0.9997596,0.99904716,1.0007131
1947-11-15 12:00:00,0.40295947,0.99977255,0.9979528,1.0018234
1947-12-16 00:00:00,0.83851117,1.0001757,0.99800867,1.0021714
1948-01-16 00:00:00,0.3736504,0.99914485,0.9981094,1.0010374
1948-02-15 00:00:00,0.16453955,1.0008966,0.9988001,1.002099
1948-03-16 00:00:00,0.5732184,1.0008682,1.0036128,0.99726534
1948-04-15 12:00:00,0.032592468,1.0008764,1.0039978,0.9968911
1948-05-16 00:00:00,1.5820732,1.0001597,0.9985071,1.0016551
1948-06-15 12:00:00,1.4708066,1.0012174,0.9987395,1.002481
1948-07-16 00:00:00,0.43244627,0.99736506,0.9973922,0.9999728
1948-08-16 00:00:00,2.2185528,0.9971718,0.99732584,0.99984556
1948-09-15 12:00:00,1.2376682,0.99781626,0.9979551,0.9998609
1948-10-16 00:00:00,0.72658753,0.99962455,0.99779946,1.0018291
1948-11-15 12:00:00,0.41857997,0.9982164,0.9966283,1.0015935
1948-12-16 00:00:00,1.8292954,1.0004152,1.0030309,0.99739224
1949-01-16 00:00:00,0.0653073,1.0011065,0.99931484,1.0017929
1949-02-14 12:00:00,1.0468014,1.0001123,1.000957,0.9991561
1949-03-16 00:00:00,0.16496427,1.0014615,1.0048789,0.9965992
1949-04-15 12:00:00,1.0008097,0.9995281,0.99801666,1.0015144
1949-05-16 00:00:00,1.0005947,1.001143,0.9986675,1.0024788
1949-06-15 12:00:00,0.04575618,0.99760616,0.9977707,0.9998351
1949-07-16 00:00:00,0.7474563,0.9973443,0.99750066,0.99984324
1949-08-16 00:00:00,1.1135241,0.99794984,0.9981299,0.9998196
1949-09-15 12:00:00,1.7947936,0.9977361,0.9980949,0.9996405
1949-10-16 00:00:00,2.0880723,0.9981128,0.99851006,0.99960214
1949-11-15 12:00:00,1.2217985,0.9998382,0.9979079,1.0019343
1949-12-16 00:00:00,2.500386,1.0004733,0.9995738,1.0008998
1950-01-16 00:00:00,0.38824198,1.0000647,1.0034081,0.99666804
1950-02-14 12:00:00,0.4658015,1.0006299,1.0006087,1.0000212
1950-03-16 00:00:00,0.23924112,1.0000725,0.999763,1.0003096
1950-04-15 12:00:00,0.35294622,1.0006799,0.9990255,1.0016559
1950-05-16 00:00:00,1.9702804,0.99983937,0.9979627,1.0018805
1950-06-15 12:00:00,2.990273,0.99936235,0.99836713,1.0009968
1950-07-16 00:00:00,2.780276,0.997973,0.9980696,0.99990326
1950-08-16 00:00:00,2.103924,0.9974706,0.9976445,0.9998257
1950-09-15 12:00:00,0.07014394,1.0002898,0.9980023,1.002292
1950-10-16 00:00:00,0.5385886,1.0004072,1.0012817,0.9991266
1950-11-15 12:00:00,2.0293047,0.9998434,1.0029768,0.99687594
1950-12-16 00:00:00,1.4412752,1.0000043,1.0024885,0.99752194
1951-01-16 00:00:00,1.4567723,1.0000248,1.0031538,0.9968808
1951-02-14 12:00:00,0.0890095,1.0007824,1.0005331,1.0002491
1951-03-16 00:00:00,1.6357646,0.9995985,0.99766874,1.0019343
1951-04-15 12:00:00,2.3048155,1.0010645,0.9984948,1.0025736
1951-05-16 00:00:00,0.537917,1.0003173,0.9983424,1.0019783
1951-06-15 12:00:00,1.9642106,0.99862266,0.9983819,1.0002412
1951-07-16 00:00:00,2.498036,0.9979329,0.99799114,0.99994165
1951-08-16 00:00:00,1.6723313,0.99866885,0.99890715,0.99976146
1951-09-15 12:00:00,0.41369104,0.9977466,0.9977101,1.0000366
1951-10-16 00:00:00,0.8937826,0.9996779,0.99730146,1.0023829
1951-11-15 12:00:00,1.9274443,0.99991244,1.0007988,0.99911433
1951-12-16 00:00:00,0.33677498,1.000523,1.0041593,0.9963787
1952-01-16 00:00:00,0.52622616,1.0001144,1.0037206,0.99640715
1952-02-15 00:00:00,0.47856787,0.99977744,1.0004909,0.9992869
1952-03-16 00:00:00,0.45886552,1.0006182,1.0038879,0.99674296
1952-04-15 12:00:00,0.58975846,1.000264,0.99882925,1.0014365
1952-05-16 00:00:00,2.4755616,0.99910283,0.9982493,1.0008551
1952-06-15 12:00:00,0.184702,1.0002396,0.997312,1.0029355
1952-07-16 00:00:00,0.8852315,1.0000863,0.9984275,1.0016614
1952-08-16 00:00:00,0.2613492,0.9974475,0.99760574,0.9998414
1952-09-15 12:00:00,1.5507337,0.99938333,0.9983047,1.0010804
1952-10-16 00:00:00,0.023891067,0.997261,0.99755126,0.999709
1952-11-15 12:00:00,0.00851368,1.0006343,0.9989775,1.0016586
1952-12-16 00:00:00,1.9891771,1.0002995,1.0035577,0.99675333
1953-01-16 00:00:00,0.82747924,0.9996254,1.001769,0.99786025
1953-02-14 12:00:00,1.3752201,0.9994017,0.99870497,1.0006976
1953-03-16 00:00:00,1.1097541,1.0001755,0.9995095,1.0006663
1953-04-15 12:00:00,1.2364699,1.000247,0.9993484,1.0008992
1953-05-16 00:00:00,0.11863018,1.000251,0.999137,1.0011151
1953-06-15 12:00:00,0.14207289,1.0002264,0.9982861,1.0019436
1953-07-16 00:00:00,0.029861515,0.99764985,0.99793214,0.9997171
1953-08-16 00:00:00,1.0221361,0.9987383,0.998703,1.0000353
1953-09-15 12:00:00,0.25840685,0.9977541,0.9980729,0.9996806
1953-10-16 00:00:00,0.4534729,1.0002052,0.9979234,1.0022866
1953-11-15 12:00:00,2.430787,1.0001338,0.9989157,1.0012194
1953-12-16 00:00:00,1.1508003,0.99967295,0.9982262,1.0014493
1954-01-16 00:00:00,1.2331461,1.001247,1.003603,0.99765253
1954-02-14 12:00:00,3.2370248,1.000701,1.0000603,1.0006406
1954-03-16 00:00:00,0.04127252,1.0007954,1.0036675,0.9971384
1954-04-15 12:00:00,0.9437081,1.000569,0.9976833,1.0028924
1954-05-16 00:00:00,1.4214106,0.99899834,0.9990525,0.99994576
1954-06-15 12:00:00,0.22716342,0.9997026,0.9987536,1.0009501
1954-07-16 00:00:00,1.1655637,0.997911,0.9980223,0.9998884
1954-08-16 00:00:00,0.13530044,0.99753964,0.9977372,0.99980193
1954-09-15 12:00:00,0.41386217,0.9972003,0.9973319,0.99986804
1954-10-16 00:00:00,1.2532135,0.99737024,0.99727815,1.0000924
1954-11-15 12:00:00,1.822121,1.0010592,0.9998032,1.0012562
1954-12-16 00:00:00,0.16378124,1.0007054,1.0025455,0.99816453
1955-01-16 00:00:00,0.55300695,1.0010858,1.0020651,0.9990227
1955-02-14 12:00:00,0.6699133,1.0005736,0.9983541,1.0022233
1955-03-16 00:00:00,0.57871574,0.999068,0.998379,1.0006901
1955-04-15 12:00:00,2.105259,1.0003253,1.0005803,0.99974513
1955-05-16 00:00:00,0.010107427,1.0000918,0.99720204,1.0028979
1955-06-15 12:00:00,1.682501,0.99840415,0.9983368,1.0000675
1955-07-16 00:00:00,1.0344187,0.99826854,0.99817497,1.0000937
1955-08-16 00:00:00,0.16923483,0.99716395,0.9972699,0.9998937
1955-09-15 12:00:00,2.357165,0.9994706,0.998567,1.0009049
1955-10-16 00:00:00,0.38200074,0.9982258,0.9980681,1.0001581
1955-11-15 12:00:00,1.0239712,1.000341,0.9993642,1.0009775
1955-12-16 00:00:00,0.34651515,0.99923646,1.0029576,0.99628985
1956-01-16 00:00:00,0.4720236,1.0000249,1.0031977,0.9968374
1956-02-15 00:00:00,0.3393985,1.0002933,0.99989533,1.0003979
1956-03-16 00:00:00,0.68268484,0.9993195,0.9989125,1.0004075
1956-04-15 12:00:00,3.4712439,0.99998105,0.99937856,1.0006028
1956-05-16 00:00:00,0.9103702,1.0003668,0.9981104,1.0022607
1956-06-15 12:00:00,3.4541705,0.9974444,0.9975246,0.9999196
1956-07-16 00:00:00,1.5212612,0.99865663,0.9984589,1.000198
1956-08-16 00:00:00,0.46440032,0.99751806,0.99788034,0.99963695
1956-09-15 12:00:00,1.0354216,0.9984258,0.99851006,0.9999156
1956-10-16 00:00:00,2.0025928,0.9993796,0.9981617,1.0012201
1956-11-15 12:00:00,0.16119374,0.99759096,0.9976595,0.9999313
1956-12-16 00:00:00,0.780444,0.9999533,0.9988409,1.0011137
1957-01-16 00:00:00,2.302303,1.0008394,1.0019096,0.99893177
1957-02-14 12:00:00,1.2995822,1.0002384,1.0008056,0.9994333
1957-03-16 00:00:00,0.37083295,1.0000472,1.0007392,0.9993085
1957-04-15 12:00:00,0.47109511,1.000397,0.9983382,1.0020622
1957-05-16 00:00:00,0.59512556,0.9994099,1.0007011,0.99870974
1957-06-15 12:00:00,0.35461402,0.99797654,0.9979374,1.0000392
1957-07-16 00:00:00,1.1322385,0.99782413,0.99796873,0.9998551
1957-08-16 00:00:00,1.6179572,0.9974742,0.9975235,0.9999506
1957-09-15 12:00:00,0.42859286,1.0005761,0.997918,1.0026637
1957-10-16 00:00:00,0.5866191,1.000432,1.0004736,0.9999584
1957-11-15 12:00:00,0.6317988,0.9996299,0.9965506,1.0030899
1957-12-16 00:00:00,1.038918,1.0003642,1.0011115,0.9992535
1958-01-16 00:00:00,1.4638125,1.0005274,1.0009941,0.9995338
1958-02-14 12:00:00,0.53510135,1.0006913,1.0039531,0.996751
1958-03-16 00:00:00,0.44940788,1.0011132,1.0045837,0.9965453
1958-04-15 12:00:00,1.3560203,1.0004917,1.0032308,0.99726975
1958-05-16 00:00:00,0.030718826,1.0003242,0.9978635,1.0024661
