sim,year,storm_index,unique_storm_id,signal,Frequency,Intensity,Duration,storm_day,daily_flow
0,2008,0,0_2008_0,0.5146464855958106,0.0,0.0,0,0,0
0,2009,0,0_2009_0,1.8721883462450655,0.0,0.0,0,0,0
0,2010,1,0_2010_1,2.572672590656131,1.0,88361.84072667525,3,1,88361.84072667525
0,2010,1,0_2010_1,2.572672590656131,1.0,88361.84072667525,3,2,69557.14693358418
0,2010,1,0_2010_1,2.572672590656131,1.0,88361.84072667525,3,3,50752.45314049311
0,2011,0,0_2011_0,6.096777662230588,0.0,0.0,0,0,0
0,2012,1,0_2012_1,4.527796264595157,2.0,28203.445520606958,3,1,27230.9129164481
0,2012,1,0_2012_1,4.527796264595157,2.0,28203.445520606958,3,2,28203.445520606958
0,2012,1,0_2012_1,4.527796264595157,2.0,28203.445520606958,3,3,24755.37537858918
0,2012,2,0_2012_2,4.527796264595157,2.0,82843.22823594164,4,1,43105.41956992086
0,2012,2,0_2012_2,4.527796264595157,2.0,82843.22823594164,4,2,82843.22823594164
0,2012,2,0_2012_2,4.527796264595157,2.0,82843.22823594164,4,3,52422.47640404437
0,2012,2,0_2012_2,4.527796264595157,2.0,82843.22823594164,4,4,30869.766619083945
0,2013,1,0_2013_1,2.427767531113896,1.0,170.57302933451982,1,1,170.57302933451982
0,2014,1,0_2014_1,1.9768072606449039,2.0,30266.598537856647,2,1,30266.598537856647
0,2014,1,0_2014_1,1.9768072606449039,2.0,30266.598537856647,2,2,26088.693831710792
0,2014,2,0_2014_2,1.9768072606449039,2.0,28409.356782775165,2,2,28409.356782775165
0,2014,2,0_2014_2,1.9768072606449039,2.0,28409.356782775165,2,1,27178.626525037613
0,2015,0,0_2015_0,3.7943386712255496,0.0,0.0,0,0,0
0,2016,0,0_2016_0,-0.21431599000264834,0.0,0.0,0,0,0
0,2017,0,0_2017_0,2.560201558906702,0.0,0.0,0,0,0
0,2018,1,0_2018_1,5.2628457141229195,1.0,20211.206260810806,1,1,20211.206260810806
0,2019,1,0_2019_1,4.932877361040257,1.0,39291.227014559794,4,1,34951.459660220055
0,2019,1,0_2019_1,4.932877361040257,1.0,39291.227014559794,4,4,12319.33958651281
0,2019,1,0_2019_1,4.932877361040257,1.0,39291.227014559794,4,3,21372.18761599571
0,2019,1,0_2019_1,4.932877361040257,1.0,39291.227014559794,4,2,39291.227014559794
0,2020,0,0_2020_0,1.4276047243354673,0.0,0.0,0,0,0
0,2021,0,0_2021_0,3.125728547129222,0.0,0.0,0,0,0
0,2022,1,0_2022_1,2.472243041146833,1.0,18398.23906992211,1,1,18398.23906992211
0,2023,1,0_2023_1,2.4710474510103704,2.0,14360.538346044928,1,1,14360.538346044928
0,2024,0,0_2024_0,4.486949015635797,0.0,0.0,0,0,0
100,2008,1,100_2008_1,1.3449528050093424,2.0,9292.790795002313,1,1,9292.790795002313
100,2008,2,100_2008_2,1.3449528050093424,2.0,334671.62990120397,6,5,314300.31329852197
100,2008,2,100_2008_2,1.3449528050093424,2.0,334671.62990120397,6,4,334671.62990120397
100,2008,2,100_2008_2,1.3449528050093424,2.0,334671.62990120397,6,6,243485.73653681795
100,2008,2,100_2008_2,1.3449528050093424,2.0,334671.62990120397,6,2,326911.1283382775
100,2008,2,100_2008_2,1.3449528050093424,2.0,334671.62990120397,6,3,334671.62990120397
100,2008,2,100_2008_2,1.3449528050093424,2.0,334671.62990120397,6,1,248336.050013647
100,2009,1,100_2009_1,2.2609174959806064,2.0,164151.4786506484,9,1,69617.81460630178
100,2009,1,100_2009_1,2.2609174959806064,2.0,164151.4786506484,9,7,97464.9404488225
100,2009,1,100_2009_1,2.2609174959806064,2.0,164151.4786506484,9,6,70106.36067371441
100,2009,1,100_2009_1,2.2609174959806064,2.0,164151.4786506484,9,9,81831.46629161788
100,2009,1,100_2009_1,2.2609174959806064,2.0,164151.4786506484,9,4,147052.36629120586
100,2009,1,100_2009_1,2.2609174959806064,2.0,164151.4786506484,9,3,164151.4786506484
100,2009,1,100_2009_1,2.2609174959806064,2.0,164151.4786506484,9,2,138502.8101114846
100,2009,1,100_2009_1,2.2609174959806064,2.0,164151.4786506484,9,5,63755.26179735005
100,2009,1,100_2009_1,2.2609174959806064,2.0,164151.4786506484,9,8,95510.75617917192
100,2009,2,100_2009_2,2.2609174959806064,2.0,27642.503549058394,2,1,27642.503549058394
100,2009,2,100_2009_2,2.2609174959806064,2.0,27642.503549058394,2,2,20994.306492955744
100,2010,1,100_2010_1,1.5117787089353238,2.0,213099.05711728803,5,5,161178.7359976098
100,2010,1,100_2010_1,1.5117787089353238,2.0,213099.05711728803,5,1,122351.36542115478
100,2010,1,100_2010_1,1.5117787089353238,2.0,213099.05711728803,5,2,180140.9402326227
100,2010,1,100_2010_1,1.5117787089353238,2.0,213099.05711728803,5,3,213099.05711728803
100,2010,1,100_2010_1,1.5117787089353238,2.0,213099.05711728803,5,4,210841.65185121508
100,2010,2,100_2010_2,1.5117787089353238,2.0,27984.37784957472,2,1,27984.37784957472
100,2010,2,100_2010_2,1.5117787089353238,2.0,27984.37784957472,2,2,13656.692152260724
100,2011,1,100_2011_1,3.290222355032581,1.0,137783.47964404518,6,1,102239.33561992917
100,2011,1,100_2011_1,3.290222355032581,1.0,137783.47964404518,6,2,134588.5004059224
100,2011,1,100_2011_1,3.290222355032581,1.0,137783.47964404518,6,3,137783.47964404518
100,2011,1,100_2011_1,3.290222355032581,1.0,137783.47964404518,6,4,137783.47964404518
100,2011,1,100_2011_1,3.290222355032581,1.0,137783.47964404518,6,5,129396.65914397287
100,2011,1,100_2011_1,3.290222355032581,1.0,137783.47964404518,6,6,100242.47359610243
100,2012,1,100_2012_1,3.97743446853944,1.0,35483.496164505705,4,4,35483.496164505705
100,2012,1,100_2012_1,3.97743446853944,1.0,35483.496164505705,4,3,35483.496164505705
100,2012,1,100_2012_1,3.97743446853944,1.0,35483.496164505705,4,1,35483.496164505705
100,2012,1,100_2012_1,3.97743446853944,1.0,35483.496164505705,4,2,35483.496164505705
100,2013,0,100_2013_0,6.1507299008159615,0.0,0.0,0,0,0
100,2014,1,100_2014_1,2.70981368022821,2.0,22784.557984185925,5,1,19623.06429260032
100,2014,1,100_2014_1,2.70981368022821,2.0,22784.557984185925,5,2,19568.55578067643
100,2014,1,100_2014_1,2.70981368022821,2.0,22784.557984185925,5,3,22784.557984185925
100,2014,1,100_2014_1,2.70981368022821,2.0,22784.557984185925,5,4,21476.353698012572
100,2014,1,100_2014_1,2.70981368022821,2.0,22784.557984185925,5,5,13681.636492896332
100,2014,2,100_2014_2,2.70981368022821,2.0,26138.221434187646,5,5,15695.439186557653
100,2014,2,100_2014_2,2.70981368022821,2.0,26138.221434187646,5,1,22511.38688111855
100,2014,2,100_2014_2,2.70981368022821,2.0,26138.221434187646,5,3,26138.221434187646
100,2014,2,100_2014_2,2.70981368022821,2.0,26138.221434187646,5,4,24637.462308779744
100,2014,2,100_2014_2,2.70981368022821,2.0,26138.221434187646,5,2,22448.85525089322
100,2015,0,100_2015_0,1.6561690973829248,0.0,0.0,0,0,0
100,2016,0,100_2016_0,2.9546405336849624,0.0,0.0,0,0,0
100,2017,1,100_2017_1,3.0778828534162423,1.0,17629.255099879087,1,1,17629.255099879087
100,2018,0,100_2018_0,2.470492303029405,0.0,0.0,0,0,0
100,2019,1,100_2019_1,3.9349397512734323,2.0,45460.55615489342,5,2,45460.55615489342
100,2019,1,100_2019_1,3.9349397512734323,2.0,45460.55615489342,5,3,45064.097816333306
100,2019,1,100_2019_1,3.9349397512734323,2.0,45460.55615489342,5,4,44799.79225729322
100,2019,1,100_2019_1,3.9349397512734323,2.0,45460.55615489342,5,5,41231.66721025217
100,2019,1,100_2019_1,3.9349397512734323,2.0,45460.55615489342,5,1,35681.25047041053
100,2019,2,100_2019_2,3.9349397512734323,2.0,28045.76052194578,3,3,24139.66574173049
100,2019,2,100_2019_2,3.9349397512734323,2.0,28045.76052194578,3,2,28045.76052194578
100,2019,2,100_2019_2,3.9349397512734323,2.0,28045.76052194578,3,1,24139.66574173049
100,2020,0,100_2020_0,0.23638971742855253,0.0,0.0,0,0,0
100,2021,0,100_2021_0,3.7493896131642472,0.0,0.0,0,0,0
100,2022,0,100_2022_0,4.551112172012852,0.0,0.0,0,0,0
100,2023,0,100_2023_0,3.1481268590244795,0.0,0.0,0,0,0
100,2024,1,100_2024_1,3.425797385255427,2.0,5849.614135627515,1,1,5849.614135627515
100,2024,2,100_2024_2,3.425797385255427,2.0,55215.69138039309,10,5,33017.48180234734
100,2024,2,100_2024_2,3.425797385255427,2.0,55215.69138039309,10,9,31689.45056184428
100,2024,2,100_2024_2,3.425797385255427,2.0,55215.69138039309,10,8,33447.903611354595
100,2024,2,100_2024_2,3.425797385255427,2.0,55215.69138039309,10,7,27353.723399233757
100,2024,2,100_2024_2,3.425797385255427,2.0,55215.69138039309,10,6,18759.559665818728
100,2024,2,100_2024_2,3.425797385255427,2.0,55215.69138039309,10,4,54483.78780929794
100,2024,2,100_2024_2,3.425797385255427,2.0,55215.69138039309,10,3,54270.66902726746
100,2024,2,100_2024_2,3.425797385255427,2.0,55215.69138039309,10,2,44654.57928409633
100,2024,2,100_2024_2,3.425797385255427,2.0,55215.69138039309,10,1,23417.369112220284
100,2024,2,100_2024_2,3.425797385255427,2.0,55215.69138039309,10,10,27525.679482785246
101,2008,1,101_2008_1,0.28570015597122733,2.0,50808.06988729406,6,6,36964.7117151038
101,2008,1,101_2008_1,0.28570015597122733,2.0,50808.06988729406,6,4,50808.06988729406
101,2008,1,101_2008_1,0.28570015597122733,2.0,50808.06988729406,6,5,47715.40476371964
101,2008,1,101_2008_1,0.28570015597122733,2.0,50808.06988729406,6,2,49629.911744979996
101,2008,1,101_2008_1,0.28570015597122733,2.0,50808.06988729406,6,1,37701.06055405009
101,2008,1,101_2008_1,0.28570015597122733,2.0,50808.06988729406,6,3,50808.06988729406
101,2008,2,101_2008_2,0.28570015597122733,2.0,5330.6907872204365,1,1,5330.6907872204365
101,2009,1,101_2009_1,3.8171997178599204,1.0,31210.40257130067,4,1,16576.95374666153
101,2009,1,101_2009_1,3.8171997178599204,1.0,31210.40257130067,4,2,16977.087112960253
101,2009,1,101_2009_1,3.8171997178599204,1.0,31210.40257130067,4,3,31210.40257130067
101,2009,1,101_2009_1,3.8171997178599204,1.0,31210.40257130067,4,4,20864.096957005026
101,2010,1,101_2010_1,2.71774447285259,1.0,83661.83928647163,8,1,57102.52522727429
101,2010,1,101_2010_1,2.71774447285259,1.0,83661.83928647163,8,2,81577.67577995775
101,2010,1,101_2010_1,2.71774447285259,1.0,83661.83928647163,8,3,84051.64103999085
101,2010,1,101_2010_1,2.71774447285259,1.0,83661.83928647163,8,4,82333.06135551346
101,2010,1,101_2010_1,2.71774447285259,1.0,83661.83928647163,8,5,79409.28423001978
101,2010,1,101_2010_1,2.71774447285259,1.0,83661.83928647163,8,6,68790.06647173144
101,2010,1,101_2010_1,2.71774447285259,1.0,83661.83928647163,8,7,55217.222209011765
101,2010,1,101_2010_1,2.71774447285259,1.0,83661.83928647163,8,8,42253.45418508668
101,2011,2,101_2011_2,1.3404961556512882,2.0,32917.37112368781,2,2,27935.810508530307
101,2011,2,101_2011_2,1.3404961556512882,2.0,32917.37112368781,2,1,32917.37112368781
101,2012,0,101_2012_0,4.630617669911911,0.0,0.0,0,0,0
101,2013,0,101_2013_0,5.312960613353011,0.0,0.0,0,0,0
101,2014,1,101_2014_1,3.0858848034082715,2.0,2837.2457886376505,1,1,2837.2457886376505
101,2014,2,101_2014_2,3.0858848034082715,2.0,24106.41488302736,5,1,17157.249558894222
101,2014,2,101_2014_2,3.0858848034082715,2.0,24106.41488302736,5,4,20559.944303814587
101,2014,2,101_2014_2,3.0858848034082715,2.0,24106.41488302736,5,3,24106.41488302736
101,2014,2,101_2014_2,3.0858848034082715,2.0,24106.41488302736,5,2,22093.553202933625
101,2014,2,101_2014_2,3.0858848034082715,2.0,24106.41488302736,5,5,13562.853701583981
101,2015,1,101_2015_1,0.8719868564068189,2.0,10916.999042071906,1,1,10916.999042071906
101,2015,2,101_2015_2,0.8719868564068189,2.0,129102.18664383078,4,1,68570.75847382954
101,2015,2,101_2015_2,0.8719868564068189,2.0,129102.18664383078,4,3,129102.18664383078
101,2015,2,101_2015_2,0.8719868564068189,2.0,129102.18664383078,4,4,86304.57532050958
101,2015,2,101_2015_2,0.8719868564068189,2.0,129102.18664383078,4,2,70225.914712853
101,2016,0,101_2016_0,2.320007129274609,0.0,0.0,0,0,0
101,2017,0,101_2017_0,4.316145804889453,0.0,0.0,0,0,0
101,2018,0,101_2018_0,4.060415302608108,0.0,0.0,0,0,0
101,2019,0,101_2019_0,1.9767790914461634,0.0,0.0,0,0,0
101,2020,1,101_2020_1,3.0576442868235425,1.0,39537.718574220016,3,3,20546.7384178104
101,2020,1,101_2020_1,3.0576442868235425,1.0,39537.718574220016,3,2,39537.718574220016
101,2020,1,101_2020_1,3.0576442868235425,1.0,39537.718574220016,3,1,23604.608104011946
101,2021,1,101_2021_1,1.3548286670009493,1.0,30036.103048679783,2,2,14657.957200060939
101,2021,1,101_2021_1,1.3548286670009493,1.0,30036.103048679783,2,1,30036.103048679783
101,2022,0,101_2022_0,4.5459451076363555,0.0,0.0,0,0,0
101,2023,1,101_2023_1,3.6589590037955677,1.0,57743.135643619215,2,2,57743.135643619215
101,2023,1,101_2023_1,3.6589590037955677,1.0,57743.135643619215,2,1,26604.167207531365
101,2024,1,101_2024_1,2.12758191258885,1.0,335.18586522726685,1,1,335.18586522726685
102,2008,0,102_2008_0,-0.36986797354311207,0.0,0.0,0,0,0
102,2009,0,102_2009_0,2.5817368404890653,0.0,0.0,0,0,0
102,2010,1,102_2010_1,4.051508626526532,2.0,11048.087460813204,1,1,11048.087460813204
102,2010,2,102_2010_2,4.051508626526532,2.0,28985.009920261993,3,1,28985.009920261993
102,2010,2,102_2010_2,4.051508626526532,2.0,28985.009920261993,3,2,26638.045554248878
102,2010,2,102_2010_2,4.051508626526532,2.0,28985.009920261993,3,3,14727.201396732307
102,2011,1,102_2011_1,4.797878843785328,2.0,34360.933983023475,2,2,34360.933983023475
102,2011,1,102_2011_1,4.797878843785328,2.0,34360.933983023475,2,1,32872.37366606939
102,2011,2,102_2011_2,4.797878843785328,2.0,41569.50200762638,9,9,20722.891625825654
