Year,Signal,Cluster_ID,Duration,Intensity,Frequency
1980,7.655262460159912,1980.1,8,80200.0,2
1980,7.655262460159912,1980.2,8,34500.0,2
1981,4.464907320288793,1981.1,6,36100.0,1
1982,1.462678811934308,1982.1,7,25000.0,5
1982,1.462678811934308,1982.2,4,84200.0,5
1982,1.462678811934308,1982.3,6,25000.0,5
1982,1.462678811934308,1982.4,4,49400.0,5
1982,1.462678811934308,1982.5,3,34800.0,5
1983,1.4546138921029566,1983.1,3,25400.0,9
1983,1.4546138921029566,1983.2,4,24100.0,9
1983,1.4546138921029566,1983.3,3,19800.0,9
1983,1.4546138921029566,1983.4,8,24900.0,9
1983,1.4546138921029566,1983.5,8,34400.0,9
1983,1.4546138921029566,1983.6,1,20700.0,9
1983,1.4546138921029566,1983.7,4,36200.0,9
1983,1.4546138921029566,1983.8,4,25600.0,9
1983,1.4546138921029566,1983.9,6,47200.0,9
1984,2.980031565182761,1984.0,3,19600.0,1
1985,3.24764400515163,1985.0,0,4110.0,0
1986,2.304896272416729,1986.1,14,131000.0,2
1986,2.304896272416729,1986.2,9,40900.0,2
1987,2.787264080293064,1987.0,0,3500.0,0
1988,3.813906006319359,1988.0,0,4550.0,0
1989,1.7892845750577506,1989.1,3,24400.0,1
1990,5.261884598331825,1990.0,0,7930.0,0
1991,3.122576110659861,1991.0,0,4440.0,0
1992,3.307314404215379,1992.0,0,4670.0,0
1993,1.8108125888197124,1993.0,0,16100.0,0
1994,1.2198262811707616,1994.0,0,4090.0,0
1995,5.392632284391912,1995.1,2,26700.0,7
1995,5.392632284391912,1995.2,2,28400.0,7
1995,5.392632284391912,1995.3,1,17200.0,7
1995,5.392632284391912,1995.4,8,41800.0,7
1995,5.392632284391912,1995.5,6,22700.0,7
1995,5.392632284391912,1995.6,16,22600.0,7
1995,5.392632284391912,1995.7,5,32900.0,7
1996,3.467495096818569,1996.1,5,27700.0,6
1996,3.467495096818569,1996.2,6,22600.0,6
1996,3.467495096818569,1996.3,5,43700.0,6
1996,3.467495096818569,1996.4,3,24400.0,6
1996,3.467495096818569,1996.5,4,27300.0,6
1996,3.467495096818569,1996.6,4,32200.0,6
1997,0.9612850946463682,1997.0,14,106000.0,2
1997,0.9612850946463682,1997.1,10,32000.0,2
1998,2.1386245258236753,1998.1,6,33700.0,1
1999,3.303435908367284,1999.1,3,19600.0,3
1999,3.303435908367284,1999.2,3,23900.0,3
1999,3.303435908367284,1999.3,3,21800.0,3
2000,4.653314828957836,2000.1,5,24100.0,1
2001,5.243525245947678,2001.0,0,3110.0,0
2002,0.9573621357517359,2002.0,0,4020.0,0
2003,2.3445880250855002,2003.0,0,7000.0,0
2004,1.6385287861674145,2004.0,0,7930.0,0
2005,3.117633528920964,2005.1,4,23900.0,2
2005,3.117633528920964,2005.2,7,36300.0,2
2006,5.808876643019998,2006.0,11,36200.0,2
2006,5.808876643019998,2006.1,16,34900.0,2
2007,1.6214259709638585,2007.0,0,4520.0,0
2008,3.4881006810895645,2008.0,0,4400.0,0
2009,2.4564193748259955,2009.0,0,5510.0,0
2010,2.9522649204261886,2010.1,8,30900.0,1
2011,2.6727460953913074,2011.1,14,26300.0,1
2012,3.5943338342573856,2012.0,0,9930.0,0
2013,2.1433841542241847,2013.0,0,4850.0,0
2014,2.624853554712417,2014.0,0,2540.0,0
