Year,Signal,Cluster_ID,Duration,Intensity,Frequency
1940,2.9956347838175534,1940.1,3,57500.0,3
1940,2.9956347838175534,1940.2,1,47400.0,3
1940,2.9956347838175534,1940.3,3,69600.0,3
1941,2.585206446255056,1941.0,0,26900.0,0
1942,3.1118826199710337,1942.1,4,54600.0,3
1942,3.1118826199710337,1942.2,2,32600.0,3
1942,3.1118826199710337,1942.3,1,29300.0,3
1943,1.8215838413895347,1943.1,4,73800.0,2
1943,1.8215838413895347,1943.2,3,73700.0,2
1944,5.900803790594893,1944.0,0,12400.0,0
1945,2.029027979606943,1945.1,2,70900.0,3
1945,2.029027979606943,1945.2,1,32400.0,3
1945,2.029027979606943,1945.3,1,32200.0,3
1946,4.180288893300734,1946.0,0,13300.0,0
1947,2.802061422017351,1947.0,0,20100.0,0
1948,1.4573427142785917,1948.0,0,17600.0,0
1949,2.68385547766189,1949.0,0,25500.0,0
1950,2.423107485305399,1950.1,5,132000.0,3
1950,2.423107485305399,1950.2,2,76400.0,3
1950,2.423107485305399,1950.3,3,60300.0,3
1951,4.420777461328328,1951.1,2,39500.0,1
1952,2.698346031417437,1952.1,1,27700.0,3
1952,2.698346031417437,1952.2,1,27500.0,3
1952,2.698346031417437,1952.3,1,30500.0,3
1953,3.5648022723221993,1953.1,1,27600.0,1
1954,3.4598268677022284,1954.1,1,36500.0,1
1955,2.867329058351372,1955.1,7,69300.0,1
1956,1.7721977859851563,1956.1,3,33500.0,1
1957,2.4935032491851588,1957.1,1,28200.0,1
1958,4.048751627493064,1958.1,4,33000.0,2
1958,4.048751627493064,1958.2,2,28300.0,2
1959,2.567684057255661,1959.0,0,6260.0,0
1960,4.318039530237342,1960.0,0,5170.0,0
1961,2.5233622392654933,1961.0,0,4540.0,0
1962,2.4770017035847003,1962.0,0,7870.0,0
1963,3.146188071383648,1963.1,5,74100.0,1
1964,2.6676630221310886,1964.1,7,115000.0,1
1965,2.614074652002536,1965.1,5,35500.0,1
1966,2.629912770184544,1966.0,0,22600.0,0
1967,2.5417812318072315,1967.1,3,35900.0,1
1968,5.34997129220012,1968.0,0,8230.0,0
1969,4.394854124569908,1969.1,4,67200.0,2
1969,4.394854124569908,1969.2,4,39900.0,2
1970,1.6911452407504186,1970.1,4,52200.0,2
1970,1.6911452407504186,1970.2,5,50300.0,2
1971,1.8588518687798972,1971.0,0,8240.0,0
1972,2.3077394044716657,1972.0,0,5270.0,0
1973,3.3547606103967613,1973.1,3,31900.0,1
1974,2.7140933438202106,1974.0,0,26400.0,0
1975,2.988870166331773,1975.0,0,8250.0,0
1976,4.913051774891906,1976.0,0,3070.0,0
1977,2.699549632673664,1977.0,0,1300.0,0
1978,0.9906315231918428,1978.0,0,15200.0,0
1979,0.7391809714414381,1979.0,0,16000.0,0
1980,7.655262460159912,1980.1,6,80200.0,2
1980,7.655262460159912,1980.2,4,34500.0,2
1981,4.464907320288793,1981.1,4,36100.0,1
1982,1.462678811934308,1982.1,3,84200.0,3
1982,1.462678811934308,1982.2,2,49400.0,3
1982,1.462678811934308,1982.3,2,34800.0,3
1983,1.4546138921029566,1983.1,4,34400.0,3
1983,1.4546138921029566,1983.2,3,36200.0,3
1983,1.4546138921029566,1983.3,4,47200.0,3
1984,2.980031565182761,1984.0,0,19600.0,0
1985,3.24764400515163,1985.0,0,4110.0,0
1986,2.304896272416729,1986.1,8,131000.0,2
1986,2.304896272416729,1986.2,3,40900.0,2
1987,2.787264080293064,1987.0,0,3500.0,0
1988,3.813906006319359,1988.0,0,4550.0,0
1989,1.7892845750577506,1989.0,0,24400.0,0
