sim,year,storm_index,unique_storm_id,signal,Frequency,Intensity,Duration,storm_day,daily_flow
0,2026,1,0_2026_1,1.002200862620524,1.0,18640.964764736957,1,1,18640.964764736957
0,2027,1,0_2027_1,1.0028365435593432,1.0,48248.39443189618,3,1,44916.32299322932
0,2027,1,0_2027_1,1.0028365435593432,1.0,48248.39443189618,3,2,45849.30299605604
0,2027,1,0_2027_1,1.0028365435593432,1.0,48248.39443189618,3,3,48248.39443189618
0,2028,1,0_2028_1,1.0021661406590086,1.0,18322.675360517973,1,1,18322.675360517973
0,2029,0,0_2029_0,1.0030024935584327,0.0,0.0,0,0,0
0,2030,0,0_2030_0,1.0030725391005528,0.0,0.0,0,0,0
0,2031,1,0_2031_1,1.001925011283987,1.0,36343.76813111601,3,1,35090.53474728443
0,2031,1,0_2031_1,1.001925011283987,1.0,36343.76813111601,3,2,36343.76813111601
0,2031,1,0_2031_1,1.001925011283987,1.0,36343.76813111601,3,3,31900.486133894934
0,2032,1,0_2032_1,1.002668001233253,1.0,37158.55152126041,12,12,29378.79968760809
0,2032,1,0_2032_1,1.002668001233253,1.0,37158.55152126041,12,11,36544.3605870247
0,2032,1,0_2032_1,1.002668001233253,1.0,37158.55152126041,12,9,36851.45605414255
0,2032,1,0_2032_1,1.002668001233253,1.0,37158.55152126041,12,8,37056.18636555446
0,2032,1,0_2032_1,1.002668001233253,1.0,37158.55152126041,12,10,36749.0908984366
0,2032,1,0_2032_1,1.002668001233253,1.0,37158.55152126041,12,6,37158.55152126041
0,2032,1,0_2032_1,1.002668001233253,1.0,37158.55152126041,12,5,36134.89996420089
0,2032,1,0_2032_1,1.002668001233253,1.0,37158.55152126041,12,4,36134.89996420089
0,2032,1,0_2032_1,1.002668001233253,1.0,37158.55152126041,12,3,35315.978718553284
0,2032,1,0_2032_1,1.002668001233253,1.0,37158.55152126041,12,1,27024.401106371206
0,2032,1,0_2032_1,1.002668001233253,1.0,37158.55152126041,12,2,35520.70902996518
0,2032,1,0_2032_1,1.002668001233253,1.0,37158.55152126041,12,7,36339.6302756128
0,2033,1,0_2033_1,1.003150914322071,1.0,11006.07400781448,1,1,11006.07400781448
0,2034,0,0_2034_0,1.0025649384807256,0.0,0.0,0,0,0
0,2035,1,0_2035_1,1.0019734035616605,1.0,48011.55090480268,8,8,17181.622834619142
0,2035,1,0_2035_1,1.0019734035616605,1.0,48011.55090480268,8,7,24248.258032728627
0,2035,1,0_2035_1,1.0019734035616605,1.0,48011.55090480268,8,5,41845.56529076597
0,2035,1,0_2035_1,1.0019734035616605,1.0,48011.55090480268,8,4,47041.62058349353
0,2035,1,0_2035_1,1.0019734035616605,1.0,48011.55090480268,8,3,47457.30500691174
0,2035,1,0_2035_1,1.0019734035616605,1.0,48011.55090480268,8,2,48011.55090480268
0,2035,1,0_2035_1,1.0019734035616605,1.0,48011.55090480268,8,1,32769.78871280183
0,2035,1,0_2035_1,1.0019734035616605,1.0,48011.55090480268,8,6,32977.63092451093
0,2036,1,0_2036_1,1.0032167181217415,1.0,30428.551415523554,2,1,30428.551415523554
0,2036,1,0_2036_1,1.0032167181217415,1.0,30428.551415523554,2,2,23384.90525452273
0,2037,1,0_2037_1,1.003215343710564,1.0,55775.648890478486,7,7,19351.725136783407
0,2037,1,0_2037_1,1.003215343710564,1.0,55775.648890478486,7,6,23328.771405495783
0,2037,1,0_2037_1,1.003215343710564,1.0,55775.648890478486,7,3,55775.648890478486
0,2037,1,0_2037_1,1.003215343710564,1.0,55775.648890478486,7,4,51895.603750271286
0,2037,1,0_2037_1,1.003215343710564,1.0,55775.648890478486,7,2,51410.59810774539
0,2037,1,0_2037_1,1.003215343710564,1.0,55775.648890478486,7,1,19788.230215056712
0,2037,1,0_2037_1,1.003215343710564,1.0,55775.648890478486,7,5,28906.336294543635
0,2038,1,0_2038_1,1.0020598555188394,2.0,35181.18750871389,2,1,35181.18750871389
0,2038,1,0_2038_1,1.0020598555188394,2.0,35181.18750871389,2,2,26719.889247124476
0,2038,2,0_2038_2,1.0020598555188394,2.0,41353.79321504435,3,1,35594.2119873223
0,2038,2,0_2038_2,1.0020598555188394,2.0,41353.79321504435,3,2,41353.79321504435
0,2038,2,0_2038_2,1.0020598555188394,2.0,41353.79321504435,3,3,35594.2119873223
0,2039,1,0_2039_1,1.002796755563581,2.0,44181.54954586206,3,1,26377.04450499227
0,2039,1,0_2039_1,1.002796755563581,2.0,44181.54954586206,3,2,44181.54954586206
0,2039,1,0_2039_1,1.002796755563581,2.0,44181.54954586206,3,3,22960.018285027363
0,2039,2,0_2039_2,1.002796755563581,2.0,65727.17756077662,5,5,17726.42061487612
0,2039,2,0_2039_2,1.002796755563581,2.0,65727.17756077662,5,1,23203.6854116075
0,2039,2,0_2039_2,1.002796755563581,2.0,65727.17756077662,5,3,40581.55281214617
0,2039,2,0_2039_2,1.002796755563581,2.0,65727.17756077662,5,2,54274.71480397463
0,2039,2,0_2039_2,1.002796755563581,2.0,65727.17756077662,5,4,65727.17756077662
0,2040,0,0_2040_0,1.0027831104725664,0.0,0.0,0,0,0
0,2041,1,0_2041_1,1.00212835824672,2.0,42657.310071686625,2,1,42657.310071686625
0,2041,1,0_2041_1,1.00212835824672,2.0,42657.310071686625,2,2,32782.93274027768
0,2041,2,0_2041_2,1.00212835824672,2.0,32544.00409152212,2,1,32544.00409152212
0,2041,2,0_2041_2,1.00212835824672,2.0,32544.00409152212,2,2,26312.173520805118
