sim,year,storm_index,unique_storm_id,signal,Frequency,Intensity,Duration,storm_day,daily_flow
0,2016,1,0_2016_1,1.0024488227063943,1.0,15893.886961018748,7,1,10362.814298584224
0,2016,1,0_2016_1,1.0024488227063943,1.0,15893.886961018748,7,2,15893.886961018748
0,2016,1,0_2016_1,1.0024488227063943,1.0,15893.886961018748,7,3,15893.886961018748
0,2016,1,0_2016_1,1.0024488227063943,1.0,15893.886961018748,7,4,14431.649360605024
0,2016,1,0_2016_1,1.0024488227063943,1.0,15893.886961018748,7,5,12715.109568815
0,2016,1,0_2016_1,1.0024488227063943,1.0,15893.886961018748,7,6,12587.95847312685
0,2016,1,0_2016_1,1.0024488227063943,1.0,15893.886961018748,7,7,12460.8073774387
0,2017,1,0_2017_1,1.0026601593648825,1.0,17359.58330557268,3,1,14015.729144253351
0,2017,1,0_2017_1,1.0026601593648825,1.0,17359.58330557268,3,2,17359.58330557268
0,2017,1,0_2017_1,1.0026601593648825,1.0,17359.58330557268,3,3,11952.499980886107
0,2018,1,0_2018_1,1.001737157845242,1.0,76446.08489468961,10,10,43478.710783854716
0,2018,1,0_2018_1,1.001737157845242,1.0,76446.08489468961,10,9,57812.35170160902
0,2018,1,0_2018_1,1.001737157845242,1.0,76446.08489468961,10,8,72384.88663465923
0,2018,1,0_2018_1,1.001737157845242,1.0,76446.08489468961,10,7,76446.08489468961
0,2018,1,0_2018_1,1.001737157845242,1.0,76446.08489468961,10,6,76446.08489468961
0,2018,1,0_2018_1,1.001737157845242,1.0,76446.08489468961,10,5,76446.08489468961
0,2018,1,0_2018_1,1.001737157845242,1.0,76446.08489468961,10,4,76446.08489468961
0,2018,1,0_2018_1,1.001737157845242,1.0,76446.08489468961,10,3,76446.08489468961
0,2018,1,0_2018_1,1.001737157845242,1.0,76446.08489468961,10,2,76446.08489468961
0,2018,1,0_2018_1,1.001737157845242,1.0,76446.08489468961,10,1,50167.74321214006
0,2020,0,0_2020_0,1.0028714380271142,0.0,0.0,0,0,0
0,2021,1,0_2021_1,1.0024073076065023,1.0,27090.416472712805,6,1,26851.734389252782
0,2021,1,0_2021_1,1.0024073076065023,1.0,27090.416472712805,6,2,26971.07543098279
0,2021,1,0_2021_1,1.0024073076065023,1.0,27090.416472712805,6,3,27090.416472712805
0,2021,1,0_2021_1,1.0024073076065023,1.0,27090.416472712805,6,4,26851.734389252782
0,2021,1,0_2021_1,1.0024073076065023,1.0,27090.416472712805,6,5,23868.20834600247
0,2021,1,0_2021_1,1.0024073076065023,1.0,27090.416472712805,6,6,21123.364386212186
0,2022,1,0_2022_1,1.0038541869992927,1.0,6001.040545484913,1,1,6001.040545484913
0,2023,1,0_2023_1,1.0021407917218619,1.0,21319.02113614552,5,5,13622.623614071324
0,2023,1,0_2023_1,1.0021407917218619,1.0,21319.02113614552,5,4,16393.326722018035
0,2023,1,0_2023_1,1.0021407917218619,1.0,21319.02113614552,5,1,14931.011192823937
0,2023,1,0_2023_1,1.0021407917218619,1.0,21319.02113614552,5,2,20395.453433496616
