year,sim,signal,Scale_Sig,Scale_Int,Scale_Dur,Scale_Freq
2025,0,1.0017273507557882,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2026,0,1.002200862620524,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2027,0,1.0028365435593432,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2028,0,1.0021661406590086,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2029,0,1.0030024935584327,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2030,0,1.0030725391005528,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2031,0,1.001925011283987,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2032,0,1.002668001233253,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2033,0,1.003150914322071,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2034,0,1.0025649384807256,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2035,0,1.0019734035616605,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2036,0,1.0032167181217415,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2037,0,1.003215343710564,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2038,0,1.0020598555188394,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2039,0,1.002796755563581,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2040,0,1.0027831104725664,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2041,0,1.00212835824672,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2042,0,1.002478536594829,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2043,0,1.002319133246609,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2044,0,1.0031100937317827,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2025,1,1.0025188342768303,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2026,1,1.00325036242281,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2027,1,1.0022787437538871,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2028,1,1.00219043306835,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2029,1,1.0023605195870744,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2030,1,1.0032930369635988,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2031,1,1.002663246770686,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2032,1,1.0024328557842297,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2033,1,1.002803184875159,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2034,1,1.0032236877991232,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2035,1,1.001798834949046,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2036,1,1.0027898574020524,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2037,1,1.0035207573595708,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2038,1,1.0016662260023035,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2039,1,1.002445417441843,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2040,1,1.003714047081442,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2041,1,1.002960784088566,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2042,1,1.0030064949403072,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2043,1,1.0028249632051707,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2044,1,1.0031224216142542,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2025,2,1.0024627679355258,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2026,2,1.0028272873250648,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2027,2,1.0039927651523706,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2028,2,1.0044691208410987,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2029,2,1.0023709715797404,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2030,2,1.0023787147851386,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2031,2,1.0026013344502722,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2032,2,1.0021752782001359,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2033,2,1.002073906330147,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2034,2,1.0027448761268707,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2035,2,1.0028193984733411,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2036,2,1.0027813710842681,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2037,2,1.0025509142546098,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2038,2,1.0025935608935583,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2039,2,1.002673167871565,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2040,2,1.0033017906534725,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2041,2,1.0021493422436811,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2042,2,1.0026507315010122,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2043,2,1.0032501358639634,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2044,2,1.0025707041880572,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2025,3,1.0032375425382387,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2026,3,1.0028572169391938,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2027,3,1.0021994578537858,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2028,3,1.0019201244296956,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2029,3,1.0022116155092815,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2030,3,1.002814853417267,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2031,3,1.0023204890462276,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2032,3,1.0017409355295384,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2033,3,1.002876094056917,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2034,3,1.0023152755212366,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2035,3,1.0016525129842875,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2036,3,1.0024331354182188,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2037,3,1.0035200692202921,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2038,3,1.0035869072936232,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2039,3,1.0022455993505264,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2040,3,1.0022607397746581,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2041,3,1.002587389817343,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2042,3,1.001807839960496,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2043,3,1.0022094178814596,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2044,3,1.0028749172987814,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2025,4,1.002334198398388,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2026,4,1.0022390648262245,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2027,4,1.0026098709278302,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2028,4,1.0026018461209028,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2029,4,1.0028324956004333,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2030,4,1.002759130287636,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2031,4,1.0033394432787315,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2032,4,1.0026199139119163,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2033,4,1.002001701521008,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2034,4,1.002768116236429,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2035,4,1.002296021220405,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2036,4,1.002994099270752,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2037,4,1.0030940406364295,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2038,4,1.00214314693067,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2039,4,1.0021152068899293,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2040,4,1.002213553167215,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2041,4,1.0038270463487602,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2042,4,1.0023366341059827,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2043,4,1.0025571118024923,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2044,4,1.0031449944134763,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2025,5,1.0030524159918475,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2026,5,1.003195028580912,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2027,5,1.0022418545072036,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2028,5,1.0022157500967452,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2029,5,1.0030590428773463,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2030,5,1.0024547940852502,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2031,5,1.0027362984587356,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2032,5,1.0028016779449063,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2033,5,1.002433450581246,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2034,5,1.003544708624671,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2035,5,1.002845453041985,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2036,5,1.0018846605590124,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2037,5,1.0014873446835262,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2038,5,1.0033366824122607,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2039,5,1.0036622132224085,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2040,5,1.0024010284941138,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2041,5,1.0024167500022385,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2042,5,1.002756840748856,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2043,5,1.0030053448554672,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2044,5,1.002716878025298,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2025,6,1.002831512367661,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2026,6,1.002360442232132,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2027,6,1.0023587244223475,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2028,6,1.001957140445005,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2029,6,1.0029643008316478,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2030,6,1.0020886804240605,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2031,6,1.0026837405277518,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2032,6,1.0030091047357221,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2033,6,1.003431841556176,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2034,6,1.0028033521343835,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2035,6,1.0021385513059191,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2036,6,1.0025153030077198,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2037,6,1.0020783876959618,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2038,6,1.002072746784793,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2039,6,1.0029822266866635,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2040,6,1.0031378058934686,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2041,6,1.001838036099216,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2042,6,1.002864177239351,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2043,6,1.002223507838354,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2044,6,1.0027391761701026,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
2025,7,1.0026595270499614,1.0026102276264366,44358.97435897436,3.9358974358974357,0.9176470588235294
