year,sim,signal,Scale_Sig,Scale_Int,Scale_Dur,Scale_Freq
2010,0,1.0024973872805865,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2011,0,1.0028743217100373,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2012,0,1.0026578151466081,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2013,0,1.0020410332926266,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2014,0,1.0016072560363884,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2015,0,1.003023202598545,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2016,0,1.002972393258837,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2017,0,1.0027616923802658,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2018,0,1.0020476367615314,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2019,0,1.0022953696026502,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2020,0,1.0023018285953615,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2021,0,1.0031067444166912,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2022,0,1.0013960282109904,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2023,0,1.0024247425545223,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2024,0,1.0025866964031465,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2010,1,1.0021373682036496,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2011,1,1.0020877171990157,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2012,1,1.0025846492937813,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2013,1,1.0020320184842293,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2014,1,1.0020160489406786,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2015,1,1.0023986991980876,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2016,1,1.002677005279038,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2017,1,1.0026177912160175,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2018,1,1.0022006347885952,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2019,1,1.0025624876678931,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2020,1,1.0032872665981714,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2021,1,1.0031161373894293,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2022,1,1.0020384772561146,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2023,1,1.0022162011738949,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2024,1,1.002683999319654,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2010,2,1.0018295801772956,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2011,2,1.0021377116434822,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2012,2,1.0037309085579158,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2013,2,1.0018121993663818,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2014,2,1.0008859741563703,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2015,2,1.0022268677625732,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2016,2,1.0031041902453484,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2017,2,1.002179412337176,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2018,2,1.0021401630777629,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2019,2,1.0031232626753124,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2020,2,1.0031527029221563,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2021,2,1.0024023910781745,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2022,2,1.0027363964368072,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2023,2,1.0023931679344862,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2024,2,1.0034689212486156,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2010,3,1.0036752587056488,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2011,3,1.0037246438294753,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2012,3,1.0023441385691692,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2013,3,1.0021726863126035,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2014,3,1.0027747957462871,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2015,3,1.0031021214845077,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2016,3,1.0017702467298633,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2017,3,1.0015723435802724,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2018,3,1.0028298089995529,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2019,3,1.003388067233468,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2020,3,1.0028453962178348,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2021,3,1.0024576963784249,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2022,3,1.0023320552732342,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2023,3,1.0037147650607823,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2024,3,1.0039616746186792,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2010,4,1.0028400762574097,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2011,4,1.001844220770676,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2012,4,1.003030929667094,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2013,4,1.003891681115816,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2014,4,1.0026418076233945,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2015,4,1.0022448896138847,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2016,4,1.0021247005381237,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2017,4,1.002482138607293,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2018,4,1.0024303603513642,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2019,4,1.002560690170055,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2020,4,1.002309780117799,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2021,4,1.0028234462912515,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2022,4,1.0017163262069182,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2023,4,1.0033524685071582,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2024,4,1.0030856677132778,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2010,5,1.002764165203907,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2011,5,1.002601006640963,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2012,5,1.0022239201714083,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2013,5,1.0026756849956693,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2014,5,1.0022059564736778,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2015,5,1.0021124459773594,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2016,5,1.0019391018735895,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2017,5,1.0031101237503413,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2018,5,1.0034030592208534,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2019,5,1.0027546479735152,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2020,5,1.0018042478783948,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2021,5,1.0031691440236938,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2022,5,1.0031756377461585,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2023,5,1.0030774171598047,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2024,5,1.0020932798870044,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2010,6,1.0036867152491495,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2011,6,1.0033107847040579,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2012,6,1.0019774594100648,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2013,6,1.0009758637624862,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2014,6,1.0029634080283716,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2015,6,1.0033838888856232,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2016,6,1.0029302999340861,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2017,6,1.0034531984116493,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2018,6,1.0028519957761168,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2019,6,1.0030171030892194,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2020,6,1.0021945742771345,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2021,6,1.0030078036119499,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2022,6,1.0024329149565971,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2023,6,1.002511290299317,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2024,6,1.0023246107062993,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2010,7,1.0026223392917273,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2011,7,1.0031521600369826,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2012,7,1.002615204615717,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2013,7,1.0023072913365143,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2014,7,1.0018355067674383,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2015,7,1.0030193034415917,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2016,7,1.0031108823280384,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2017,7,1.0025166424437035,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2018,7,1.002474987307757,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2019,7,1.0027992600100353,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2020,7,1.0030601367588003,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2021,7,1.0021377771090714,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2022,7,1.002320031474028,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2023,7,1.0026752020832144,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2024,7,1.0032511347705713,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2010,8,1.002734040264782,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2011,8,1.0028259235062946,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2012,8,1.0022746387696762,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2013,8,1.0029244669873068,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2014,8,1.0024793800167924,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2015,8,1.001966800741756,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2016,8,1.0022564706953354,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2017,8,1.0029151503960236,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2018,8,1.0025928993534998,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2019,8,1.003177092217561,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2020,8,1.0020139759867124,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2021,8,1.0029727885447983,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2022,8,1.0030401892940017,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2023,8,1.0021832395771597,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2024,8,1.0037917273773047,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2010,9,1.0020212659130487,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2011,9,1.002169109320956,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2012,9,1.0023292478130206,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2013,9,1.0028539534521284,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2014,9,1.0022100704934709,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2015,9,1.002825091604048,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2016,9,1.0028273730100787,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2017,9,1.0037780506604779,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2018,9,1.0036217613657759,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2019,9,1.0031215979407189,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2020,9,1.003412172149443,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2021,9,1.0021197715358217,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2022,9,1.0026544062454361,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2023,9,1.0037805646804576,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2024,9,1.003072548587435,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2010,10,1.0026177363422675,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2011,10,1.0029309149826193,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2012,10,1.002376139792002,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
2013,10,1.0030452057433703,1.0025997492141154,44831.42857142857,3.4571428571428573,1.0
