Year,Signal,Cluster_ID,Duration,Intensity,Frequency
1980,1.0020088447434494,1980.1,8,80200.0,2
1980,1.0020088447434494,1980.2,8,34500.0,2
1981,1.0028340363660933,1981.1,6,36100.0,1
1982,1.0019563980905208,1982.1,7,25000.0,5
1982,1.0019563980905208,1982.2,4,84200.0,5
1982,1.0019563980905208,1982.3,6,25000.0,5
1982,1.0019563980905208,1982.4,4,49400.0,5
1982,1.0019563980905208,1982.5,3,34800.0,5
1983,1.0022402069603706,1983.1,3,25400.0,9
1983,1.0022402069603706,1983.2,4,24100.0,9
1983,1.0022402069603706,1983.3,3,19800.0,9
1983,1.0022402069603706,1983.4,8,24900.0,9
1983,1.0022402069603706,1983.5,8,34400.0,9
1983,1.0022402069603706,1983.6,1,20700.0,9
1983,1.0022402069603706,1983.7,4,36200.0,9
1983,1.0022402069603706,1983.8,4,25600.0,9
1983,1.0022402069603706,1983.9,6,47200.0,9
1984,1.0012360521110206,1984.0,3,19600.0,1
1985,1.0026495858545683,1985.0,0,4110.0,0
1986,1.0026707746138608,1986.1,14,131000.0,2
1986,1.0026707746138608,1986.2,9,40900.0,2
1987,1.0025063193583479,1987.0,0,3500.0,0
1988,1.0021340799679523,1988.0,0,4550.0,0
1989,1.0031494721599656,1989.1,3,24400.0,1
1990,1.0021079059817608,1990.0,0,7930.0,0
1991,1.0012004100765655,1991.0,0,4440.0,0
1992,1.0021025752215535,1992.0,0,4670.0,0
1993,1.003357848410956,1993.0,0,16100.0,0
1994,1.0036372022859896,1994.0,0,4090.0,0
1995,1.0034155329104633,1995.1,2,26700.0,7
1995,1.0034155329104633,1995.2,2,28400.0,7
1995,1.0034155329104633,1995.3,1,17200.0,7
1995,1.0034155329104633,1995.4,8,41800.0,7
1995,1.0034155329104633,1995.5,6,22700.0,7
1995,1.0034155329104633,1995.6,16,22600.0,7
1995,1.0034155329104633,1995.7,5,32900.0,7
1996,1.0024310368661808,1996.1,5,27700.0,6
1996,1.0024310368661808,1996.2,6,22600.0,6
1996,1.0024310368661808,1996.3,5,43700.0,6
1996,1.0024310368661808,1996.4,3,24400.0,6
1996,1.0024310368661808,1996.5,4,27300.0,6
1996,1.0024310368661808,1996.6,4,32200.0,6
1997,1.001346360518304,1997.0,14,106000.0,2
1997,1.001346360518304,1997.1,10,32000.0,2
1998,1.0031951357802318,1998.1,6,33700.0,1
1999,1.002516919802727,1999.1,3,19600.0,3
1999,1.002516919802727,1999.2,3,23900.0,3
1999,1.002516919802727,1999.3,3,21800.0,3
2000,1.0026664679130277,2000.1,5,24100.0,1
2001,1.0028459062077295,2001.0,0,3110.0,0
2002,1.0030195639334578,2002.0,0,4020.0,0
2003,1.0027145530898363,2003.0,0,7000.0,0
2004,1.0018892194658813,2004.0,0,7930.0,0
2005,1.0029024426995607,2005.1,4,23900.0,2
2005,1.0029024426995607,2005.2,7,36300.0,2
2006,1.003169249760384,2006.0,11,36200.0,2
2006,1.003169249760384,2006.1,16,34900.0,2
2007,1.0025672685144384,2007.0,0,4520.0,0
2008,1.0029156084665358,2008.0,0,4400.0,0
2009,1.002565213787598,2009.0,0,5510.0,0
2010,1.0024956955827546,2010.1,8,30900.0,1
2011,1.0026579676517944,2011.1,14,26300.0,1
2012,1.0028070503695712,2012.0,0,9930.0,0
2013,1.0016683127099921,2013.0,0,4850.0,0
2014,1.0026144656270255,2014.0,0,2540.0,0
