Year,Signal,Cluster_ID,Duration,Intensity,Frequency
1940,1.0025894027254834,1940.1,3,57500.0,3
1940,1.0025894027254834,1940.2,1,47400.0,3
1940,1.0025894027254834,1940.3,2,69600.0,3
1941,1.0025306856955523,1941.0,0,26900.0,0
1942,1.0027589969808932,1942.1,2,54600.0,2
1942,1.0027589969808932,1942.2,1,32600.0,2
1943,1.0028261393538347,1943.1,3,73800.0,2
1943,1.0028261393538347,1943.2,3,73700.0,2
1944,1.0029381702711273,1944.0,0,12400.0,0
1945,1.0024457609395547,1945.1,2,70900.0,3
1945,1.0024457609395547,1945.2,1,32400.0,3
1945,1.0024457609395547,1945.3,1,32200.0,3
1946,1.002790300626395,1946.0,0,13300.0,0
1947,1.0029874578594284,1947.0,0,20100.0,0
1948,1.0029851608731248,1948.0,0,17600.0,0
1949,1.0028597622583477,1949.0,0,25500.0,0
1950,1.002276601940686,1950.1,5,132000.0,3
1950,1.002276601940686,1950.2,2,76400.0,3
1950,1.002276601940686,1950.3,3,60300.0,3
1951,1.0023449271700877,1951.1,1,39500.0,1
1952,1.0027836000594479,1952.0,0,30500.0,0
1953,1.0022457429965042,1953.0,0,27600.0,0
1954,1.003025312474227,1954.1,1,36500.0,1
1955,1.0030724805565117,1955.1,7,69300.0,1
1956,1.0029456272516715,1956.1,3,33500.0,1
1957,1.0027780556607013,1957.0,0,28200.0,0
1958,1.0030081498989847,1958.1,1,33000.0,1
1959,1.0036551700755498,1959.0,0,6260.0,0
1960,1.0030261288784408,1960.0,0,5170.0,0
1961,1.0010370897139946,1961.0,0,4540.0,0
1962,1.0019141132588918,1962.0,0,7870.0,0
1963,1.003416693977844,1963.1,5,74100.0,1
1964,1.0025456409821663,1964.1,7,115000.0,1
1965,1.0024376746235055,1965.1,3,35500.0,1
1966,1.0031724088473883,1966.0,0,22600.0,0
1967,1.0018331832693448,1967.1,1,35900.0,1
1968,1.0026397602473514,1968.0,0,8230.0,0
1969,1.0035377875504676,1969.1,3,67200.0,2
1969,1.0035377875504676,1969.2,3,39900.0,2
