Year,Signal,Cluster_ID,Duration,Intensity,Frequency
1940,1.0974097538665208,1940.1,3,57500.0,3
1940,1.0974097538665208,1940.2,1,47400.0,3
1940,1.0974097538665208,1940.3,3,69600.0,3
1941,1.0975847479500005,1941.1,1,26900.0,1
1942,1.0911786116152367,1942.1,4,54600.0,3
1942,1.0911786116152367,1942.2,2,32600.0,3
1942,1.0911786116152367,1942.3,1,29300.0,3
1943,1.1004510779528665,1943.1,4,73800.0,2
1943,1.1004510779528665,1943.2,3,73700.0,2
1944,1.0964135231749714,1944.0,0,12400.0,0
1945,1.0985575408967572,1945.1,2,70900.0,3
1945,1.0985575408967572,1945.2,2,32400.0,3
1945,1.0985575408967572,1945.3,1,32200.0,3
1946,1.0878677399195409,1946.0,0,13300.0,0
1947,1.068565540033838,1947.0,0,20100.0,0
1948,1.0997787001117678,1948.0,0,17600.0,0
1949,1.106432713724569,1949.1,1,25500.0,1
1950,1.0997479421646685,1950.1,5,132000.0,3
1950,1.0997479421646685,1950.2,3,76400.0,3
1950,1.0997479421646685,1950.3,3,60300.0,3
1951,1.1025719840160506,1951.1,2,39500.0,1
1952,1.1088036292356105,1952.1,1,27700.0,3
1952,1.1088036292356105,1952.2,1,27500.0,3
1952,1.1088036292356105,1952.3,1,30500.0,3
1953,1.0840014395739563,1953.1,1,27600.0,1
1954,1.0855281981971054,1954.1,1,36500.0,1
1955,1.1091722002123074,1955.1,8,69300.0,1
1956,1.0908652845928875,1956.1,3,33500.0,2
1956,1.0908652845928875,1956.2,1,25900.0,2
1957,1.0723842369664194,1957.1,1,28200.0,1
1958,1.106739861480067,1958.1,7,33000.0,1
1959,1.1068594076765939,1959.0,0,6260.0,0
1960,1.0912596088790376,1960.0,0,5170.0,0
1961,1.0734913465224363,1961.0,0,4540.0,0
1962,1.1052471122870355,1962.0,0,7870.0,0
1963,1.0944473025450163,1963.1,5,74100.0,1
1964,1.1063164809705845,1964.1,7,115000.0,1
1965,1.1043289535720278,1965.1,5,35500.0,1
1966,1.0904580073527086,1966.0,0,22600.0,0
1967,1.0973886836188995,1967.1,3,35900.0,2
1967,1.0973886836188995,1967.2,2,27200.0,2
1968,1.0927382860341943,1968.0,0,8230.0,0
1969,1.1098306777694023,1969.1,9,67200.0,1
1970,1.1086914506299574,1970.1,4,52200.0,2
1970,1.1086914506299574,1970.2,6,50300.0,2
1971,1.0943208441676455,1971.0,0,8240.0,0
1972,1.0948364685621037,1972.0,0,5270.0,0
1973,1.1023175615943166,1973.1,3,31900.0,2
1973,1.1023175615943166,1973.2,1,24800.0,2
1974,1.1041033304000074,1974.1,4,26400.0,1
1975,1.0966151498167085,1975.0,0,8250.0,0
1976,1.0624968759287854,1976.0,0,3070.0,0
1977,1.0964971107884807,1977.0,0,1300.0,0
1978,1.1096380435261162,1978.0,0,15200.0,0
1979,1.0936984263021992,1979.0,0,16000.0,0
1980,1.1031001992585312,1980.1,6,80200.0,2
1980,1.1031001992585312,1980.2,6,34500.0,2
1981,1.0946429463712644,1981.1,5,36100.0,1
1982,1.1056828304927917,1982.1,2,25000.0,5
1982,1.1056828304927917,1982.2,4,84200.0,5
1982,1.1056828304927917,1982.3,5,25000.0,5
1982,1.1056828304927917,1982.4,3,49400.0,5
1982,1.1056828304927917,1982.5,3,34800.0,5
1983,1.109738237722885,1983.1,1,25400.0,6
1983,1.109738237722885,1983.2,2,24900.0,6
1983,1.109738237722885,1983.3,5,34400.0,6
1983,1.109738237722885,1983.4,3,36200.0,6
1983,1.109738237722885,1983.5,3,25600.0,6
1983,1.109738237722885,1983.6,6,47200.0,6
1984,1.0997248521197094,1984.0,0,19600.0,0
1985,1.0907532661904704,1985.0,0,4110.0,0
1986,1.1103484547441138,1986.1,9,131000.0,2
1986,1.1103484547441138,1986.2,7,40900.0,2
1987,1.0854547613613326,1987.0,0,3500.0,0
1988,1.0880548076847343,1988.0,0,4550.0,0
1989,1.0890329400048555,1989.1,1,24400.0,1
1990,1.0734488170870056,1990.0,0,7930.0,0
1991,1.107045365483034,1991.0,0,4440.0,0
1992,1.105928180948413,1992.0,0,4670.0,0
1993,1.1042760774904714,1993.0,0,16100.0,0
1994,1.0908098825909438,1994.0,0,4090.0,0
1995,1.111558864928418,1995.1,1,26700.0,4
1995,1.111558864928418,1995.2,1,28400.0,4
1995,1.111558864928418,1995.3,5,41800.0,4
1995,1.111558864928418,1995.4,2,32900.0,4
1996,1.1109536519501524,1996.1,2,27700.0,5
1996,1.1109536519501524,1996.2,3,43700.0,5
1996,1.1109536519501524,1996.3,1,24400.0,5
1996,1.1109536519501524,1996.4,1,27300.0,5
1996,1.1109536519501524,1996.5,4,32200.0,5
1997,1.108429623033567,1997.0,11,106000.0,2
1997,1.108429623033567,1997.1,8,32000.0,2
1998,1.1123943319233272,1998.1,2,33700.0,1
1999,1.0926984056486573,1999.0,0,23900.0,0
2000,1.1057371436852366,2000.0,0,24100.0,0
2001,1.1014137615359831,2001.0,0,3110.0,0
2002,1.1036117821423128,2002.0,0,4020.0,0
2003,1.1003764269602585,2003.0,0,7000.0,0
2004,1.0996866055447965,2004.0,0,7930.0,0
2005,1.1081793803363917,2005.1,6,36300.0,1
2006,1.1028400016067164,2006.0,6,36200.0,2
2006,1.1028400016067164,2006.1,6,34900.0,2
2007,1.0914983838701726,2007.0,0,4520.0,0
2008,1.1038801085673886,2008.0,0,4400.0,0
2009,1.1029892394918654,2009.0,0,5510.0,0
2010,1.1003516241531277,2010.1,2,30900.0,1
2011,1.1170604330246712,2011.1,5,26300.0,1
2012,1.0866415405332386,2012.0,0,9930.0,0
2013,0.9659291049228622,2013.0,0,4850.0,0
2014,1.087750744051629,2014.0,0,2540.0,0
2015,1.090941671718928,2015.0,0,3760.0,0
2016,1.0982610466745393,2016.1,5,33100.0,1
2017,1.1151332231789917,2017.1,13,60500.0,2
2017,1.1151332231789917,2017.2,22,82400.0,2
2018,1.1057147566751646,2018.1,1,24700.0,1
2019,1.1106771519800382,2019.0,0,24100.0,0
2020,1.0793186968886883,2020.0,0,4210.0,0
2021,1.095790047734432,2021.0,0,5050.0,0
2022,1.107661579033708,2022.0,0,9760.0,0
2023,1.0963582242055214,2023.1,8,32500.0,2
2023,1.0963582242055214,2023.2,6,31400.0,2
2024,1.0994968659527324,2024.0,0,6360.0,0
