time,latent,mu,logvar
1940-01-16 00:00:00,-0.13419256,-0.03897962,-2.2082365
1940-02-15 00:00:00,0.13943973,-0.037577003,-2.2116337
1940-03-16 00:00:00,0.031752132,-0.041736513,-2.20225
1940-04-15 12:00:00,-0.3802603,-0.09195456,-1.984163
1940-05-16 00:00:00,0.32159436,-0.11626324,-1.7346158
1940-06-15 12:00:00,-0.22747259,-0.115742534,-1.7454231
1940-07-16 00:00:00,0.6669165,-0.12113002,-1.4625204
1940-08-16 00:00:00,0.013630986,-0.12101087,-1.4130697
1940-09-15 12:00:00,-0.22069605,-0.104295015,-1.885577
1940-10-16 00:00:00,-0.42116278,-0.07553081,-2.0729556
1940-11-15 12:00:00,-0.16750789,-0.10022923,-1.9217451
1940-12-16 00:00:00,-0.058727942,-0.03878507,-2.2106733
1941-01-16 00:00:00,-0.018669492,-0.041300416,-2.2051506
1941-02-14 12:00:00,0.46423724,-0.03885159,-2.2099047
1941-03-16 00:00:00,0.19367716,-0.045728415,-2.1914499
1941-04-15 12:00:00,-0.55712086,-0.047759295,-2.1848054
1941-05-16 00:00:00,0.56024045,-0.07028906,-2.1002042
1941-06-15 12:00:00,-0.13555881,-0.11398181,-1.7540562
1941-07-16 00:00:00,-0.13518697,-0.12066898,-1.5841069
1941-08-16 00:00:00,-0.36067414,-0.11256263,-1.7943273
1941-09-15 12:00:00,0.2281374,-0.120565,-1.4282281
1941-10-16 00:00:00,-0.35182387,-0.10952675,-1.8397055
1941-11-15 12:00:00,0.38953584,-0.06873934,-2.1065233
1941-12-16 00:00:00,0.15915576,-0.038299292,-2.2098484
1942-01-16 00:00:00,-0.29194272,-0.042008817,-2.2028952
1942-02-14 12:00:00,-0.40362397,-0.044057548,-2.1971428
1942-03-16 00:00:00,-0.20221272,-0.07034595,-2.0997293
1942-04-15 12:00:00,0.34460387,-0.04676673,-2.189914
1942-05-16 00:00:00,-0.2550844,-0.065846905,-2.1198022
1942-06-15 12:00:00,-1.1095935,-0.12065461,-1.5305586
1942-07-16 00:00:00,0.093588576,-0.12088993,-1.3989785
1942-08-16 00:00:00,-0.57480586,-0.12116957,-1.4093485
1942-09-15 12:00:00,-0.40412545,-0.11983532,-1.3464551
1942-10-16 00:00:00,-0.28945196,-0.11788511,-1.7139862
1942-11-15 12:00:00,0.3871501,-0.040964633,-2.2040167
1942-12-16 00:00:00,-0.18040356,-0.08118467,-2.0472846
1943-01-16 00:00:00,-0.24935131,-0.038652748,-2.208067
1943-02-14 12:00:00,-0.27333266,-0.06584166,-2.119131
1943-03-16 00:00:00,-0.036967568,-0.044877827,-2.1911387
1943-04-15 12:00:00,0.52996,-0.074662015,-2.0798256
1943-05-16 00:00:00,1.041544,-0.12090853,-1.4764273
1943-06-15 12:00:00,-0.22745341,-0.11858475,-1.6616416
1943-07-16 00:00:00,-0.11214976,-0.12121415,-1.5141001
1943-08-16 00:00:00,0.76604927,-0.11995286,-1.3447537
1943-09-15 12:00:00,-0.006716892,-0.119938135,-1.3563588
1943-10-16 00:00:00,-0.99978554,-0.092479736,-1.9810245
1943-11-15 12:00:00,-0.20135765,-0.11627641,-1.7272844
1943-12-16 00:00:00,-0.2998636,-0.059627116,-2.143435
1944-01-16 00:00:00,-0.49597323,-0.051760614,-2.1746874
1944-02-15 00:00:00,-0.2543318,-0.042033523,-2.2017536
1944-03-16 00:00:00,0.1437115,-0.061099395,-2.136896
1944-04-15 12:00:00,0.41606408,-0.06341718,-2.128674
1944-05-16 00:00:00,0.15582445,-0.104305774,-1.8933456
1944-06-15 12:00:00,0.46579894,-0.115909666,-1.7337267
1944-07-16 00:00:00,-0.45220253,-0.12068698,-1.3830068
1944-08-16 00:00:00,-0.16649228,-0.11986151,-1.3397605
1944-09-15 12:00:00,0.4816232,-0.12096122,-1.4163775
1944-10-16 00:00:00,0.430781,-0.098894894,-1.9329429
1944-11-15 12:00:00,-0.06050536,-0.044686407,-2.195211
1944-12-16 00:00:00,0.08041483,-0.05370927,-2.167067
1945-01-16 00:00:00,-0.054363918,-0.11415529,-1.7854233
1945-02-14 12:00:00,-0.64773834,-0.042897373,-2.1978672
1945-03-16 00:00:00,-0.08496133,-0.043399364,-2.1979518
1945-04-15 12:00:00,-0.78181976,-0.10506147,-1.875494
1945-05-16 00:00:00,-0.1207245,-0.07792276,-2.0619245
1945-06-15 12:00:00,0.30355737,-0.118578345,-1.6548562
1945-07-16 00:00:00,0.4708116,-0.12035596,-1.386662
1945-08-16 00:00:00,-1.433591,-0.120999366,-1.4401336
1945-09-15 12:00:00,-0.040681183,-0.12042126,-1.3955252
1945-10-16 00:00:00,0.32349366,-0.05275196,-2.1691732
1945-11-15 12:00:00,0.1386357,-0.052166536,-2.17313
1945-12-16 00:00:00,0.23907867,-0.040468782,-2.2060485
1946-01-16 00:00:00,-0.82958496,-0.07495804,-2.07948
1946-02-14 12:00:00,-0.30418807,-0.07181667,-2.0951378
1946-03-16 00:00:00,0.24370235,-0.045680493,-2.189251
1946-04-15 12:00:00,-0.14131683,-0.11945915,-1.6722624
1946-05-16 00:00:00,-0.24566576,-0.115749866,-1.7527759
1946-06-15 12:00:00,-0.1648344,-0.120242864,-1.3647096
1946-07-16 00:00:00,-0.38820153,-0.121145576,-1.5537806
1946-08-16 00:00:00,-0.76747316,-0.120871544,-1.3931458
1946-09-15 12:00:00,0.59647536,-0.12016001,-1.3699956
1946-10-16 00:00:00,-0.8879162,-0.09640822,-1.9498184
1946-11-15 12:00:00,-0.1922763,-0.042366326,-2.1999679
1946-12-16 00:00:00,-0.49087653,-0.0573591,-2.1512923
1947-01-16 00:00:00,0.36697727,-0.09587273,-1.9577513
1947-02-14 12:00:00,-0.4851973,-0.054307297,-2.1640303
1947-03-16 00:00:00,-0.30647922,-0.048279315,-2.1853027
1947-04-15 12:00:00,-0.18286921,-0.09835419,-1.9411421
1947-05-16 00:00:00,-0.1665514,-0.10503182,-1.8878341
1947-06-15 12:00:00,0.09191908,-0.09119174,-1.9881129
1947-07-16 00:00:00,0.18419659,-0.120238036,-1.3584967
1947-08-16 00:00:00,-0.7996663,-0.12060985,-1.5445416
1947-09-15 12:00:00,-0.08999817,-0.1213685,-1.4666135
1947-10-16 00:00:00,0.22593999,-0.055148065,-2.1633599
1947-11-15 12:00:00,0.25719112,-0.09610799,-1.9546304
1947-12-16 00:00:00,-0.10687524,-0.07397181,-2.0831347
1948-01-16 00:00:00,0.24296512,-0.062637314,-2.1358285
1948-02-15 00:00:00,-0.21347263,-0.064110056,-2.126323
1948-03-16 00:00:00,-0.5306701,-0.041364342,-2.2033782
1948-04-15 12:00:00,0.11010519,-0.039292052,-2.207469
1948-05-16 00:00:00,-0.54173625,-0.060917735,-2.1373963
1948-06-15 12:00:00,0.019435257,-0.108137816,-1.8512833
1948-07-16 00:00:00,0.206426,-0.12045193,-1.390337
1948-08-16 00:00:00,-0.071265474,-0.12054625,-1.364438
1948-09-15 12:00:00,-0.15162359,-0.12118533,-1.4834583
1948-10-16 00:00:00,0.47393027,-0.10958114,-1.8351946
1948-11-15 12:00:00,0.075265065,-0.08124015,-2.0456274
1948-12-16 00:00:00,0.6299721,-0.042044535,-2.2025344
1949-01-16 00:00:00,0.23729235,-0.06362024,-2.1276505
1949-02-14 12:00:00,0.40681714,-0.04873565,-2.1832454
1949-03-16 00:00:00,-0.6716986,-0.03894475,-2.2084117
1949-04-15 12:00:00,-0.008211143,-0.10782996,-1.8533485
1949-05-16 00:00:00,0.045022562,-0.06445666,-2.1236098
1949-06-15 12:00:00,0.5676879,-0.12067908,-1.3971186
1949-07-16 00:00:00,-0.32260823,-0.12042478,-1.3787317
1949-08-16 00:00:00,-0.537035,-0.12138942,-1.4514055
1949-09-15 12:00:00,-0.28711182,-0.12132457,-1.466392
1949-10-16 00:00:00,-0.23412469,-0.120607585,-1.5910082
1949-11-15 12:00:00,-0.71429604,-0.06355156,-2.1271703
1949-12-16 00:00:00,-0.77635086,-0.058172643,-2.1496549
1950-01-16 00:00:00,-0.47103572,-0.039312854,-2.2079492
1950-02-14 12:00:00,0.26975596,-0.053982615,-2.1660597
1950-03-16 00:00:00,-0.48637566,-0.05346608,-2.1671743
1950-04-15 12:00:00,-0.45187366,-0.06792383,-2.110608
1950-05-16 00:00:00,0.12140235,-0.09483126,-1.9630108
1950-06-15 12:00:00,0.5202316,-0.11667994,-1.7038448
1950-07-16 00:00:00,-0.449807,-0.12125385,-1.4404345
1950-08-16 00:00:00,-0.09219986,-0.12102419,-1.4207833
1950-09-15 12:00:00,0.33985376,-0.1085138,-1.8449545
1950-10-16 00:00:00,0.057540134,-0.04780209,-2.186976
1950-11-15 12:00:00,0.34006682,-0.040888578,-2.2043872
1950-12-16 00:00:00,-0.31457764,-0.043081224,-2.2008135
1951-01-16 00:00:00,0.20206541,-0.04177223,-2.2031467
1951-02-14 12:00:00,-0.19383487,-0.05316341,-2.1698732
1951-03-16 00:00:00,0.08203375,-0.07167022,-2.094183
1951-04-15 12:00:00,0.30006093,-0.06301926,-2.1287222
1951-05-16 00:00:00,0.29534885,-0.08206615,-2.0429287
1951-06-15 12:00:00,0.2731509,-0.12150177,-1.5113721
1951-07-16 00:00:00,-0.033391625,-0.12101635,-1.4148715
