year,sim,signal,Scale_Sig,Scale_Int,Scale_Dur,Scale_Freq
2010,0,0.011970814042340303,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2011,0,0.008352660475122377,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2012,0,0.010217714815712528,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2013,0,0.008621140580319228,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2014,0,0.009713227604585036,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2015,0,0.008193362469981539,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2016,0,0.008649781085795878,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2017,0,0.009278063109938882,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2018,0,0.007899000380629415,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2019,0,0.010933135830231625,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2020,0,0.011295965968770088,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2021,0,0.010369330274489757,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2022,0,0.008277181856805071,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2023,0,0.008279167476568516,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2024,0,0.011108650043030466,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2010,1,0.0068547206155780615,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2011,1,0.009666324548538373,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2012,1,0.010971522457465275,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2013,1,0.01027344684538948,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2014,1,0.008899120197857099,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2015,1,0.00822578128747729,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2016,1,0.008787098360978959,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2017,1,0.011184072856202812,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2018,1,0.009005017814840234,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2019,1,0.008520059820479174,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2020,1,0.008808031242594296,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2021,1,0.010259364014337687,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2022,1,0.0085350069308277,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2023,1,0.011475189482133616,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2024,1,0.012062915387080618,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2010,2,0.00893448728624308,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2011,2,0.01060790792328386,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2012,2,0.006601987149169324,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2013,2,0.007249481852229593,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2014,2,0.014072106646054218,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2015,2,0.009799680701218047,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2016,2,0.011983572727460975,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2017,2,0.007930119862792719,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2018,2,0.006037663558875013,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2019,2,0.007758595832089477,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2020,2,0.012722114446710535,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2021,2,0.013539541386539025,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2022,2,0.010777346851362246,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2023,2,0.006997994044375356,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2024,2,0.009529755558285764,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2010,3,0.00940802239621586,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2011,3,0.007381154744070273,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2012,3,0.011562600923802645,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2013,3,0.010405872078889029,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2014,3,0.009835623728869978,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2015,3,0.005670021814117308,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2016,3,0.011998900087635996,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2017,3,0.01269040912309933,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2018,3,0.008230231216713494,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2019,3,0.010428909166642512,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2020,3,0.010653820584648428,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2021,3,0.009148170629567846,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2022,3,0.006110998545406268,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2023,3,0.006623780393555042,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2024,3,0.012414363863180185,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2010,4,0.00980842540115767,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2011,4,0.009249272877039786,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2012,4,0.009125979482854716,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2013,4,0.006981940011966508,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2014,4,0.012883853137472853,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2015,4,0.010855713907543436,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2016,4,0.006582270023330465,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2017,4,0.010880972316188115,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2018,4,0.007854865176833946,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2019,4,0.010794856847554053,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2020,4,0.011590770462798713,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2021,4,0.011851518364580618,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2022,4,0.006746841021178674,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2023,4,0.0071054472338508215,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2024,4,0.009717207915910261,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2010,5,0.0075413648510355424,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2011,5,0.011701242760391563,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2012,5,0.01136468632647593,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2013,5,0.007673043646453888,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2014,5,0.009390006302747052,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2015,5,0.008643579827387102,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2016,5,0.008189622382382541,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2017,5,0.010835297742716195,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2018,5,0.00913278228313223,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2019,5,0.00988786404361057,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2020,5,0.009119247722290183,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2021,5,0.011427564448015848,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2022,5,0.012189450082704159,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2023,5,0.00929736982023864,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2024,5,0.00923897431835705,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2010,6,0.011024116083903572,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2011,6,0.010484992412492851,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
2012,6,0.007057594289067195,0.01037402020577033,44831.42857142857,3.4571428571428573,1.0
