Year,Signal,Cluster_ID,Duration,Intensity,Frequency
1940,0.009543247821596592,1940.1,3,57500.0,3
1940,0.009543247821596592,1940.2,1,47400.0,3
1940,0.009543247821596592,1940.3,3,69600.0,3
1941,0.009505492573865819,1941.0,0,26900.0,0
1942,0.008625521954157792,1942.1,4,54600.0,3
1942,0.008625521954157792,1942.2,2,32600.0,3
1942,0.008625521954157792,1942.3,1,29300.0,3
1943,0.009866939968113443,1943.1,4,73800.0,2
1943,0.009866939968113443,1943.2,3,73700.0,2
1944,0.008750029499908501,1944.0,0,12400.0,0
1945,0.010004911297862316,1945.1,2,70900.0,3
1945,0.010004911297862316,1945.2,1,32400.0,3
1945,0.010004911297862316,1945.3,1,32200.0,3
1946,0.00808044338051615,1946.0,0,13300.0,0
1947,0.006300536643723758,1947.0,0,20100.0,0
1948,0.010014003051757427,1948.0,0,17600.0,0
1949,0.011003098349455979,1949.0,0,25500.0,0
1950,0.010163799446374768,1950.1,5,132000.0,3
1950,0.010163799446374768,1950.2,2,76400.0,3
1950,0.010163799446374768,1950.3,3,60300.0,3
1951,0.010607678346707923,1951.1,2,39500.0,1
1952,0.011622918489835035,1952.1,1,27700.0,3
1952,0.011622918489835035,1952.2,1,27500.0,3
1952,0.011622918489835035,1952.3,1,30500.0,3
1953,0.008477873213808315,1953.1,1,27600.0,1
1954,0.008177712708930123,1954.1,1,36500.0,1
1955,0.011069760281040716,1955.1,7,69300.0,1
1956,0.008873840415757282,1956.1,3,33500.0,1
1957,0.0074137464879424075,1957.1,1,28200.0,1
1958,0.011644014807036005,1958.1,4,33000.0,2
1958,0.011644014807036005,1958.2,2,28300.0,2
1959,0.010520139175582994,1959.0,0,6260.0,0
1960,0.008769692232605047,1960.0,0,5170.0,0
1961,0.0070321715963336095,1961.0,0,4540.0,0
1962,0.010265526606101428,1962.0,0,7870.0,0
1963,0.009124353567570926,1963.1,5,74100.0,1
1964,0.011051733127170296,1964.1,7,115000.0,1
1965,0.009979353903076488,1965.1,5,35500.0,1
1966,0.007931934684985882,1966.0,0,22600.0,0
1967,0.009643346821237533,1967.1,3,35900.0,1
1968,0.008630929592534984,1968.0,0,8230.0,0
1969,0.011456395440548685,1969.1,4,67200.0,2
1969,0.011456395440548685,1969.2,4,39900.0,2
1970,0.011858047718928169,1970.1,4,52200.0,2
1970,0.011858047718928169,1970.2,5,50300.0,2
1971,0.008543436521568082,1971.0,0,8240.0,0
1972,0.008550419312717482,1972.0,0,5270.0,0
1973,0.010364480063555715,1973.1,3,31900.0,1
1974,0.010212330585447986,1974.0,0,26400.0,0
1975,0.009596448301057785,1975.0,0,8250.0,0
1976,0.005422262869667341,1976.0,0,3070.0,0
1977,0.0088879551238157,1977.0,0,1300.0,0
1978,0.011358680453151694,1978.0,0,15200.0,0
1979,0.008799082920052121,1979.0,0,16000.0,0
1980,0.010212128045938476,1980.1,6,80200.0,2
1980,0.010212128045938476,1980.2,4,34500.0,2
1981,0.009070197095129297,1981.1,4,36100.0,1
1982,0.01052696018854842,1982.1,3,84200.0,3
1982,0.01052696018854842,1982.2,2,49400.0,3
1982,0.01052696018854842,1982.3,2,34800.0,3
1983,0.011978291967030548,1983.1,4,34400.0,3
1983,0.011978291967030548,1983.2,3,36200.0,3
1983,0.011978291967030548,1983.3,4,47200.0,3
1984,0.010166250252881013,1984.0,0,19600.0,0
1985,0.007899425603564304,1985.0,0,4110.0,0
1986,0.011762281244970103,1986.1,8,131000.0,2
1986,0.011762281244970103,1986.2,3,40900.0,2
1987,0.008196372807078396,1987.0,0,3500.0,0
1988,0.007962975306740255,1988.0,0,4550.0,0
1989,0.009024382569718995,1989.0,0,24400.0,0
