sim,year,storm_index,unique_storm_id,signal,Frequency,Intensity,Duration,storm_day,daily_flow
0,1975,0,0_1975_0,0.0035590317890870646,0.0,0.0,0,0,0
0,1976,1,0_1976_1,0.003466812576733138,1.0,25060.35992116332,2,1,11546.13441393912
0,1976,1,0_1976_1,0.003466812576733138,1.0,25060.35992116332,2,2,25060.35992116332
0,1977,1,0_1977_1,0.0033292742132083816,2.0,21995.40170014936,1,1,21995.40170014936
0,1977,2,0_1977_2,0.0033292742132083816,2.0,300418.1836987518,13,13,151726.35540341
0,1977,2,0_1977_2,0.0033292742132083816,2.0,300418.1836987518,13,11,206347.8433486376
0,1977,2,0_1977_2,0.0033292742132083816,2.0,300418.1836987518,13,10,235089.3585160926
0,1977,2,0_1977_2,0.0033292742132083816,2.0,300418.1836987518,13,9,261836.33903902752
0,1977,2,0_1977_2,0.0033292742132083816,2.0,300418.1836987518,13,8,282835.22494379483
0,1977,2,0_1977_2,0.0033292742132083816,2.0,300418.1836987518,13,12,178596.30096712513
0,1977,2,0_1977_2,0.0033292742132083816,2.0,300418.1836987518,13,6,295515.2132167941
0,1977,2,0_1977_2,0.0033292742132083816,2.0,300418.1836987518,13,5,296950.15271810244
0,1977,2,0_1977_2,0.0033292742132083816,2.0,300418.1836987518,13,4,305371.173858315
0,1977,2,0_1977_2,0.0033292742132083816,2.0,300418.1836987518,13,1,205047.33173089408
0,1977,2,0_1977_2,0.0033292742132083816,2.0,300418.1836987518,13,3,300418.1836987518
0,1977,2,0_1977_2,0.0033292742132083816,2.0,300418.1836987518,13,2,262858.6162000904
0,1977,2,0_1977_2,0.0033292742132083816,2.0,300418.1836987518,13,7,294349.1294826154
0,1978,0,0_1978_0,0.002289643509067388,0.0,0.0,0,0,0
0,1979,0,0_1979_0,0.0024634273855542854,0.0,0.0,0,0,0
0,1980,0,0_1980_0,0.003316872626158071,0.0,0.0,0,0,0
0,1981,1,0_1981_1,0.002796904059473732,1.0,23359.563288305617,2,1,10762.521305606777
0,1981,1,0_1981_1,0.002796904059473732,1.0,23359.563288305617,2,2,23359.563288305617
0,1982,1,0_1982_1,0.0044680661202004,2.0,30597.772174172158,2,1,29542.676581959327
0,1982,1,0_1982_1,0.0044680661202004,2.0,30597.772174172158,2,2,30597.772174172158
0,1982,2,0_1982_2,0.0044680661202004,2.0,10336.087481350409,1,1,10336.087481350409
0,1983,1,0_1983_1,0.00421817376851673,2.0,11421.159936495193,3,3,10231.45577644361
0,1983,1,0_1983_1,0.00421817376851673,2.0,11421.159936495193,3,2,11421.159936495193
0,1983,1,0_1983_1,0.00421817376851673,2.0,11421.159936495193,3,1,9636.603696417818
0,1983,2,0_1983_2,0.00421817376851673,2.0,67639.28616955802,6,3,45242.278778546584
0,1983,2,0_1983_2,0.00421817376851673,2.0,67639.28616955802,6,5,64625.85348693728
0,1983,2,0_1983_2,0.00421817376851673,2.0,67639.28616955802,6,4,52409.99343718128
0,1983,2,0_1983_2,0.00421817376851673,2.0,67639.28616955802,6,2,54221.70146885618
0,1983,2,0_1983_2,0.00421817376851673,2.0,67639.28616955802,6,1,23878.71769319245
0,1983,2,0_1983_2,0.00421817376851673,2.0,67639.28616955802,6,6,18242.110512395957
100,1975,1,100_1975_1,0.0036682263084856347,2.0,49439.172569754985,6,1,28289.081200507575
100,1975,1,100_1975_1,0.0036682263084856347,2.0,49439.172569754985,6,5,26767.22775808081
100,1975,1,100_1975_1,0.0036682263084856347,2.0,49439.172569754985,6,6,22484.481991912864
100,1975,1,100_1975_1,0.0036682263084856347,2.0,49439.172569754985,6,3,36698.62059450024
100,1975,1,100_1975_1,0.0036682263084856347,2.0,49439.172569754985,6,2,49050.48364409573
100,1975,1,100_1975_1,0.0036682263084856347,2.0,49439.172569754985,6,4,24225.537688197197
100,1975,2,100_1975_2,0.0036682263084856347,2.0,37050.50114456839,6,1,21200.28675478677
100,1975,2,100_1975_2,0.0036682263084856347,2.0,37050.50114456839,6,2,36759.21149030283
100,1975,2,100_1975_2,0.0036682263084856347,2.0,37050.50114456839,6,3,27502.52914168767
100,1975,2,100_1975_2,0.0036682263084856347,2.0,37050.50114456839,6,4,18155.00270717381
100,1975,2,100_1975_2,0.0036682263084856347,2.0,37050.50114456839,6,5,20059.78561409833
100,1975,2,100_1975_2,0.0036682263084856347,2.0,37050.50114456839,6,6,16850.22791595081
100,1976,0,100_1976_0,0.00330434014900996,0.0,0.0,0,0,0
100,1977,2,100_1977_2,0.003266031747280219,2.0,29875.355679250737,6,6,8057.2928953130795
100,1977,2,100_1977_2,0.003266031747280219,2.0,29875.355679250737,6,5,28544.36331804969
100,1977,2,100_1977_2,0.003266031747280219,2.0,29875.355679250737,6,3,19982.90116280405
100,1977,2,100_1977_2,0.003266031747280219,2.0,29875.355679250737,6,2,23948.99042629585
100,1977,2,100_1977_2,0.003266031747280219,2.0,29875.355679250737,6,1,10546.905868583972
100,1977,2,100_1977_2,0.003266031747280219,2.0,29875.355679250737,6,4,23148.78355099617
100,1978,1,100_1978_1,0.0027976850551811425,1.0,17353.439182485483,2,1,17353.439182485483
100,1978,1,100_1978_1,0.0027976850551811425,1.0,17353.439182485483,2,2,8468.674128547218
100,1979,0,100_1979_0,0.0027660495209149297,0.0,0.0,0,0,0
100,1982,1,100_1982_1,0.004174318610690903,1.0,29940.504720917535,2,1,13794.578091312791
100,1982,1,100_1982_1,0.004174318610690903,1.0,29940.504720917535,2,2,29940.504720917535
100,1983,0,100_1983_0,0.003200267594446583,0.0,0.0,0,0,0
100,1984,0,100_1984_0,0.003983096840729206,0.0,0.0,0,0,0
101,1975,0,101_1975_0,0.003732158974179236,0.0,0.0,0,0,0
101,1976,0,101_1976_0,0.003585373896108912,0.0,0.0,0,0,0
101,1978,0,101_1978_0,0.0031268589840909135,0.0,0.0,0,0,0
101,1979,0,101_1979_0,0.003069902133288245,0.0,0.0,0,0,0
101,1980,0,101_1980_0,0.002404846385172205,0.0,0.0,0,0,0
101,1982,1,101_1982_1,0.0036801364463149647,1.0,65780.24661511685,4,3,65780.24661511685
101,1982,1,101_1982_1,0.0036801364463149647,1.0,65780.24661511685,4,1,46817.75007596786
101,1982,1,101_1982_1,0.0036801364463149647,1.0,65780.24661511685,4,2,60287.661410673696
101,1982,1,101_1982_1,0.0036801364463149647,1.0,65780.24661511685,4,4,56102.83458824081
101,1983,1,101_1983_1,0.004558671094393552,2.0,52341.08446031416,6,1,29949.554401043457
101,1983,1,101_1983_1,0.004558671094393552,2.0,52341.08446031416,6,2,51929.5808119063
101,1983,1,101_1983_1,0.004558671094393552,2.0,52341.08446031416,6,3,38852.70525924744
101,1983,1,101_1983_1,0.004558671094393552,2.0,52341.08446031416,6,4,25647.49465508171
101,1983,1,101_1983_1,0.004558671094393552,2.0,52341.08446031416,6,5,28338.37331879757
101,1983,1,101_1983_1,0.004558671094393552,2.0,52341.08446031416,6,6,23804.2448895086
101,1984,1,101_1984_1,0.0039259251085743746,2.0,48670.28658621249,2,1,48670.28658621249
101,1984,1,101_1984_1,0.0039259251085743746,2.0,48670.28658621249,2,2,32535.997443164026
102,1975,0,102_1975_0,0.004849923347805813,0.0,0.0,0,0,0
102,1976,1,102_1976_1,0.0031151848289765896,2.0,108335.81252035625,3,3,97050.83204948582
102,1976,1,102_1976_1,0.0031151848289765896,2.0,108335.81252035625,3,1,91408.34181405058
102,1976,1,102_1976_1,0.0031151848289765896,2.0,108335.81252035625,3,2,108335.81252035625
102,1977,1,102_1977_1,0.0026917244874722548,1.0,63608.84479010417,5,5,17155.112685815973
102,1977,1,102_1977_1,0.0026917244874722548,1.0,63608.84479010417,5,1,22455.84975165799
102,1977,1,102_1977_1,0.0026917244874722548,1.0,63608.84479010417,5,3,39273.64280601129
102,1977,1,102_1977_1,0.0026917244874722548,1.0,63608.84479010417,5,2,52525.485470616324
102,1977,1,102_1977_1,0.0026917244874722548,1.0,63608.84479010417,5,4,63608.84479010417
102,1978,1,102_1978_1,0.0028775470904722107,2.0,64431.82417574057,1,1,64431.82417574057
102,1978,2,102_1978_2,0.0028775470904722107,2.0,115607.56565694648,2,1,111621.09787567247
102,1978,2,102_1978_2,0.0028775470904722107,2.0,115607.56565694648,2,2,115607.56565694648
102,1979,1,102_1979_1,0.003528196938232606,1.0,43327.810482095185,5,1,15296.030064133603
102,1979,1,102_1979_1,0.003528196938232606,1.0,43327.810482095185,5,2,35778.267746578604
102,1979,1,102_1979_1,0.003528196938232606,1.0,43327.810482095185,5,3,26751.64056280877
102,1979,1,102_1979_1,0.003528196938232606,1.0,43327.810482095185,5,4,43327.810482095185
102,1979,1,102_1979_1,0.003528196938232606,1.0,43327.810482095185,5,5,11685.379190625672
102,1980,0,102_1980_0,0.0036948379170225693,0.0,0.0,0,0,0
102,1981,1,102_1981_1,0.002431834822520463,2.0,162161.9236006735,12,11,97739.01405741478
102,1981,1,102_1981_1,0.002431834822520463,2.0,162161.9236006735,12,10,114193.37294689761
102,1981,1,102_1981_1,0.002431834822520463,2.0,162161.9236006735,12,12,81899.96141448157
102,1981,1,102_1981_1,0.002431834822520463,2.0,162161.9236006735,12,9,131027.91572939066
102,1981,1,102_1981_1,0.002431834822520463,2.0,162161.9236006735,12,1,110681.94785442794
102,1981,1,102_1981_1,0.002431834822520463,2.0,162161.9236006735,12,7,156251.69197494228
102,1981,1,102_1981_1,0.002431834822520463,2.0,162161.9236006735,12,6,159648.8218545431
102,1981,1,102_1981_1,0.002431834822520463,2.0,162161.9236006735,12,5,159532.03828822594
102,1981,1,102_1981_1,0.002431834822520463,2.0,162161.9236006735,12,4,163695.60131537734
