Year,Signal,Cluster_ID,Duration,Intensity,Frequency
1940,0.0034001699094939595,1940.1,3,57500.0,3
1940,0.0034001699094939595,1940.2,1,47400.0,3
1940,0.0034001699094939595,1940.3,3,69600.0,3
1941,0.003420769338721587,1941.1,1,26900.0,1
1942,0.003274221415512528,1942.1,4,54600.0,3
1942,0.003274221415512528,1942.2,2,32600.0,3
1942,0.003274221415512528,1942.3,1,29300.0,3
1943,0.0025716547046884778,1943.1,4,73800.0,2
1943,0.0025716547046884778,1943.2,3,73700.0,2
1944,0.0033464142050637054,1944.0,0,12400.0,0
1945,0.0036527572157607395,1945.1,2,70900.0,3
1945,0.0036527572157607395,1945.2,2,32400.0,3
1945,0.0036527572157607395,1945.3,1,32200.0,3
1946,0.0021988346478168707,1946.0,0,13300.0,0
1947,0.0024947647538150035,1947.0,0,20100.0,0
1948,0.003754682554580832,1948.0,0,17600.0,0
1949,0.0032189212556578964,1949.1,1,25500.0,1
1950,0.004367343146447657,1950.1,5,132000.0,3
1950,0.004367343146447657,1950.2,3,76400.0,3
1950,0.004367343146447657,1950.3,3,60300.0,3
1951,0.004138578778415439,1951.1,2,39500.0,1
1952,0.004393882650863573,1952.1,1,27700.0,3
1952,0.004393882650863573,1952.2,1,27500.0,3
1952,0.004393882650863573,1952.3,1,30500.0,3
1953,0.002997198824334404,1953.1,1,27600.0,1
1954,0.0031318657911198985,1954.1,1,36500.0,1
1955,0.0030712878874157236,1955.1,8,69300.0,1
1956,0.0024428389740460675,1956.1,3,33500.0,2
1956,0.0024428389740460675,1956.2,1,25900.0,2
1957,0.003950294065146297,1957.1,1,28200.0,1
1958,0.0039053259741500907,1958.1,7,33000.0,1
1959,0.0024721854531434793,1959.0,0,6260.0,0
1960,0.003414162839544701,1960.0,0,5170.0,0
1961,0.0032069664962255276,1961.0,0,4540.0,0
1962,0.0032876197633276666,1962.0,0,7870.0,0
1963,0.004101888020521675,1963.1,5,74100.0,1
1964,0.003508039570957023,1964.1,7,115000.0,1
1965,0.0036168885777194586,1965.1,5,35500.0,1
1966,0.002770682435186532,1966.0,0,22600.0,0
1967,0.003770665292900775,1967.1,3,35900.0,2
1967,0.003770665292900775,1967.2,2,27200.0,2
1968,0.003479226964142492,1968.0,0,8230.0,0
1969,0.0038058980052263934,1969.1,9,67200.0,1
1970,0.003903815690869972,1970.1,4,52200.0,2
1970,0.003903815690869972,1970.2,6,50300.0,2
1971,0.002672486380514528,1971.0,0,8240.0,0
1972,0.002905760791569217,1972.0,0,5270.0,0
1973,0.00443015797393206,1973.1,3,31900.0,2
1973,0.00443015797393206,1973.2,1,24800.0,2
1974,0.003649987918130603,1974.1,4,26400.0,1
1975,0.003113541152807503,1975.0,0,8250.0,0
1976,0.0018761454682824016,1976.0,0,3070.0,0
1977,0.0023159185877368216,1977.0,0,1300.0,0
1978,0.0038548072800784284,1978.0,0,15200.0,0
1979,0.0033879678340082717,1979.0,0,16000.0,0
1980,0.0029117701925521545,1980.1,6,80200.0,2
1980,0.0029117701925521545,1980.2,6,34500.0,2
1981,0.0035793904992954487,1981.1,5,36100.0,1
1982,0.005469513639273043,1982.1,2,25000.0,5
1982,0.005469513639273043,1982.2,4,84200.0,5
1982,0.005469513639273043,1982.3,5,25000.0,5
1982,0.005469513639273043,1982.4,3,49400.0,5
1982,0.005469513639273043,1982.5,3,34800.0,5
1983,0.005883205026679749,1983.1,1,25400.0,6
1983,0.005883205026679749,1983.2,2,24900.0,6
1983,0.005883205026679749,1983.3,5,34400.0,6
1983,0.005883205026679749,1983.4,3,36200.0,6
1983,0.005883205026679749,1983.5,3,25600.0,6
1983,0.005883205026679749,1983.6,6,47200.0,6
1984,0.002733459351503753,1984.0,0,19600.0,0
1985,0.002417062527206863,1985.0,0,4110.0,0
1986,0.0033144453012784085,1986.1,9,131000.0,2
1986,0.0033144453012784085,1986.2,7,40900.0,2
1987,0.003402111050315545,1987.0,0,3500.0,0
1988,0.002855658200434005,1988.0,0,4550.0,0
1989,0.0026014783219167675,1989.1,1,24400.0,1
1990,0.002548663659210434,1990.0,0,7930.0,0
1991,0.0028981869290365804,1991.0,0,4440.0,0
1992,0.0035523063310944286,1992.0,0,4670.0,0
1993,0.0038173542338655686,1993.0,0,16100.0,0
1994,0.00295692711151016,1994.0,0,4090.0,0
1995,0.004321670037970645,1995.1,1,26700.0,4
1995,0.004321670037970645,1995.2,1,28400.0,4
1995,0.004321670037970645,1995.3,5,41800.0,4
1995,0.004321670037970645,1995.4,2,32900.0,4
1996,0.004667935652108549,1996.1,2,27700.0,5
