sim,year,storm_index,unique_storm_id,signal,Frequency,Intensity,Duration,storm_day,daily_flow
0,1990,0,0_1990_0,4.607412335544831,0.0,0.0,0,0,0
0,1991,0,0_1991_0,1.1934639050326654,0.0,0.0,0,0,0
0,1992,0,0_1992_0,1.5654618498078097,0.0,0.0,0,0,0
0,1993,0,0_1993_0,1.50910237172621,0.0,0.0,0,0,0
0,1994,0,0_1994_0,2.4852042578921667,0.0,0.0,0,0,0
0,1995,0,0_1995_0,2.6631420626410436,0.0,0.0,0,0,0
0,1996,1,0_1996_1,2.124463807418093,1.0,6857.749379597764,1,1,6857.749379597764
0,1997,0,0_1997_0,2.252572466279969,0.0,0.0,0,0,0
0,1998,1,0_1998_1,1.515993688029145,1.0,101672.22681540523,3,1,60699.83690471954
0,1998,1,0_1998_1,1.515993688029145,1.0,101672.22681540523,3,2,101672.22681540523
0,1998,1,0_1998_1,1.515993688029145,1.0,101672.22681540523,3,3,52836.448942062685
0,2000,1,0_2000_1,2.820355344597237,1.0,10355.06027064084,1,1,10355.06027064084
0,2002,1,0_2002_1,2.8519975350488806,1.0,29488.585007376765,3,3,20359.94477900622
0,2002,1,0_2002_1,2.8519975350488806,1.0,29488.585007376765,3,1,23898.57497989143
0,2002,1,0_2002_1,2.8519975350488806,1.0,29488.585007376765,3,2,29488.585007376765
0,2003,0,0_2003_0,2.3730205082367126,0.0,0.0,0,0,0
0,2004,1,0_2004_1,2.7388296892249135,2.0,122344.92080495464,4,1,82969.54399416463
0,2004,1,0_2004_1,2.7388296892249135,2.0,122344.92080495464,4,4,66328.75974674744
0,2004,1,0_2004_1,2.7388296892249135,2.0,122344.92080495464,4,3,105938.51380045881
0,2004,1,0_2004_1,2.7388296892249135,2.0,122344.92080495464,4,2,122344.92080495464
0,2004,2,0_2004_2,2.7388296892249135,2.0,33239.37458427829,5,4,28349.28766730693
0,2004,2,0_2004_2,2.7388296892249135,2.0,33239.37458427829,5,3,33239.37458427829
0,2004,2,0_2004_2,2.7388296892249135,2.0,33239.37458427829,5,2,30463.91984761887
0,2004,2,0_2004_2,2.7388296892249135,2.0,33239.37458427829,5,1,23657.447517239816
0,2004,2,0_2004_2,2.7388296892249135,2.0,33239.37458427829,5,5,18701.27834463371
100,1990,1,100_1990_1,3.5911016789257815,1.0,158195.47299307075,12,8,77269.0531823741
100,1990,1,100_1990_1,3.5911016789257815,1.0,158195.47299307075,12,12,38280.889266262166
100,1990,1,100_1990_1,3.5911016789257815,1.0,158195.47299307075,12,11,50284.35704292009
100,1990,1,100_1990_1,3.5911016789257815,1.0,158195.47299307075,12,10,53608.97367694779
100,1990,1,100_1990_1,3.5911016789257815,1.0,158195.47299307075,12,9,55553.46113097797
100,1990,1,100_1990_1,3.5911016789257815,1.0,158195.47299307075,12,7,107807.54771810623
100,1990,1,100_1990_1,3.5911016789257815,1.0,158195.47299307075,12,3,156544.88233006297
100,1990,1,100_1990_1,3.5911016789257815,1.0,158195.47299307075,12,5,149442.70925009833
100,1990,1,100_1990_1,3.5911016789257815,1.0,158195.47299307075,12,4,158983.19947319958
100,1990,1,100_1990_1,3.5911016789257815,1.0,158195.47299307075,12,2,134296.66598125905
100,1990,1,100_1990_1,3.5911016789257815,1.0,158195.47299307075,12,1,96728.68234156465
100,1990,1,100_1990_1,3.5911016789257815,1.0,158195.47299307075,12,6,132010.9648633761
100,1991,1,100_1991_1,3.420981372093361,1.0,43502.12305178763,6,1,26904.056151729008
100,1991,1,100_1991_1,3.420981372093361,1.0,43502.12305178763,6,2,36884.59311124138
100,1991,1,100_1991_1,3.420981372093361,1.0,43502.12305178763,6,3,43502.12305178763
100,1991,1,100_1991_1,3.420981372093361,1.0,43502.12305178763,6,4,31080.693901090166
100,1991,1,100_1991_1,3.420981372093361,1.0,43502.12305178763,6,5,22727.418402367854
100,1991,1,100_1991_1,3.420981372093361,1.0,43502.12305178763,6,6,19527.137529480733
100,1992,0,100_1992_0,0.8931782925964,0.0,0.0,0,0,0
100,1993,1,100_1993_1,0.8776695585662388,2.0,42404.669908826836,3,1,42404.669908826836
100,1993,1,100_1993_1,0.8776695585662388,2.0,42404.669908826836,3,2,37286.86491983049
100,1993,1,100_1993_1,0.8776695585662388,2.0,42404.669908826836,3,3,18156.022460963213
100,1994,1,100_1994_1,2.120117459303297,1.0,3526.974852893244,1,1,3526.974852893244
100,1995,0,100_1995_0,1.698416232014473,0.0,0.0,0,0,0
100,1996,1,100_1996_1,3.4697744975647398,1.0,49172.28742990238,3,3,26746.921191087047
100,1996,1,100_1996_1,3.4697744975647398,1.0,49172.28742990238,3,1,43741.14404393929
100,1996,1,100_1996_1,3.4697744975647398,1.0,49172.28742990238,3,2,49172.28742990238
100,1998,0,100_1998_0,1.5676433288188298,0.0,0.0,0,0,0
100,1999,0,100_1999_0,0.9514462922748734,0.0,0.0,0,0,0
100,2000,1,100_2000_1,3.2210628749734367,1.0,27511.083505092098,3,3,14964.461098969337
100,2000,1,100_2000_1,3.2210628749734367,1.0,27511.083505092098,3,1,24472.44839110924
100,2000,1,100_2000_1,3.2210628749734367,1.0,27511.083505092098,3,2,27511.083505092098
100,2001,1,100_2001_1,2.1476744507112433,1.0,155284.23445162716,4,1,131267.81683516788
100,2001,1,100_2001_1,2.1476744507112433,1.0,155284.23445162716,4,2,155284.23445162716
100,2001,1,100_2001_1,2.1476744507112433,1.0,155284.23445162716,4,3,153639.27434091078
100,2001,1,100_2001_1,2.1476744507112433,1.0,155284.23445162716,4,4,117450.1519051502
100,2002,1,100_2002_1,2.7954596342075715,1.0,147921.10941811005,4,1,125043.48020725828
100,2002,1,100_2002_1,2.7954596342075715,1.0,147921.10941811005,4,2,147921.10941811005
100,2002,1,100_2002_1,2.7954596342075715,1.0,147921.10941811005,4,3,146354.14851325718
100,2002,1,100_2002_1,2.7954596342075715,1.0,147921.10941811005,4,4,111881.00860649424
100,2003,0,100_2003_0,2.1377159854454995,0.0,0.0,0,0,0
100,2004,0,100_2004_0,1.0638602658191763,0.0,0.0,0,0,0
101,1990,1,101_1990_1,3.816303967655143,1.0,21119.66845709763,1,1,21119.66845709763
101,1991,1,101_1991_1,3.1041325368590487,1.0,31538.35208866698,3,1,23536.08364825894
101,1991,1,101_1991_1,3.1041325368590487,1.0,31538.35208866698,3,2,31538.35208866698
