time,latent,alpha,beta,lambda
1940-01-16 00:00:00,0.72310746,1.0025302,1.9998993,0.5012904
1940-02-15 00:00:00,1.6099468,1.002839,1.9999942,0.501421
1940-03-16 00:00:00,0.13741727,1.0017592,1.9995214,0.5009995
1940-04-15 12:00:00,0.5922516,0.99994886,2.005146,0.4986913
1940-05-16 00:00:00,0.74655193,0.9995466,2.0038357,0.49881664
1940-06-15 12:00:00,0.5655956,0.99968433,2.0045826,0.4986995
1940-07-16 00:00:00,0.38379088,0.9987564,2.0034199,0.49852577
1940-08-16 00:00:00,0.31450883,0.99833536,2.001191,0.49887064
1940-09-15 12:00:00,0.1454247,0.9994026,2.0051491,0.4984181
1940-10-16 00:00:00,0.7251208,0.9987874,2.0018697,0.4989273
1940-11-15 12:00:00,0.70665354,0.9991823,2.0047874,0.49839813
1940-12-16 00:00:00,0.7854468,1.0041016,1.9997106,0.5021235
1941-01-16 00:00:00,0.08829828,1.0019392,2.0003943,0.5008708
1941-02-14 12:00:00,0.05481566,1.0028571,2.001652,0.5010147
1941-03-16 00:00:00,0.9853612,1.0012908,2.002967,0.49990383
1941-04-15 12:00:00,0.27690887,1.0013363,2.0009618,0.50042754
1941-05-16 00:00:00,0.4305739,0.99995977,2.0012994,0.49965528
1941-06-15 12:00:00,0.6854958,1.0002476,2.0051086,0.4988496
1941-07-16 00:00:00,0.31844088,0.99948585,2.0060802,0.49822828
1941-08-16 00:00:00,0.15504591,1.0009706,2.0086594,0.4983277
1941-09-15 12:00:00,0.11461086,0.9984047,2.0003228,0.4991218
1941-10-16 00:00:00,0.20330225,1.000035,2.0059793,0.4985271
1941-11-15 12:00:00,0.12324377,0.9994586,2.002611,0.49907777
1941-12-16 00:00:00,0.9975819,1.002684,1.9998802,0.50137204
1942-01-16 00:00:00,0.18140513,1.0007964,1.9985305,0.50076616
1942-02-14 12:00:00,0.27093202,1.0010659,1.9996473,0.5006212
1942-03-16 00:00:00,0.27194652,0.9992118,2.0019913,0.49910897
1942-04-15 12:00:00,0.029787084,1.0005255,1.9982873,0.5006915
1942-05-16 00:00:00,0.0994248,0.99958485,2.0002818,0.499722
1942-06-15 12:00:00,0.06505995,0.9991712,2.0023866,0.49899015
1942-07-16 00:00:00,0.22769272,0.99828875,2.0005882,0.49899763
1942-08-16 00:00:00,0.26868084,0.9983312,2.0007184,0.49898636
1942-09-15 12:00:00,0.008497973,0.99807477,1.9985292,0.49940464
1942-10-16 00:00:00,0.9581592,0.99973774,2.0060658,0.4983574
1942-11-15 12:00:00,1.6685139,1.0013415,1.998966,0.5009297
1942-12-16 00:00:00,0.2504013,0.999229,2.0027797,0.49892107
1943-01-16 00:00:00,0.39697275,1.0016607,1.9997295,0.5008981
1943-02-14 12:00:00,0.8610731,0.9993952,2.0014298,0.49934062
1943-03-16 00:00:00,0.4681126,1.0008045,1.9990454,0.5006412
1943-04-15 12:00:00,0.67276514,0.9996426,2.0033605,0.49898288
1943-05-16 00:00:00,0.31772628,0.9988813,2.001747,0.49900478
1943-06-15 12:00:00,0.405149,0.99979573,2.0036907,0.49897707
1943-07-16 00:00:00,0.06687685,0.9995735,2.0046897,0.4986176
1943-08-16 00:00:00,0.19032283,0.99796563,1.9986247,0.49932617
1943-09-15 12:00:00,0.082352586,0.9983039,1.9986212,0.49949628
1943-10-16 00:00:00,0.8309344,0.99984694,2.0046258,0.49876985
1943-11-15 12:00:00,0.6699928,0.99930036,2.004056,0.49863896
1943-12-16 00:00:00,0.14715211,0.9998944,2.003292,0.4991256
1944-01-16 00:00:00,0.0822775,0.999437,1.998433,0.5001103
1944-02-15 00:00:00,0.061706223,1.0009147,2.001065,0.500191
