time,latent,alpha,beta,lambda
1940-01-16 00:00:00,0.7882204,0.80143243,0.99596524,0.8046791
1940-02-15 00:00:00,0.0012605175,0.80221087,0.99433035,0.80678505
1940-03-16 00:00:00,0.34921676,0.80133635,0.99584377,0.80468076
1940-04-15 12:00:00,1.9008981,0.8002779,1.0013341,0.7992117
1940-05-16 00:00:00,0.33171326,0.8000613,1.0003767,0.79976004
1940-06-15 12:00:00,0.24242383,0.8001026,1.0005552,0.79965866
1940-07-16 00:00:00,0.29447153,0.79987466,1.0004162,0.79954195
1940-08-16 00:00:00,2.9075599,0.79971606,1.0004388,0.7993653
1940-09-15 12:00:00,1.8156714,0.80015886,1.0008274,0.7994973
1940-10-16 00:00:00,0.21671796,0.80032676,0.9991484,0.8010089
1940-11-15 12:00:00,0.87208784,0.8002111,0.9997406,0.8004187
1940-12-16 00:00:00,0.50893694,0.8015676,0.99416447,0.8062726
1941-01-16 00:00:00,1.3458844,0.801819,0.99667186,0.8044965
1941-02-14 12:00:00,0.13877155,0.80211806,0.9954005,0.80582446
1941-03-16 00:00:00,0.16995071,0.80224687,0.99886984,0.8031546
1941-04-15 12:00:00,0.011371264,0.80172133,0.9986753,0.8027848
1941-05-16 00:00:00,1.2939695,0.8009272,0.9997039,0.80116445
1941-06-15 12:00:00,0.18642163,0.80040807,1.0013379,0.79933864
1941-07-16 00:00:00,0.22204348,0.8000259,1.0012525,0.79902506
1941-08-16 00:00:00,1.4726229,0.8000002,1.0007571,0.79939497
1941-09-15 12:00:00,0.717015,0.7996721,1.000368,0.799378
1941-10-16 00:00:00,1.3444736,0.8000724,0.9998015,0.8002312
1941-11-15 12:00:00,0.7588875,0.8001807,0.9986762,0.8012414
1941-12-16 00:00:00,1.4681404,0.8021905,0.99591583,0.8054802
1942-01-16 00:00:00,0.52981645,0.8013477,0.9967312,0.8039757
1942-02-14 12:00:00,0.3297084,0.80094737,0.99718314,0.8032099
1942-03-16 00:00:00,2.1185637,0.8002205,0.9989704,0.80104524
1942-04-15 12:00:00,2.6507978,0.80158263,1.0002841,0.801355
1942-05-16 00:00:00,1.6310753,0.8003113,0.998801,0.80127203
1942-06-15 12:00:00,1.0029371,0.7997646,1.000849,0.79908615
1942-07-16 00:00:00,1.1202675,0.79973704,1.0005189,0.79932225
1942-08-16 00:00:00,1.3478583,0.7997611,1.0004247,0.79942155
1942-09-15 12:00:00,0.1851456,0.7996784,1.0004833,0.7992921
1942-10-16 00:00:00,0.87391627,0.8000551,1.0015823,0.79879117
1942-11-15 12:00:00,0.27137196,0.8009313,0.9957353,0.80436164
1942-12-16 00:00:00,1.1466281,0.8001813,0.999228,0.80079955
1943-01-16 00:00:00,1.6922812,0.80100024,0.994041,0.805802
1943-02-14 12:00:00,0.35922936,0.8001303,0.9979484,0.8017752
1943-03-16 00:00:00,0.36796066,0.80119616,0.99893516,0.80205023
1943-04-15 12:00:00,0.2556791,0.80066603,0.9989608,0.80149895
1943-05-16 00:00:00,0.16102158,0.799835,1.0008336,0.7991688
1943-06-15 12:00:00,1.4765124,0.80005115,1.000843,0.79937726
1943-07-16 00:00:00,1.8506367,0.79972816,1.0005426,0.7992944
1943-08-16 00:00:00,0.085046455,0.7997209,1.0004547,0.7993575
1943-09-15 12:00:00,0.032606035,0.7997046,1.0005231,0.7992865
1943-10-16 00:00:00,0.19419684,0.80027,1.0009137,0.79953945
1943-11-15 12:00:00,0.30732968,0.7997059,1.0007167,0.7991332
1943-12-16 00:00:00,0.7368883,0.8002363,0.9980972,0.80176187
1944-01-16 00:00:00,0.76729673,0.8006934,0.99801123,0.80228895
1944-02-15 00:00:00,1.7313255,0.8013595,0.9967944,0.8039366
1944-03-16 00:00:00,0.025146993,0.79983413,0.9978931,0.80152285
1944-04-15 12:00:00,0.4715395,0.8009556,1.0000163,0.80094254
1944-05-16 00:00:00,0.37104848,0.8006853,1.001624,0.7993871
1944-06-15 12:00:00,1.6072102,0.7999909,1.0011837,0.799045
1944-07-16 00:00:00,0.3361447,0.79976004,1.0005004,0.79936004
1944-08-16 00:00:00,0.11757598,0.7996962,1.000452,0.7993349
1944-09-15 12:00:00,0.074391216,0.7998419,1.0008687,0.79914767
1944-10-16 00:00:00,0.8291298,0.80045116,0.9995823,0.80078566
1944-11-15 12:00:00,0.18153256,0.8010191,0.99608296,0.80416906
1944-12-16 00:00:00,0.053054247,0.80056626,0.9979927,0.8021765
1945-01-16 00:00:00,1.0180652,0.79987466,1.0004092,0.79954743
1945-02-14 12:00:00,0.30777022,0.80109,0.9971747,0.80335975
1945-03-16 00:00:00,0.29273617,0.8010365,0.9967307,0.8036639
1945-04-15 12:00:00,0.16455351,0.7999963,1.0008943,0.79928154
1945-05-16 00:00:00,0.06710941,0.8006905,1.0005418,0.8002569
1945-06-15 12:00:00,0.6845136,0.80012494,1.0007546,0.7995216
1945-07-16 00:00:00,1.083296,0.79968727,1.0004265,0.7993463
