year,sim,signal,Scale_Sig,Scale_Int,Scale_Dur,Scale_Freq
2025,0,4.946036261000216,2.211446609191974,44358.97435897436,3.9358974358974357,0.9176470588235294
2026,0,1.648775072096029,2.211446609191974,44358.97435897436,3.9358974358974357,0.9176470588235294
2027,0,0.40812333957015223,2.211446609191974,44358.97435897436,3.9358974358974357,0.9176470588235294
2028,0,1.109755642588701,2.211446609191974,44358.97435897436,3.9358974358974357,0.9176470588235294
2029,0,2.8185157132163505,2.211446609191974,44358.97435897436,3.9358974358974357,0.9176470588235294
2030,0,3.2659908795097494,2.211446609191974,44358.97435897436,3.9358974358974357,0.9176470588235294
2031,0,2.301363241742496,2.211446609191974,44358.97435897436,3.9358974358974357,0.9176470588235294
2032,0,0.8479691814491028,2.211446609191974,44358.97435897436,3.9358974358974357,0.9176470588235294
2033,0,2.7645894093058185,2.211446609191974,44358.97435897436,3.9358974358974357,0.9176470588235294
2034,0,2.588385401224456,2.211446609191974,44358.97435897436,3.9358974358974357,0.9176470588235294
2035,0,1.1491160740479545,2.211446609191974,44358.97435897436,3.9358974358974357,0.9176470588235294
2036,0,1.843442133789341,2.211446609191974,44358.97435897436,3.9358974358974357,0.9176470588235294
2037,0,2.9333084135774663,2.211446609191974,44358.97435897436,3.9358974358974357,0.9176470588235294
2038,0,1.9805085705975485,2.211446609191974,44358.97435897436,3.9358974358974357,0.9176470588235294
2039,0,2.4061820840579085,2.211446609191974,44358.97435897436,3.9358974358974357,0.9176470588235294
2040,0,2.7409037265700853,2.211446609191974,44358.97435897436,3.9358974358974357,0.9176470588235294
2041,0,-0.4036142600235495,2.211446609191974,44358.97435897436,3.9358974358974357,0.9176470588235294
2042,0,2.6167471146012824,2.211446609191974,44358.97435897436,3.9358974358974357,0.9176470588235294
2043,0,4.284458913156906,2.211446609191974,44358.97435897436,3.9358974358974357,0.9176470588235294
2044,0,2.41914707317841,2.211446609191974,44358.97435897436,3.9358974358974357,0.9176470588235294
2025,1,4.779809184518372,2.211446609191974,44358.97435897436,3.9358974358974357,0.9176470588235294
2026,1,2.749244236355747,2.211446609191974,44358.97435897436,3.9358974358974357,0.9176470588235294
2027,1,0.30815537282094874,2.211446609191974,44358.97435897436,3.9358974358974357,0.9176470588235294
2028,1,-1.038109559348289,2.211446609191974,44358.97435897436,3.9358974358974357,0.9176470588235294
2029,1,2.6659893679503357,2.211446609191974,44358.97435897436,3.9358974358974357,0.9176470588235294
