Year,Signal,Cluster_ID,Duration,Intensity,Frequency
1980,2.6213446707138077,1980.1,8,80200.0,2
1980,2.6213446707138077,1980.2,8,34500.0,2
1981,2.3629540737402683,1981.1,6,36100.0,1
1982,2.544219016230096,1982.1,7,25000.0,5
1982,2.544219016230096,1982.2,4,84200.0,5
1982,2.544219016230096,1982.3,6,25000.0,5
1982,2.544219016230096,1982.4,4,49400.0,5
1982,2.544219016230096,1982.5,3,34800.0,5
1983,1.556257993841149,1983.1,3,25400.0,9
1983,1.556257993841149,1983.2,4,24100.0,9
1983,1.556257993841149,1983.3,3,19800.0,9
1983,1.556257993841149,1983.4,8,24900.0,9
1983,1.556257993841149,1983.5,8,34400.0,9
1983,1.556257993841149,1983.6,1,20700.0,9
1983,1.556257993841149,1983.7,4,36200.0,9
1983,1.556257993841149,1983.8,4,25600.0,9
1983,1.556257993841149,1983.9,6,47200.0,9
1984,0.44342420987664877,1984.0,3,19600.0,1
1985,2.1873866198728353,1985.0,0,4110.0,0
1986,2.231250831477495,1986.1,14,131000.0,2
1986,2.231250831477495,1986.2,9,40900.0,2
1987,3.9386854321301703,1987.0,0,3500.0,0
1988,1.5667080492899363,1988.0,0,4550.0,0
1989,3.1070307844382454,1989.1,3,24400.0,1
1990,1.7220899455023089,1990.0,0,7930.0,0
1991,0.4395133706878289,1991.0,0,4440.0,0
1992,1.8228588484823436,1992.0,0,4670.0,0
1993,2.8031263251984013,1993.0,0,16100.0,0
1994,2.8570946919610134,1994.0,0,4090.0,0
1995,2.9676370240790275,1995.1,2,26700.0,7
1995,2.9676370240790275,1995.2,2,28400.0,7
1995,2.9676370240790275,1995.3,1,17200.0,7
1995,2.9676370240790275,1995.4,8,41800.0,7
1995,2.9676370240790275,1995.5,6,22700.0,7
1995,2.9676370240790275,1995.6,16,22600.0,7
1995,2.9676370240790275,1995.7,5,32900.0,7
1996,1.526910623097672,1996.1,5,27700.0,6
1996,1.526910623097672,1996.2,6,22600.0,6
1996,1.526910623097672,1996.3,5,43700.0,6
1996,1.526910623097672,1996.4,3,24400.0,6
1996,1.526910623097672,1996.5,4,27300.0,6
1996,1.526910623097672,1996.6,4,32200.0,6
1997,1.8948957155833601,1997.0,14,106000.0,2
1997,1.8948957155833601,1997.1,10,32000.0,2
1998,1.416026136757202,1998.1,6,33700.0,1
1999,1.9359978347199622,1999.1,3,19600.0,3
1999,1.9359978347199622,1999.2,3,23900.0,3
1999,1.9359978347199622,1999.3,3,21800.0,3
2000,2.133408835224489,2000.1,5,24100.0,1
2001,3.5332646806664085,2001.0,0,3110.0,0
2002,2.098757713123898,2002.0,0,4020.0,0
2003,1.1421784639385064,2003.0,0,7000.0,0
2004,1.8651336562535379,2004.0,0,7930.0,0
2005,3.458486906237695,2005.1,4,23900.0,2
2005,3.458486906237695,2005.2,7,36300.0,2
2006,1.4341735476889774,2006.0,11,36200.0,2
2006,1.4341735476889774,2006.1,16,34900.0,2
2007,2.419738445777178,2007.0,0,4520.0,0
2008,1.6264850672570264,2008.0,0,4400.0,0
2009,1.796567320169836,2009.0,0,5510.0,0
2010,1.0292985271502995,2010.1,8,30900.0,1
2011,4.319266206631566,2011.1,14,26300.0,1
2012,3.0765101286544025,2012.0,0,9930.0,0
2013,1.4842663046205142,2013.0,0,4850.0,0
2014,0.8474884935256444,2014.0,0,2540.0,0
