sim,year,storm_index,unique_storm_id,signal,Frequency,Intensity,Duration,storm_day,daily_flow
0,1975,1,0_1975_1,2.9877251939152853,1.0,36934.00550955393,1,1,36934.00550955393
0,1976,1,0_1976_1,3.3230698341376317,1.0,98944.71566076651,6,1,56616.139595364366
0,1976,1,0_1976_1,3.3230698341376317,1.0,98944.71566076651,6,2,98166.81600689222
0,1976,1,0_1976_1,3.3230698341376317,1.0,98944.71566076651,6,3,73446.50792328524
0,1976,1,0_1976_1,3.3230698341376317,1.0,98944.71566076651,6,4,48483.59739244993
0,1976,1,0_1976_1,3.3230698341376317,1.0,98944.71566076651,6,5,53570.38967052858
0,1976,1,0_1976_1,3.3230698341376317,1.0,98944.71566076651,6,6,44999.14868782499
0,1977,0,0_1977_0,2.157410421047647,0.0,0.0,0,0,0
0,1978,1,0_1978_1,1.987038715247794,1.0,37439.63423983661,2,2,37439.63423983661
0,1978,1,0_1978_1,1.987038715247794,1.0,37439.63423983661,2,1,35284.018935118744
0,1979,1,0_1979_1,1.1894184725299322,2.0,31948.76140517796,1,1,31948.76140517796
0,1979,2,0_1979_2,1.1894184725299322,2.0,36035.32848101847,1,1,36035.32848101847
0,1980,1,0_1980_1,0.8263647315970828,1.0,187926.69068743277,5,1,107531.60168889539
0,1980,1,0_1980_1,0.8263647315970828,1.0,187926.69068743277,5,2,187926.69068743277
0,1980,1,0_1980_1,0.8263647315970828,1.0,187926.69068743277,5,3,102459.35632621167
0,1980,1,0_1980_1,0.8263647315970828,1.0,187926.69068743277,5,4,101191.29498554072
0,1980,1,0_1980_1,0.8263647315970828,1.0,187926.69068743277,5,5,85467.33436122112
0,1981,0,0_1981_0,2.7026892067875177,0.0,0.0,0,0,0
0,1982,1,0_1982_1,1.5218281582211257,3.0,57969.05598453988,2,2,57969.05598453988
0,1982,1,0_1982_1,1.5218281582211257,3.0,57969.05598453988,2,1,54631.443670278495
0,1982,2,0_1982_2,1.5218281582211257,3.0,35295.12249910768,1,1,35295.12249910768
0,1982,3,0_1982_3,1.5218281582211257,3.0,32692.62864244448,1,1,32692.62864244448
0,1983,1,0_1983_1,2.464586679131217,1.0,41682.796898256594,1,1,41682.796898256594
0,1984,1,0_1984_1,3.659698196223042,1.0,38531.434205462065,3,1,31227.214503904906
0,1984,1,0_1984_1,3.659698196223042,1.0,38531.434205462065,3,2,38531.434205462065
0,1984,1,0_1984_1,3.659698196223042,1.0,38531.434205462065,3,3,26603.44239924946
