sim,year,storm_index,unique_storm_id,signal,Frequency,Intensity,Duration,storm_day,daily_flow
0,2008,1,0_2008_1,4.221681497790049,1.0,48877.09031561055,4,1,33146.532512885315
0,2008,1,0_2008_1,4.221681497790049,1.0,48877.09031561055,4,2,48877.09031561055
0,2008,1,0_2008_1,4.221681497790049,1.0,48877.09031561055,4,3,42322.6912311417
0,2008,1,0_2008_1,4.221681497790049,1.0,48877.09031561055,4,4,26498.4991557812
0,2009,0,0_2009_0,2.6210753918355048,0.0,0.0,0,0,0
0,2010,0,0_2010_0,1.1712877216930009,0.0,0.0,0,0,0
0,2011,0,0_2011_0,1.007328823154084,0.0,0.0,0,0,0
0,2012,0,0_2012_0,0.7339316133113372,0.0,0.0,0,0,0
0,2013,0,0_2013_0,2.3580629495857792,0.0,0.0,0,0,0
0,2014,1,0_2014_1,4.831777852045071,1.0,41434.409242516806,2,1,41434.409242516806
0,2014,1,0_2014_1,4.831777852045071,1.0,41434.409242516806,2,2,35163.92000996975
0,2015,1,0_2015_1,0.8161897604980306,1.0,25213.759685233457,1,1,25213.759685233457
0,2016,0,0_2016_0,2.3112879777318516,0.0,0.0,0,0,0
0,2017,0,0_2017_0,1.1469448707274803,0.0,0.0,0,0,0
0,2018,0,0_2018_0,3.049890647967159,0.0,0.0,0,0,0
0,2019,0,0_2019_0,2.915143821970632,0.0,0.0,0,0,0
0,2020,0,0_2020_0,2.043467068281408,0.0,0.0,0,0,0
0,2021,1,0_2021_1,1.7224600265762935,1.0,36812.799537615516,2,2,36812.799537615516
0,2021,1,0_2021_1,1.7224600265762935,1.0,36812.799537615516,2,1,36812.799537615516
0,2022,1,0_2022_1,1.6047982424323584,2.0,41474.61689502282,3,3,41227.0072419182
0,2022,1,0_2022_1,1.6047982424323584,2.0,41474.61689502282,3,1,40112.76380294744
0,2022,1,0_2022_1,1.6047982424323584,2.0,41474.61689502282,3,2,41474.61689502282
0,2022,2,0_2022_2,1.6047982424323584,2.0,41865.781893124156,3,2,39784.057931587595
0,2022,2,0_2022_2,1.6047982424323584,2.0,41865.781893124156,3,1,38974.498613212265
0,2022,2,0_2022_2,1.6047982424323584,2.0,41865.781893124156,3,3,41865.781893124156
0,2023,0,0_2023_0,0.9459899509057239,0.0,0.0,0,0,0
0,2024,0,0_2024_0,3.8704781582503633,0.0,0.0,0,0,0
100,2008,0,100_2008_0,3.503788658045359,0.0,0.0,0,0,0
100,2009,1,100_2009_1,3.5378235259402544,2.0,55230.21148151889,3,1,32973.26058598142
100,2009,1,100_2009_1,3.5378235259402544,2.0,55230.21148151889,3,3,28701.72455552474
100,2009,1,100_2009_1,3.5378235259402544,2.0,55230.21148151889,3,2,55230.21148151889
100,2009,2,100_2009_2,3.5378235259402544,2.0,45695.24625460466,3,1,27280.744032599792
100,2009,2,100_2009_2,3.5378235259402544,2.0,45695.24625460466,3,2,45695.24625460466
100,2009,2,100_2009_2,3.5378235259402544,2.0,45695.24625460466,3,3,23746.647646558456
100,2010,0,100_2010_0,1.4316744590591006,0.0,0.0,0,0,0
100,2011,1,100_2011_1,1.3603151082338152,1.0,46919.32268769809,2,1,46919.32268769809
100,2011,1,100_2011_1,1.3603151082338152,1.0,46919.32268769809,2,2,39818.77236997523
100,2012,0,100_2012_0,1.0289158686715942,0.0,0.0,0,0,0
100,2013,0,100_2013_0,1.7675302986446342,0.0,0.0,0,0,0
100,2014,1,100_2014_1,1.926337210546469,1.0,58955.42296525999,3,2,58955.42296525999
100,2014,1,100_2014_1,1.926337210546469,1.0,58955.42296525999,3,1,35197.26744194626
100,2014,1,100_2014_1,1.926337210546469,1.0,58955.42296525999,3,3,30637.621432421405
100,2015,0,100_2015_0,3.4856234185995616,0.0,0.0,0,0,0
100,2016,0,100_2016_0,2.5937492098338017,0.0,0.0,0,0,0
100,2017,0,100_2017_0,2.4554133167665646,0.0,0.0,0,0,0
100,2018,0,100_2018_0,1.5263356412467795,0.0,0.0,0,0,0
100,2019,1,100_2019_1,1.5038974633212265,2.0,42578.67313290923,3,3,24455.94269189981
100,2019,1,100_2019_1,1.5038974633212265,2.0,42578.67313290923,3,2,33517.30791240452
100,2019,1,100_2019_1,1.5038974633212265,2.0,42578.67313290923,3,1,42578.67313290923
100,2019,2,100_2019_2,1.5038974633212265,2.0,33430.15413786438,2,1,33430.15413786438
100,2019,2,100_2019_2,1.5038974633212265,2.0,33430.15413786438,2,2,16314.292428351308
100,2020,0,100_2020_0,1.8200347930868883,0.0,0.0,0,0,0
100,2021,0,100_2021_0,2.076594494886038,0.0,0.0,0,0,0
100,2022,0,100_2022_0,2.263355920336111,0.0,0.0,0,0,0
