time,latent,alpha,beta,lambda
1940-01-16 00:00:00,0.22906263,0.50082415,2.001177,0.2502648
1940-02-15 00:00:00,0.09511808,0.50088507,2.0018027,0.250217
1940-03-16 00:00:00,0.8214467,0.5006533,2.0005522,0.25025758
1940-04-15 12:00:00,0.09873464,0.4999852,1.9981495,0.2502241
1940-05-16 00:00:00,0.010860764,0.49986392,2.0044196,0.24938089
1940-06-15 12:00:00,0.6174856,0.5003826,2.0024893,0.24988028
1940-07-16 00:00:00,0.09113261,0.49974778,2.003119,0.24948482
1940-08-16 00:00:00,0.34102598,0.49929598,1.9979625,0.24990258
1940-09-15 12:00:00,0.032019757,0.5004997,1.9989711,0.25037867
1940-10-16 00:00:00,0.000976249,0.4999505,1.9974908,0.25028926
1940-11-15 12:00:00,0.074592,0.49998173,1.9997008,0.25002828
1940-12-16 00:00:00,0.11959473,0.5010548,2.0020924,0.2502656
1941-01-16 00:00:00,0.20633544,0.5008785,2.0011911,0.2502902
1941-02-14 12:00:00,0.09031934,0.5010725,2.0020654,0.2502778
1941-03-16 00:00:00,0.19258235,0.5007841,2.000667,0.25030857
1941-04-15 12:00:00,1.0907136,0.5002226,1.9994607,0.25017878
1941-05-16 00:00:00,0.08788469,0.4997129,1.9974385,0.25017688
1941-06-15 12:00:00,0.8164609,0.50029534,2.0013676,0.24997674
1941-07-16 00:00:00,0.10748004,0.50049686,2.005278,0.24958976
1941-08-16 00:00:00,0.0036595473,0.500596,1.9999713,0.2503016
1941-09-15 12:00:00,0.037979998,0.49894312,1.9973675,0.24980035
1941-10-16 00:00:00,0.40847832,0.49984372,2.000532,0.24985541
1941-11-15 12:00:00,0.09390638,0.49969628,1.9971176,0.25020874
1941-12-16 00:00:00,1.4797311,0.5008243,2.0013688,0.25024086
1942-01-16 00:00:00,0.028236346,0.5006496,2.00059,0.25025097
1942-02-14 12:00:00,0.036404863,0.50051636,2.000223,0.25023028
1942-03-16 00:00:00,0.008985886,0.49973816,1.997305,0.25020623
1942-04-15 12:00:00,0.2392726,0.5004016,1.9997714,0.25022942
1942-05-16 00:00:00,0.14080684,0.4993548,1.996749,0.25008392
1942-06-15 12:00:00,0.47042677,0.4996007,2.0037298,0.24933536
1942-07-16 00:00:00,0.070687234,0.49930233,1.996931,0.25003484
1942-08-16 00:00:00,0.0034234982,0.49926275,1.9982724,0.24984719
1942-09-15 12:00:00,0.7651243,0.49862212,1.9857798,0.2510964
1942-10-16 00:00:00,0.056396767,0.50022364,2.004603,0.24953751
1942-11-15 12:00:00,0.00034937682,0.5003999,2.000241,0.25016978
1942-12-16 00:00:00,0.014807723,0.49974722,1.9971998,0.25022396
1943-01-16 00:00:00,0.07313556,0.5006295,2.0007012,0.250227
1943-02-14 12:00:00,0.13927297,0.49943894,1.996845,0.25011402
1943-03-16 00:00:00,0.25021908,0.5000992,1.9992361,0.25014514
1943-04-15 12:00:00,0.3356821,0.49978253,1.9973681,0.25022054
1943-05-16 00:00:00,0.02952381,0.49953824,2.001641,0.24956435
1943-06-15 12:00:00,0.1655528,0.500045,2.0041044,0.24951045
1943-07-16 00:00:00,0.006776224,0.50006425,2.0056462,0.24932824
1943-08-16 00:00:00,0.005726526,0.4986238,1.9853518,0.25115135
1943-09-15 12:00:00,0.15144983,0.49880815,1.9884751,0.25084957
1943-10-16 00:00:00,0.307228,0.49993342,1.9988763,0.25010723
1943-11-15 12:00:00,0.036663216,0.49976477,2.0034106,0.24945699
1943-12-16 00:00:00,0.08578582,0.49997118,1.9982605,0.2502032
1944-01-16 00:00:00,0.08907905,0.499928,1.9983584,0.25016934
