Year,Signal,Cluster_ID,Duration,Intensity,Frequency
1940,1.0160327305224475,1940.1,3,57500.0,3
1940,1.0160327305224475,1940.2,1,47400.0,3
1940,1.0160327305224475,1940.3,3,69600.0,3
1941,1.2130186282135376,1941.1,1,26900.0,1
1942,1.025136741726698,1942.1,4,54600.0,3
1942,1.025136741726698,1942.2,2,32600.0,3
1942,1.025136741726698,1942.3,1,29300.0,3
1943,0.44975274107824614,1943.1,4,73800.0,2
1943,0.44975274107824614,1943.2,3,73700.0,2
1944,0.9511819139008265,1944.0,0,12400.0,0
1945,1.453052186783781,1945.1,2,70900.0,3
1945,1.453052186783781,1945.2,2,32400.0,3
1945,1.453052186783781,1945.3,1,32200.0,3
1946,0.9095813091557172,1946.0,0,13300.0,0
1947,1.250944163305845,1947.0,0,20100.0,0
1948,0.7139508176258602,1948.0,0,17600.0,0
1949,0.70550064241841,1949.1,1,25500.0,1
1950,1.688049291094257,1950.1,5,132000.0,3
1950,1.688049291094257,1950.2,3,76400.0,3
1950,1.688049291094257,1950.3,3,60300.0,3
1951,0.3953648972694094,1951.1,2,39500.0,1
1952,1.5605893443279997,1952.1,1,27700.0,3
1952,1.5605893443279997,1952.2,1,27500.0,3
1952,1.5605893443279997,1952.3,1,30500.0,3
1953,0.7760883109518177,1953.1,1,27600.0,1
1954,0.8787336007045246,1954.1,1,36500.0,1
1955,1.5141735152914046,1955.1,8,69300.0,1
1956,0.19428530288379708,1956.1,3,33500.0,2
1956,0.19428530288379708,1956.2,1,25900.0,2
1957,1.4325600908052607,1957.1,1,28200.0,1
1958,1.4164164244147055,1958.1,7,33000.0,1
1959,0.614698866160214,1959.0,0,6260.0,0
1960,0.9505748539135103,1960.0,0,5170.0,0
1961,1.0339162114106009,1961.0,0,4540.0,0
1962,1.20403838295642,1962.0,0,7870.0,0
1963,0.9759354441178617,1963.1,5,74100.0,1
1964,0.9907326145175759,1964.1,7,115000.0,1
1965,0.8050138096236175,1965.1,5,35500.0,1
1966,1.2514801004598723,1966.0,0,22600.0,0
1967,0.9159717712391542,1967.1,3,35900.0,2
1967,0.9159717712391542,1967.2,2,27200.0,2
1968,1.1674075822276313,1968.0,0,8230.0,0
1969,1.0596755588311602,1969.1,9,67200.0,1
1970,0.7397759730706548,1970.1,4,52200.0,2
1970,0.7397759730706548,1970.2,6,50300.0,2
1971,0.9057700690034389,1971.0,0,8240.0,0
1972,0.9976802477517119,1972.0,0,5270.0,0
1973,2.140018486017847,1973.1,3,31900.0,2
1973,2.140018486017847,1973.2,1,24800.0,2
1974,0.3280027519803912,1974.1,4,26400.0,1
1975,-0.11546059572896716,1975.0,0,8250.0,0
1976,1.2568360056875143,1976.0,0,3070.0,0
1977,3.1774619705766525,1977.0,0,1300.0,0
1978,-0.16496570615590467,1978.0,0,15200.0,0
1979,-0.05265135234855878,1979.0,0,16000.0,0
1980,1.5783516081990485,1980.1,6,80200.0,2
1980,1.5783516081990485,1980.2,6,34500.0,2
1981,1.6267926576805563,1981.1,5,36100.0,1
1982,0.64386150531292,1982.1,2,25000.0,5
1982,0.64386150531292,1982.2,4,84200.0,5
1982,0.64386150531292,1982.3,5,25000.0,5
1982,0.64386150531292,1982.4,3,49400.0,5
1982,0.64386150531292,1982.5,3,34800.0,5
1983,0.9415957150893155,1983.1,1,25400.0,6
1983,0.9415957150893155,1983.2,2,24900.0,6
1983,0.9415957150893155,1983.3,5,34400.0,6
1983,0.9415957150893155,1983.4,3,36200.0,6
1983,0.9415957150893155,1983.5,3,25600.0,6
1983,0.9415957150893155,1983.6,6,47200.0,6
1984,1.2191046703473982,1984.0,0,19600.0,0
1985,0.645378427640142,1985.0,0,4110.0,0
1986,1.253854322693345,1986.1,9,131000.0,2
1986,1.253854322693345,1986.2,7,40900.0,2
1987,1.2422623169022873,1987.0,0,3500.0,0
1988,1.0241373455660003,1988.0,0,4550.0,0
1989,0.7116796210137808,1989.1,1,24400.0,1
1990,0.19718712923270354,1990.0,0,7930.0,0
1991,2.1179946961942338,1991.0,0,4440.0,0
1992,1.6946566493861823,1992.0,0,4670.0,0
1993,-0.06722440427052767,1993.0,0,16100.0,0
1994,0.9019038452251122,1994.0,0,4090.0,0
1995,1.269771204540535,1995.1,1,26700.0,4
1995,1.269771204540535,1995.2,1,28400.0,4
1995,1.269771204540535,1995.3,5,41800.0,4
1995,1.269771204540535,1995.4,2,32900.0,4
1996,0.8038150310089005,1996.1,2,27700.0,5
1996,0.8038150310089005,1996.2,3,43700.0,5
1996,0.8038150310089005,1996.3,1,24400.0,5
1996,0.8038150310089005,1996.4,1,27300.0,5
1996,0.8038150310089005,1996.5,4,32200.0,5
1997,1.7321023332879666,1997.0,11,106000.0,2
1997,1.7321023332879666,1997.1,8,32000.0,2
1998,0.6190844635168135,1998.1,2,33700.0,1
1999,0.7639592413387422,1999.0,0,23900.0,0
2000,1.1680106256713816,2000.0,0,24100.0,0
2001,1.1511040897541203,2001.0,0,3110.0,0
2002,0.8134894161820185,2002.0,0,4020.0,0
2003,1.4506911663067599,2003.0,0,7000.0,0
2004,0.4585141694373478,2004.0,0,7930.0,0
2005,0.888598645992785,2005.1,6,36300.0,1
2006,1.8144292574229084,2006.0,6,36200.0,2
2006,1.8144292574229084,2006.1,6,34900.0,2
2007,0.801507390395257,2007.0,0,4520.0,0
2008,0.5349004092150572,2008.0,0,4400.0,0
2009,1.00250805485612,2009.0,0,5510.0,0
2010,1.6789889446191262,2010.1,2,30900.0,1
2011,0.37121057191524887,2011.1,5,26300.0,1
2012,1.242017972319105,2012.0,0,9930.0,0
2013,1.2254288534639408,2013.0,0,4850.0,0
2014,1.2206953493165795,2014.0,0,2540.0,0
2015,0.08842227959895033,2015.0,0,3760.0,0
2016,1.3885696825825016,2016.1,5,33100.0,1
2017,1.3017778800331066,2017.1,13,60500.0,2
2017,1.3017778800331066,2017.2,22,82400.0,2
2018,1.305766859616261,2018.1,1,24700.0,1
2019,0.6276281198578164,2019.0,0,24100.0,0
2020,0.5162479203804538,2020.0,0,4210.0,0
2021,1.6953550046763959,2021.0,0,5050.0,0
2022,0.9093145371901181,2022.0,0,9760.0,0
2023,0.8140177553519097,2023.1,8,32500.0,2
2023,0.8140177553519097,2023.2,6,31400.0,2
2024,1.0888313956298938,2024.0,0,6360.0,0
