year,sim,signal,Scale_Sig,Scale_Int,Scale_Dur,Scale_Freq
2008,0,0.00616559159137485,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2009,0,0.006904350042014605,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2010,0,0.008532575753257624,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2011,0,0.004965491209258119,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2012,0,0.005687304674405093,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2013,0,0.006225688206291899,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2014,0,0.0041167090649424955,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2015,0,0.006121683040183863,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2016,0,0.004934687500682575,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2017,0,0.005212928924700777,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2018,0,0.009158302439472923,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2019,0,0.008294800059042123,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2020,0,0.0054393989614489845,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2021,0,0.004222722860742203,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2022,0,0.004256248624979121,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2023,0,0.007914870258627686,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2024,0,0.00645014011894056,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2008,1,0.007348157688272376,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2009,1,0.005815613301600491,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2010,1,0.0048868868956702255,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2011,1,0.007833493677598426,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2012,1,0.006792234133596523,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2013,1,0.00429281556931141,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2014,1,0.005653359426776289,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2015,1,0.007961251316520092,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2016,1,0.0049656924356257254,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2017,1,0.00783173148818491,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2018,1,0.0068231199060014664,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2019,1,0.004681446964545951,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2020,1,0.006210143695977058,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2021,1,0.007724620688928766,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2022,1,0.0044797032005800975,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2023,1,0.002841583842730937,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2024,1,0.004490708225169829,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2008,2,0.00395313705282534,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2009,2,0.0031990007027163448,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2010,2,0.007088896638061067,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2011,2,0.007428634951023687,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2012,2,0.004681305729631628,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2013,2,0.006392255127003813,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2014,2,0.007074077946341553,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2015,2,0.007072996539795879,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2016,2,0.0055989630806166,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2017,2,0.005409152365754108,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2018,2,0.007082552694378453,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2019,2,0.007257908365790652,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2020,2,0.008062002773311594,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2021,2,0.007139865489159719,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2022,2,0.006018031580845982,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2023,2,0.0056097122170899886,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2024,2,0.00824367876030789,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2008,3,0.008113261885673555,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2009,3,0.0068035272236000865,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2010,3,0.006526116011399368,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2011,3,0.007678055732441196,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2012,3,0.005601944155884904,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2013,3,0.006592135720997957,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2014,3,0.007665644602065928,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2015,3,0.006896053151835473,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2016,3,0.006366696697263973,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2017,3,0.004931480443574348,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
2018,3,0.001890755592639591,0.006789089243706413,46056.06060606061,3.4545454545454546,0.9705882352941176
