sim,year,storm_index,unique_storm_id,signal,Frequency,Intensity,Duration,storm_day,daily_flow
0,1975,2,0_1975_2,0.003988817287800723,2.0,38089.90837235179,3,1,28425.304755486413
0,1975,2,0_1975_2,0.003988817287800723,2.0,38089.90837235179,3,2,38089.90837235179
0,1975,2,0_1975_2,0.003988817287800723,2.0,38089.90837235179,3,3,27667.29662867344
0,1976,0,0_1976_0,0.0033545629023193795,0.0,0.0,0,0,0
0,1977,0,0_1977_0,0.0026512268363556037,0.0,0.0,0,0,0
0,1978,0,0_1978_0,0.0028137283255333574,0.0,0.0,0,0,0
0,1979,1,0_1979_1,0.00297986079790128,2.0,46221.76890479836,3,1,37459.72923414962
0,1979,1,0_1979_1,0.00297986079790128,2.0,46221.76890479836,3,2,46221.76890479836
0,1979,1,0_1979_1,0.00297986079790128,2.0,46221.76890479836,3,3,31913.116965573823
0,1980,0,0_1980_0,0.002310701664193081,0.0,0.0,0,0,0
0,1981,1,0_1981_1,0.002265362937652858,2.0,26394.096228516293,1,1,26394.096228516293
0,1981,2,0_1981_2,0.002265362937652858,2.0,230334.4779896884,10,10,79916.04931990057
0,1981,2,0_1981_2,0.002265362937652858,2.0,230334.4779896884,10,8,98084.14134113258
0,1981,2,0_1981_2,0.002265362937652858,2.0,230334.4779896884,10,9,92672.1798493704
0,1981,2,0_1981_2,0.002265362937652858,2.0,230334.4779896884,10,6,185188.97736662984
0,1981,2,0_1981_2,0.002265362937652858,2.0,230334.4779896884,10,7,119373.34685378635
0,1981,2,0_1981_2,0.002265362937652858,2.0,230334.4779896884,10,5,228193.6484069461
0,1981,2,0_1981_2,0.002265362937652858,2.0,230334.4779896884,10,4,230334.4779896884
0,1981,2,0_1981_2,0.002265362937652858,2.0,230334.4779896884,10,3,227555.11432823818
0,1981,2,0_1981_2,0.002265362937652858,2.0,230334.4779896884,10,2,179739.35434743715
0,1981,2,0_1981_2,0.002265362937652858,2.0,230334.4779896884,10,1,81718.66697373292
