sim,year,storm_index,unique_storm_id,signal,Frequency,Intensity,Duration,storm_day,daily_flow
0,1970,0,0_1970_0,0.002936391965273722,0.0,0.0,0,0,0
0,1971,0,0_1971_0,0.0035889347443097625,0.0,0.0,0,0,0
0,1972,0,0_1972_0,0.0035041229357142957,0.0,0.0,0,0,0
0,1973,1,0_1973_1,0.003236416345253864,1.0,83510.32475882536,3,1,43452.526703779055
0,1973,1,0_1973_1,0.003236416345253864,1.0,83510.32475882536,3,3,52844.60929860629
0,1973,1,0_1973_1,0.003236416345253864,1.0,83510.32475882536,3,2,83510.32475882536
0,1974,0,0_1974_0,0.001909105247162145,0.0,0.0,0,0,0
0,1975,1,0_1975_1,0.003609246485770961,1.0,32560.73147127566,2,2,15890.004356927191
0,1975,1,0_1975_1,0.003609246485770961,1.0,32560.73147127566,2,1,32560.73147127566
0,1976,1,0_1976_1,0.0031752614193554483,2.0,83256.78812940579,2,1,83256.78812940579
0,1976,1,0_1976_1,0.0031752614193554483,2.0,83256.78812940579,2,2,55657.01037954782
0,1976,2,0_1976_2,0.0031752614193554483,2.0,36713.94805781525,2,1,36713.94805781525
0,1976,2,0_1976_2,0.0031752614193554483,2.0,36713.94805781525,2,2,32282.954326699615
0,1977,0,0_1977_0,0.0020208586652012226,0.0,0.0,0,0,0
0,1978,1,0_1978_1,0.002913327892440594,2.0,41207.248631112954,3,1,41207.248631112954
0,1978,1,0_1978_1,0.002913327892440594,2.0,41207.248631112954,3,2,40742.941604283515
0,1978,1,0_1978_1,0.002913327892440594,2.0,41207.248631112954,3,3,40046.48106403935
0,1978,2,0_1978_2,0.002913327892440594,2.0,44686.1282889862,2,2,39292.97487479821
0,1978,2,0_1978_2,0.002913327892440594,2.0,44686.1282889862,2,1,44686.1282889862
0,1979,1,0_1979_1,0.0029658678556389417,2.0,99603.29185271944,2,2,48607.530297659985
0,1979,1,0_1979_1,0.0029658678556389417,2.0,99603.29185271944,2,1,99603.29185271944
0,1980,1,0_1980_1,0.0035290792618359423,1.0,4514.360211414808,1,1,4514.360211414808
0,1981,0,0_1981_0,0.0031485166286959482,0.0,0.0,0,0,0
0,1982,1,0_1982_1,0.0031573994250061743,2.0,29474.520494872428,1,1,29474.520494872428
0,1982,2,0_1982_2,0.0031573994250061743,2.0,92049.86130128155,2,1,42410.40730111401
0,1982,2,0_1982_2,0.0031573994250061743,2.0,92049.86130128155,2,2,92049.86130128155
0,1983,1,0_1983_1,0.0024201876852748723,1.0,24901.128936489808,1,1,24901.128936489808
0,1984,1,0_1984_1,0.003179873408264121,1.0,15392.927895763181,1,1,15392.927895763181
100,1970,1,100_1970_1,0.0028951245077031736,2.0,14170.043794491816,1,1,14170.043794491816
100,1971,1,100_1971_1,0.0026865853549921217,1.0,27083.656403041226,1,1,27083.656403041226
100,1972,1,100_1972_1,0.0022294844356193855,2.0,60885.396333468656,4,4,31640.57909866824
100,1972,1,100_1972_1,0.0022294844356193855,2.0,60885.396333468656,4,1,36349.490348339496
100,1972,1,100_1972_1,0.0022294844356193855,2.0,60885.396333468656,4,2,57686.45759953021
100,1972,1,100_1972_1,0.0022294844356193855,2.0,60885.396333468656,4,3,56116.82051630644
100,1972,2,100_1972_2,0.0022294844356193855,2.0,53881.399969639875,4,1,43667.360671047274
100,1972,2,100_1972_2,0.0022294844356193855,2.0,53881.399969639875,4,2,52966.89118432586
100,1972,2,100_1972_2,0.0022294844356193855,2.0,53881.399969639875,4,3,50811.63518554026
100,1972,2,100_1972_2,0.0022294844356193855,2.0,53881.399969639875,4,4,37201.59267469049
100,1973,1,100_1973_1,0.0036512944985616453,2.0,2528.9901117628037,1,1,2528.9901117628037
100,1973,2,100_1973_2,0.0036512944985616453,2.0,16153.92697860908,1,1,16153.92697860908
100,1974,1,100_1974_1,0.002985403586470174,1.0,35931.5308349536,1,1,35931.5308349536
100,1975,0,100_1975_0,0.0024713704642929132,0.0,0.0,0,0,0
100,1976,0,100_1976_0,0.0033272472270606396,0.0,0.0,0,0,0
100,1977,0,100_1977_0,0.002883312236230562,0.0,0.0,0,0,0
100,1978,2,100_1978_2,0.00316571026093128,2.0,26429.723115240406,1,1,26429.723115240406
