Year,Signal,Cluster_ID,Duration,Intensity,Frequency
1940,0.002866751697793146,1940.1,3,57500.0,3
1940,0.002866751697793146,1940.2,1,47400.0,3
1940,0.002866751697793146,1940.3,2,69600.0,3
1941,0.0017982537857037517,1941.0,0,26900.0,0
1942,0.0026202007565775095,1942.1,2,54600.0,2
1942,0.0026202007565775095,1942.2,1,32600.0,2
1943,0.003420166602651274,1943.1,3,73800.0,2
1943,0.003420166602651274,1943.2,3,73700.0,2
1944,0.003868734511163395,1944.0,0,12400.0,0
1945,0.00317409569224862,1945.1,2,70900.0,3
1945,0.00317409569224862,1945.2,1,32400.0,3
1945,0.00317409569224862,1945.3,1,32200.0,3
1946,0.003543254309794192,1946.0,0,13300.0,0
1947,0.003299912907342638,1947.0,0,20100.0,0
1948,0.0030172643981265907,1948.0,0,17600.0,0
1949,0.002979303174498472,1949.0,0,25500.0,0
1950,0.002924445216692223,1950.1,5,132000.0,3
1950,0.002924445216692223,1950.2,2,76400.0,3
1950,0.002924445216692223,1950.3,3,60300.0,3
1951,0.00273605387022847,1951.1,1,39500.0,1
1952,0.003371615036566687,1952.0,0,30500.0,0
1953,0.002872056817240072,1953.0,0,27600.0,0
1954,0.0034285320871715445,1954.1,1,36500.0,1
1955,0.002781114885888479,1955.1,7,69300.0,1
1956,0.0026814845032437883,1956.1,3,33500.0,1
1957,0.0032875298398699405,1957.0,0,28200.0,0
1958,0.0031250539591495493,1958.1,1,33000.0,1
1959,0.002539476024887366,1959.0,0,6260.0,0
1960,0.002327113323863348,1960.0,0,5170.0,0
1961,0.0031420809134933858,1961.0,0,4540.0,0
1962,0.0034122587654894527,1962.0,0,7870.0,0
1963,0.004501347754372609,1963.1,5,74100.0,1
1964,0.004153470393234825,1964.1,7,115000.0,1
1965,0.0023583963392709963,1965.1,3,35500.0,1
1966,0.0030716459106129705,1966.0,0,22600.0,0
1967,0.0030157906744453845,1967.1,1,35900.0,1
1968,0.0033892435368012667,1968.0,0,8230.0,0
1969,0.002750191612035972,1969.1,3,67200.0,2
1969,0.002750191612035972,1969.2,3,39900.0,2
