time,latent,alpha,beta,lambda,latent_dim
1940-01-16 00:00:00,0.5786366,0.99983716,2.0001454,0.49988222,0
1940-02-15 00:00:00,0.039694138,0.9998585,2.0002935,0.4998559,0
1940-03-16 00:00:00,1.2889229,0.99982,2.0000036,0.4999091,0
1940-04-15 12:00:00,3.0291536,1.0001074,1.9996154,0.50014985,0
1940-05-16 00:00:00,0.38614783,1.0002685,2.00019,0.5000867,0
1940-06-15 12:00:00,0.5624335,1.00032,1.9992069,0.5003584,0
1940-07-16 00:00:00,0.121896476,1.0000955,2.0010953,0.49977404,0
1940-08-16 00:00:00,0.5413266,0.9995233,1.9987442,0.50007564,0
1940-09-15 12:00:00,0.28179452,1.0001847,1.998688,0.50042063,0
1940-10-16 00:00:00,0.4154913,1.0001029,2.0005956,0.49990258,0
1940-11-15 12:00:00,1.2197456,1.000069,1.9993143,0.500206,0
1940-12-16 00:00:00,0.67427,0.99984926,2.0002322,0.4998666,0
1941-01-16 00:00:00,0.1903152,0.9998289,2.0000777,0.499895,0
1941-02-14 12:00:00,0.2149787,0.99984735,2.0002172,0.49986938,0
1941-03-16 00:00:00,0.078159,0.9998499,2.0000896,0.49990255,0
1941-04-15 12:00:00,0.08052677,0.99984384,2.0000172,0.49991763,0
1941-05-16 00:00:00,0.81055784,0.9999931,2.0002782,0.49992698,0
1941-06-15 12:00:00,0.0594935,1.0001197,1.9980307,0.5005527,0
1941-07-16 00:00:00,0.3668136,1.0005065,2.000196,0.50020427,0
1941-08-16 00:00:00,0.053575266,1.0002354,1.9981092,0.500591,0
1941-09-15 12:00:00,0.012909551,0.99947256,1.9991848,0.49994004,0
1941-10-16 00:00:00,0.21333492,1.0001503,1.9986751,0.5004067,0
1941-11-15 12:00:00,0.38978714,1.000029,2.0005505,0.4998769,0
1941-12-16 00:00:00,0.017977625,0.9998449,2.0002046,0.4998713,0
1942-01-16 00:00:00,0.32361078,0.9998215,2.0000222,0.4999052,0
1942-02-14 12:00:00,1.6362249,0.99982387,1.999998,0.49991244,0
1942-03-16 00:00:00,0.4102634,1.0000408,2.0005796,0.49987552,0
1942-04-15 12:00:00,0.05798961,0.9998287,1.9999825,0.49991873,0
1942-05-16 00:00:00,0.9307509,0.9999735,2.0003421,0.49990124,0
1942-06-15 12:00:00,0.03489972,1.0001296,2.0004568,0.4999506,0
1942-07-16 00:00:00,0.017733283,0.99942654,1.9983993,0.50011355,0
1942-08-16 00:00:00,1.6202178,0.99961257,1.9996681,0.49988922,0
1942-09-15 12:00:00,0.3010023,0.9982602,1.9921292,0.50110215,0
1942-10-16 00:00:00,0.8277557,1.0005065,2.0006466,0.5000916,0
1942-11-15 12:00:00,1.3982228,0.9998255,2.0000634,0.49989688,0
1942-12-16 00:00:00,0.09839694,1.0000488,2.0002644,0.49995828,0
1943-01-16 00:00:00,0.23072365,0.99984,2.0001688,0.4998778,0
1943-02-14 12:00:00,0.16573414,0.99999636,2.000407,0.49989647,0
1943-03-16 00:00:00,0.77936286,0.99982995,1.9999627,0.4999243,0
1943-04-15 12:00:00,0.12275702,1.0000478,2.0003855,0.49992752,0
1943-05-16 00:00:00,0.02265884,0.99992436,2.000756,0.49977326,0
1943-06-15 12:00:00,0.17133003,1.0002307,1.999401,0.5002652,0
1943-07-16 00:00:00,0.14594188,1.0004754,2.0016568,0.49982366,0
1943-08-16 00:00:00,0.24590819,0.9982387,1.992081,0.50110346,0
1943-09-15 12:00:00,1.0898676,0.99853134,1.9937111,0.50084054,0
1943-10-16 00:00:00,1.5665313,1.0001184,1.9998906,0.50008655,0
1943-11-15 12:00:00,0.21382129,1.0002066,1.9992777,0.50028396,0
1943-12-16 00:00:00,0.2591594,0.9999642,2.000427,0.49987537,0
1944-01-16 00:00:00,0.09661244,0.9998666,2.000109,0.49990606,0
1944-02-15 00:00:00,0.013792456,0.9998252,2.0000288,0.49990538,0
1944-03-16 00:00:00,0.70816356,0.9999526,2.0003088,0.49989915,0
1944-04-15 12:00:00,0.19119014,0.9999565,2.0002604,0.49991316,0
1944-05-16 00:00:00,0.097873636,1.0002227,1.9994237,0.50025547,0
1944-06-15 12:00:00,0.024600288,1.0002977,1.9991988,0.5003493,0
1944-07-16 00:00:00,1.9128717,0.99898016,1.9962984,0.5004162,0
1944-08-16 00:00:00,0.9224806,0.998102,1.9913015,0.50123096,0
1944-09-15 12:00:00,0.023480471,0.9994929,1.9986405,0.50008637,0
1944-10-16 00:00:00,0.22234185,1.000211,2.000488,0.4999835,0
1944-11-15 12:00:00,0.3414789,0.9998217,1.9999737,0.49991745,0
1944-12-16 00:00:00,0.42370605,0.99988353,2.0001643,0.4999007,0
1945-01-16 00:00:00,1.052833,1.0003837,2.0007555,0.500003,0
1945-02-14 12:00:00,0.14179523,0.9998187,1.9999741,0.4999158,0
1945-03-16 00:00:00,0.3646678,0.9998232,1.9999909,0.49991387,0
1945-04-15 12:00:00,0.35750312,1.0000647,1.9984539,0.5004192,0
1945-05-16 00:00:00,1.4091585,1.000035,2.0001209,0.4999873,0
1945-06-15 12:00:00,0.39303592,1.0002658,1.998747,0.50044644,0
1945-07-16 00:00:00,0.7236562,0.9992985,1.9974378,0.50029016,0
1945-08-16 00:00:00,0.0047434317,0.99989027,2.0000896,0.49992272,0
1945-09-15 12:00:00,0.91490406,0.9991862,1.996946,0.50035715,0
