time,latent_dim,latent,alpha,beta,lambda
1940-01-16 00:00:00,0,0.12663591,0.99805355,1.9994757,0.49915764
1940-01-16 00:00:00,1,0.24643394,1.0001063,2.012017,0.49706653
1940-01-16 00:00:00,2,0.006585357,1.0020108,2.0092301,0.49870387
1940-01-16 00:00:00,3,0.30983773,0.9982826,2.0045948,0.4979972
1940-01-16 00:00:00,4,0.07435145,1.0016475,2.0050483,0.49956277
1940-01-16 00:00:00,5,0.1548919,0.9997368,2.00101,0.49961612
1940-01-16 00:00:00,6,0.35177845,1.0011945,1.9964647,0.5014837
1940-01-16 00:00:00,7,0.6842209,1.0011756,2.0066826,0.49892077
1940-01-16 00:00:00,8,1.1111757,1.0008011,2.0024428,0.4997901
1940-01-16 00:00:00,9,0.9137597,0.9995216,2.000886,0.49953952
1940-02-15 00:00:00,0,0.12132385,0.9976955,1.9970102,0.4995946
1940-02-15 00:00:00,1,0.5487427,1.000087,2.0132961,0.49674115
1940-02-15 00:00:00,2,0.410516,1.0026126,2.0091648,0.4990196
1940-02-15 00:00:00,3,0.9516786,0.9976233,2.0049772,0.4975734
1940-02-15 00:00:00,4,0.17008553,1.0017419,2.004281,0.4998011
1940-02-15 00:00:00,5,0.5800299,0.9984945,1.9994416,0.49938667
1940-02-15 00:00:00,6,0.40812576,1.0009139,1.9939263,0.5019814
1940-02-15 00:00:00,7,1.1390971,1.0014938,2.0067754,0.49905625
1940-02-15 00:00:00,8,0.30499053,1.00119,2.0021276,0.500063
1940-02-15 00:00:00,9,0.32268947,0.9996324,1.9984999,0.5001914
1940-03-16 00:00:00,0,0.53493935,0.99832904,2.0011122,0.4988871
1940-03-16 00:00:00,1,0.6482202,1.0001361,2.0111368,0.49729893
1940-03-16 00:00:00,2,0.22890234,1.0016098,2.0092502,0.4984993
1940-03-16 00:00:00,3,0.7493607,0.9987347,2.0042572,0.49830666
1940-03-16 00:00:00,4,0.6721996,1.0015646,2.0055716,0.4993911
1940-03-16 00:00:00,5,0.015813971,1.0005276,2.002132,0.49973112
1940-03-16 00:00:00,6,0.24750021,1.0013947,1.9982654,0.501132
1940-03-16 00:00:00,7,0.080610745,1.0009489,2.0065012,0.49885288
1940-03-16 00:00:00,8,0.6879525,1.0004865,2.0027337,0.49956042
1940-03-16 00:00:00,9,0.70693815,0.9994892,2.0025985,0.49909613
1940-04-15 12:00:00,0,0.0043897047,0.9991656,2.0021186,0.49905416
1940-04-15 12:00:00,1,0.38954872,1.0004517,2.01003,0.49772972
1940-04-15 12:00:00,2,0.1761114,1.0013311,2.0088308,0.4984646
1940-04-15 12:00:00,3,1.2231547,0.99926573,2.002552,0.49899614
1940-04-15 12:00:00,4,0.6808712,1.0011554,2.0061402,0.49904555
1940-04-15 12:00:00,5,0.034936886,1.0004131,2.0042408,0.49914816
1940-04-15 12:00:00,6,0.20163624,1.001761,2.0014021,0.5005296
1940-04-15 12:00:00,7,1.0375525,1.0005326,2.004257,0.49920377
1940-04-15 12:00:00,8,1.1239283,0.9992909,2.0043426,0.49856293
1940-04-15 12:00:00,9,0.005876596,1.0001884,2.0059087,0.49862108
1940-05-16 00:00:00,0,0.104932725,0.9998182,2.0045156,0.49878293
1940-05-16 00:00:00,1,0.1430429,1.0005171,2.0077312,0.4983322
1940-05-16 00:00:00,2,0.28374714,1.0005244,2.0080655,0.49825287
1940-05-16 00:00:00,3,0.58016455,1.000046,2.0008008,0.49982285
1940-05-16 00:00:00,4,0.1833992,1.0007632,2.006812,0.49868307
1940-05-16 00:00:00,5,0.07165952,1.001476,2.0063937,0.49914235
1940-05-16 00:00:00,6,0.22529182,1.0021002,2.0048718,0.49983257
1940-05-16 00:00:00,7,0.77009416,0.99995345,2.0025268,0.49934587
1940-05-16 00:00:00,8,0.35654518,0.9981314,2.004919,0.49784124
1940-05-16 00:00:00,9,0.08341048,1.000235,2.0092988,0.497803
1940-06-15 12:00:00,0,0.898855,0.99980354,2.0039167,0.4989247
1940-06-15 12:00:00,1,0.10345155,1.0005941,2.008418,0.49820012
1940-06-15 12:00:00,2,0.41317934,1.0007818,2.0083466,0.49831128
1940-06-15 12:00:00,3,0.3451507,0.99989957,2.0011165,0.49967083
1940-06-15 12:00:00,4,0.008516001,1.0008239,2.0067532,0.49872792
1940-06-15 12:00:00,5,0.57550055,1.001041,2.0061722,0.49898064
1940-06-15 12:00:00,6,0.53935736,1.0020792,2.004426,0.49993327
1940-06-15 12:00:00,7,0.44947782,1.0000799,2.0026891,0.4993685
1940-06-15 12:00:00,8,0.87283784,0.998301,2.0051978,0.49785665
1940-06-15 12:00:00,9,0.061174423,1.0004305,2.0089314,0.49799135
1940-07-16 00:00:00,0,0.5571273,0.9989624,2.0010107,0.49922892
1940-07-16 00:00:00,1,2.2759645,0.9991409,1.9996885,0.49964827
1940-07-16 00:00:00,2,0.32330948,0.99837244,2.0002725,0.4991182
1940-07-16 00:00:00,3,0.66551656,0.9995033,1.9930685,0.5014897
1940-07-16 00:00:00,4,0.24131319,0.999356,2.003083,0.4989089
1940-07-16 00:00:00,5,0.96427983,1.0014902,2.0035748,0.49985167
1940-07-16 00:00:00,6,0.19144008,1.0011952,2.0023928,0.4999994
1940-07-16 00:00:00,7,0.3007207,0.99868476,1.9948847,0.5006228
1940-07-16 00:00:00,8,1.1834716,0.99444866,2.0000527,0.49721122
1940-07-16 00:00:00,9,0.50343823,0.99857724,2.006436,0.49768704
1940-08-16 00:00:00,0,0.38882115,0.9970077,1.994958,0.49976376
1940-08-16 00:00:00,1,0.4787281,0.9971282,1.9913495,0.50072986
1940-08-16 00:00:00,2,0.87348574,0.99605185,1.9912299,0.5002194
