time,latent,alpha,beta,lambda,latent_dim
1940-01-16 00:00:00,0.08847679,1.0050803,2.0015767,0.50214434,0
1940-02-15 00:00:00,0.108959906,1.0076835,1.998701,0.5041692,0
1940-03-16 00:00:00,0.71172357,1.0015887,1.9987963,0.50109595,0
1940-04-15 12:00:00,0.79927367,1.0018752,2.0046973,0.49976382,0
1940-05-16 00:00:00,0.87029374,1.0025177,2.0080981,0.49923742,0
1940-06-15 12:00:00,0.68899935,1.0032531,2.0110006,0.49888253,0
1940-07-16 00:00:00,0.086009786,1.0002495,2.000397,0.5000255,0
1940-08-16 00:00:00,0.26007414,0.99851364,1.9945297,0.5006261,0
1940-09-15 12:00:00,0.03404845,1.0035996,2.0123622,0.4987172,0
1940-10-16 00:00:00,0.6617364,1.0021298,2.0026784,0.50039476,0
1940-11-15 12:00:00,0.16280465,1.0029389,2.0075912,0.49957323,0
1940-12-16 00:00:00,0.5562559,1.0052977,2.0015855,0.5022507,0
1941-01-16 00:00:00,0.069286205,1.003765,1.9960636,0.5028722,0
1941-02-14 12:00:00,0.09865636,1.0061576,2.003063,0.50230956,0
1941-03-16 00:00:00,0.20147462,1.00204,2.0014462,0.500658,0
1941-04-15 12:00:00,0.2854198,1.0015928,1.9946072,0.50215036,0
1941-05-16 00:00:00,0.5076183,1.001624,2.0027392,0.500127,0
1941-06-15 12:00:00,3.1199574,1.0034767,2.00824,0.49967968,0
1941-07-16 00:00:00,0.526269,1.0031549,2.0095398,0.49919632,0
1941-08-16 00:00:00,0.13131706,1.0047883,2.0139284,0.49891955,0
1941-09-15 12:00:00,1.7305107,0.99789834,1.9947392,0.50026506,0
1941-10-16 00:00:00,0.3582387,1.0037346,2.009665,0.4994537,0
1941-11-15 12:00:00,0.7837559,1.0015523,2.0015264,0.5003943,0
1941-12-16 00:00:00,0.6949985,1.0048698,1.9995644,0.50254434,0
1942-01-16 00:00:00,0.00014585763,1.0031043,1.9970632,0.5022897,0
1942-02-14 12:00:00,0.39768663,1.0021433,1.997543,0.50168794,0
1942-03-16 00:00:00,0.106922545,1.0014313,1.9999474,0.50072885,0
1942-04-15 12:00:00,0.45028096,1.0007684,1.9963236,0.5013057,0
1942-05-16 00:00:00,0.28658354,1.001363,1.9987247,0.501001,0
1942-06-15 12:00:00,0.6513997,1.0007135,2.0016325,0.49994865,0
1942-07-16 00:00:00,0.63720137,0.99802446,1.9940226,0.50050807,0
1942-08-16 00:00:00,0.11325527,0.99850625,1.9947315,0.5005717,0
1942-09-15 12:00:00,1.9491111,0.9956327,1.9872215,0.5010175,0
1942-10-16 00:00:00,0.78875595,1.0032806,2.0121834,0.498603,0
1942-11-15 12:00:00,0.07952579,1.0021982,1.9953595,0.5022645,0
1942-12-16 00:00:00,1.2952981,1.0017321,2.0011318,0.50058275,0
1943-01-16 00:00:00,0.5662,1.0036278,1.9986748,0.5021466,0
1943-02-14 12:00:00,0.2135842,1.0010605,1.9974372,0.5011724,0
1943-03-16 00:00:00,0.008105987,1.0016214,1.9929886,0.50257254,0
1943-04-15 12:00:00,0.6335704,1.0026982,2.0017407,0.50091314,0
1943-05-16 00:00:00,0.074235186,0.99920094,1.998628,0.49994344,0
1943-06-15 12:00:00,0.19507717,1.0026096,2.009067,0.4990424,0
1943-07-16 00:00:00,0.728023,1.0015762,2.0048287,0.49958193,0
1943-08-16 00:00:00,1.0528443,0.9957221,1.9866387,0.5012095,0
1943-09-15 12:00:00,0.35954422,0.99589294,1.9883378,0.50086707,0
1943-10-16 00:00:00,0.13311431,1.0030198,2.0096796,0.4990944,0
1943-11-15 12:00:00,0.72346157,1.0026418,2.0085397,0.49918944,0
1943-12-16 00:00:00,0.7558554,1.0016973,1.9991394,0.50106424,0
1944-01-16 00:00:00,0.026729729,1.0005367,1.9956563,0.5013572,0
1944-02-15 00:00:00,0.5442079,1.0029547,1.9972565,0.5021662,0
1944-03-16 00:00:00,0.10132694,1.0001502,1.9967847,0.50088036,0
1944-04-15 12:00:00,0.03966739,1.0004346,1.9951884,0.50142366,0
1944-05-16 00:00:00,0.044261545,1.0046663,2.0105898,0.49968737,0
1944-06-15 12:00:00,0.7443434,1.0034757,2.0093513,0.49940282,0
1944-07-16 00:00:00,0.5881901,0.9970169,1.9902661,0.5009465,0
1944-08-16 00:00:00,1.5447862,0.99541396,1.9860063,0.5012139,0
1944-09-15 12:00:00,1.0620435,0.9981912,1.9954121,0.5002431,0
1944-10-16 00:00:00,0.010760467,1.0042596,2.012092,0.49911213,0
1944-11-15 12:00:00,0.6769707,1.0014321,1.9943506,0.50213444,0
1944-12-16 00:00:00,1.7277222,1.0004885,1.996703,0.50107026,0
1945-01-16 00:00:00,4.3762674,1.0035704,2.0113723,0.49894813,0
1945-02-14 12:00:00,0.18843187,1.001322,1.9953054,0.501839,0
1945-03-16 00:00:00,0.13360088,1.0027822,1.9960343,0.5023873,0
1945-04-15 12:00:00,0.063004225,1.002593,2.007768,0.49935704,0
1945-05-16 00:00:00,0.37420973,1.0008687,1.9977845,0.5009893,0
1945-06-15 12:00:00,0.6137233,1.0024877,2.0079534,0.49925843,0
1945-07-16 00:00:00,0.00011445462,0.9976696,1.9943277,0.5002536,0
1945-08-16 00:00:00,0.1596754,0.9991568,1.9995,0.49970332,0
1945-09-15 12:00:00,0.24668501,0.99720234,1.993031,0.50034463,0
1945-10-16 00:00:00,0.21803266,0.9998909,1.9962656,0.5008807,0
