time,latent_dim,latent,alpha,beta,lambda
1940-01-16 00:00:00,0,0.060662664,1.0041615,2.0086677,0.49991417
1940-01-16 00:00:00,1,0.7066213,0.99917924,2.0065074,0.4979694
1940-01-16 00:00:00,2,1.4026312,1.0081471,2.0158024,0.500122
1940-02-15 00:00:00,0,0.23998803,1.0030416,2.0083625,0.49943256
1940-02-15 00:00:00,1,0.0034859267,0.99861765,2.0066655,0.4976503
1940-02-15 00:00:00,2,0.42616576,1.00741,2.0133507,0.5003649
1940-03-16 00:00:00,0,1.2382461,1.0039388,2.0067704,0.50027585
1940-03-16 00:00:00,1,0.3080348,0.99901825,2.004361,0.49842232
1940-03-16 00:00:00,2,0.17593808,1.0056882,2.0164762,0.4987355
1940-04-15 12:00:00,0,0.227077,1.001481,2.0049992,0.49949202
1940-04-15 12:00:00,1,0.3072292,0.9986639,2.0013318,0.49899966
1940-04-15 12:00:00,2,0.29539493,0.9994734,2.012371,0.49666455
1940-05-16 00:00:00,0,0.04837364,1.0035219,2.014574,0.49813107
1940-05-16 00:00:00,1,0.10516576,1.0040127,2.0176232,0.4976215
1940-05-16 00:00:00,2,0.0015586631,1.0042332,2.0217419,0.49671686
1940-06-15 12:00:00,0,0.108778305,1.0028303,2.012324,0.4983443
1940-06-15 12:00:00,1,0.28441986,1.0026611,2.0127301,0.49815974
1940-06-15 12:00:00,2,0.6854997,1.0018135,2.0189006,0.49621734
1940-07-16 00:00:00,0,0.79080445,0.997133,2.0004187,0.49846217
1940-07-16 00:00:00,1,0.88399327,0.9994177,2.005021,0.49845746
1940-07-16 00:00:00,2,0.11468417,0.9982126,2.0112329,0.49631876
1940-08-16 00:00:00,0,0.029564375,0.99311155,1.9873899,0.49970645
1940-08-16 00:00:00,1,0.015972799,0.99504113,1.9923831,0.49942258
1940-08-16 00:00:00,2,0.6722251,0.9945653,2.0028052,0.49658614
1940-09-15 12:00:00,0,0.46720326,1.0018917,2.0069447,0.49921244
1940-09-15 12:00:00,1,0.7174345,0.9998864,2.0052085,0.4986446
1940-09-15 12:00:00,2,0.07799351,0.9996224,2.0152504,0.49602887
1940-10-16 00:00:00,0,0.5719116,1.0017811,2.0037284,0.49995854
1940-10-16 00:00:00,1,0.02572826,0.99783754,1.9986364,0.49925917
1940-10-16 00:00:00,2,0.17252348,1.0004979,2.0113869,0.49741694
1940-11-15 12:00:00,0,0.27568328,1.0022289,2.0091577,0.49883038
1940-11-15 12:00:00,1,1.6592326,1.0012268,2.011013,0.49787185
1940-11-15 12:00:00,2,0.64441884,1.000279,2.0185428,0.4955451
1940-12-16 00:00:00,0,0.34758374,1.003611,2.0090837,0.49953666
1940-12-16 00:00:00,1,0.53488594,0.9989721,2.0074522,0.49763182
1940-12-16 00:00:00,2,0.29763255,1.0083804,2.0144634,0.50057024
1941-01-16 00:00:00,0,0.3814837,1.0047787,2.008649,0.50022614
1941-01-16 00:00:00,1,0.5848111,0.99997544,2.008089,0.49797365
1941-01-16 00:00:00,2,3.2218409,1.0072844,2.0193725,0.49881062
1941-02-14 12:00:00,0,0.7865254,1.0038809,2.0100596,0.4994284
1941-02-14 12:00:00,1,0.059671644,0.9994765,2.009785,0.49730518
1941-02-14 12:00:00,2,1.4414175,1.008961,2.0159428,0.50049084
1941-03-16 00:00:00,0,0.21997565,1.0049815,2.0087929,0.5002913
1941-03-16 00:00:00,1,0.02139004,1.0006293,2.010159,0.49778613
1941-03-16 00:00:00,2,0.7519242,1.006335,2.0220437,0.49768212
1941-04-15 12:00:00,0,0.4239285,1.0042115,2.0046115,0.5009507
1941-04-15 12:00:00,1,0.028040094,0.9983061,1.9985133,0.49952435
1941-04-15 12:00:00,2,0.36408657,1.004678,2.0150385,0.49859
1941-05-16 00:00:00,0,0.13016768,1.0012647,2.0014067,0.5002805
1941-05-16 00:00:00,1,2.422344,0.9969021,1.9944984,0.49982598
1941-05-16 00:00:00,2,0.42612958,0.99889356,2.0094357,0.49710155
