time,latent_dim,latent
1940-01-16 00:00:00,0,0.2792056
1940-01-16 00:00:00,1,-0.02705604
1940-01-16 00:00:00,2,-0.048506007
1940-01-16 00:00:00,3,-0.5991951
1940-01-16 00:00:00,4,0.26804858
1940-01-16 00:00:00,5,0.49816084
1940-01-16 00:00:00,6,0.019846797
1940-02-15 00:00:00,0,0.23950356
1940-02-15 00:00:00,1,-0.24919462
1940-02-15 00:00:00,2,-0.080497004
1940-02-15 00:00:00,3,-0.8026896
1940-02-15 00:00:00,4,0.53675526
1940-02-15 00:00:00,5,0.4506395
1940-02-15 00:00:00,6,-0.11728741
1940-03-16 00:00:00,0,0.22930738
1940-03-16 00:00:00,1,0.16882987
1940-03-16 00:00:00,2,0.022286668
1940-03-16 00:00:00,3,-0.52522177
1940-03-16 00:00:00,4,0.2157031
1940-03-16 00:00:00,5,0.44648677
1940-03-16 00:00:00,6,0.08422422
1940-04-15 12:00:00,0,-0.26114815
1940-04-15 12:00:00,1,0.303006
1940-04-15 12:00:00,2,-0.17297906
1940-04-15 12:00:00,3,-0.4011914
1940-04-15 12:00:00,4,0.29827
1940-04-15 12:00:00,5,0.7791405
1940-04-15 12:00:00,6,-0.059079204
1940-05-16 00:00:00,0,-0.18142761
1940-05-16 00:00:00,1,0.38322082
1940-05-16 00:00:00,2,0.004248172
1940-05-16 00:00:00,3,-0.29900086
1940-05-16 00:00:00,4,0.22128595
1940-05-16 00:00:00,5,0.4908316
1940-05-16 00:00:00,6,-0.027519912
1940-06-15 12:00:00,0,-0.18445313
1940-06-15 12:00:00,1,0.332513
1940-06-15 12:00:00,2,-0.026178688
1940-06-15 12:00:00,3,-0.2582929
1940-06-15 12:00:00,4,0.16910756
1940-06-15 12:00:00,5,0.5816519
1940-06-15 12:00:00,6,-0.11138487
1940-07-16 00:00:00,0,-0.12702546
1940-07-16 00:00:00,1,0.34440377
1940-07-16 00:00:00,2,0.061235696
1940-07-16 00:00:00,3,-0.15483616
1940-07-16 00:00:00,4,0.10289723
1940-07-16 00:00:00,5,0.41319603
1940-07-16 00:00:00,6,-0.09684186
1940-08-16 00:00:00,0,-0.12793106
1940-08-16 00:00:00,1,0.34345895
1940-08-16 00:00:00,2,0.055228144
1940-08-16 00:00:00,3,-0.154028
1940-08-16 00:00:00,4,0.11209017
1940-08-16 00:00:00,5,0.40666407
1940-08-16 00:00:00,6,-0.076871626
1940-09-15 12:00:00,0,-0.25704813
1940-09-15 12:00:00,1,0.341897
1940-09-15 12:00:00,2,-0.048934296
1940-09-15 12:00:00,3,-0.3461075
1940-09-15 12:00:00,4,0.2537992
1940-09-15 12:00:00,5,0.70333874
1940-09-15 12:00:00,6,-0.13891064
1940-10-16 00:00:00,0,-0.0018530935
1940-10-16 00:00:00,1,0.34562603
1940-10-16 00:00:00,2,0.070253745
1940-10-16 00:00:00,3,-0.25443715
1940-10-16 00:00:00,4,0.13640645
1940-10-16 00:00:00,5,0.46725023
1940-10-16 00:00:00,6,0.03383138
1940-11-15 12:00:00,0,-0.11647148
1940-11-15 12:00:00,1,0.3856495
1940-11-15 12:00:00,2,0.0907972
1940-11-15 12:00:00,3,-0.2820431
1940-11-15 12:00:00,4,0.19122535
1940-11-15 12:00:00,5,0.40041363
1940-11-15 12:00:00,6,-0.034142137
1940-12-16 00:00:00,0,0.13338423
1940-12-16 00:00:00,1,-0.32248053
1940-12-16 00:00:00,2,-0.048939317
1940-12-16 00:00:00,3,-0.61316323
1940-12-16 00:00:00,4,0.51746035
1940-12-16 00:00:00,5,0.3534826
1940-12-16 00:00:00,6,-0.27984008
1941-01-16 00:00:00,0,0.06237424
1941-01-16 00:00:00,1,-0.14994547
1941-01-16 00:00:00,2,-0.07587694
1941-01-16 00:00:00,3,-0.5133151
1941-01-16 00:00:00,4,0.41714203
1941-01-16 00:00:00,5,0.39326853
1941-01-16 00:00:00,6,-0.14242403
1941-02-14 12:00:00,0,0.2054053
1941-02-14 12:00:00,1,-0.26574013
1941-02-14 12:00:00,2,-0.22291681
1941-02-14 12:00:00,3,-0.61112165
1941-02-14 12:00:00,4,0.4442792
1941-02-14 12:00:00,5,0.56537205
1941-02-14 12:00:00,6,-0.057546668
1941-03-16 00:00:00,0,0.101934366
1941-03-16 00:00:00,1,0.054496184
1941-03-16 00:00:00,2,-0.24916908
1941-03-16 00:00:00,3,-0.42179972
1941-03-16 00:00:00,4,0.3164839
1941-03-16 00:00:00,5,0.6504469
1941-03-16 00:00:00,6,0.2032198
1941-04-15 12:00:00,0,-0.024169788
1941-04-15 12:00:00,1,0.22524047
1941-04-15 12:00:00,2,-0.22664818
1941-04-15 12:00:00,3,-0.55957943
1941-04-15 12:00:00,4,0.3673523
1941-04-15 12:00:00,5,0.79028
1941-04-15 12:00:00,6,0.16205469
1941-05-16 00:00:00,0,-0.21776941
1941-05-16 00:00:00,1,0.31651706
1941-05-16 00:00:00,2,-0.07493775
1941-05-16 00:00:00,3,-0.49261552
1941-05-16 00:00:00,4,0.38965708
1941-05-16 00:00:00,5,0.6021491
1941-05-16 00:00:00,6,-0.0031319782
1941-06-15 12:00:00,0,-0.19239867
1941-06-15 12:00:00,1,0.3890371
1941-06-15 12:00:00,2,0.020300567
1941-06-15 12:00:00,3,-0.3011518
1941-06-15 12:00:00,4,0.19009984
1941-06-15 12:00:00,5,0.5463529
1941-06-15 12:00:00,6,-0.10745692
1941-07-16 00:00:00,0,-0.19143382
1941-07-16 00:00:00,1,0.31512475
1941-07-16 00:00:00,2,-0.005180374
1941-07-16 00:00:00,3,-0.21078333
1941-07-16 00:00:00,4,0.14893779
1941-07-16 00:00:00,5,0.53438306
1941-07-16 00:00:00,6,-0.14309531
1941-08-16 00:00:00,0,-0.19677195
1941-08-16 00:00:00,1,0.27974376
