time,latent
1940-01-01,-0.37945879
1940-02-01,-0.66723573
1940-03-01,-0.1853852
1940-04-01,0.53817564
1940-05-01,0.6545374
1940-06-01,0.91311926
1940-07-01,1.2315207
1940-08-01,1.2351537
1940-09-01,1.0308483
1940-10-01,0.44096845
1940-11-01,0.57018304
1940-12-01,-0.55048466
1941-01-01,-0.2913823
1941-02-01,-0.5026535
1941-03-01,-0.04987997
1941-04-01,0.04446359
1941-05-01,0.3731467
1941-06-01,0.69024503
1941-07-01,1.268636
1941-08-01,1.201376
1941-09-01,1.1583507
1941-10-01,0.76706696
1941-11-01,0.35712284
1941-12-01,-0.4384662
1942-01-01,-0.18836671
1942-02-01,-0.084868945
1942-03-01,0.2896309
1942-04-01,0.02074702
1942-05-01,0.35202277
1942-06-01,1.0264652
1942-07-01,1.284064
1942-08-01,1.3128393
1942-09-01,1.2233782
1942-10-01,1.1057308
1942-11-01,-0.15874925
1942-12-01,0.34524602
1943-01-01,-0.34840262
1943-02-01,0.24907115
1943-03-01,0.0077885985
1943-04-01,0.35275656
1943-05-01,1.0239515
1943-06-01,0.7995533
1943-07-01,1.24088
1943-08-01,1.2116356
1943-09-01,1.2365088
1943-10-01,0.5095999
1943-11-01,0.8012364
1943-12-01,0.22571614
1944-01-01,0.1126717
1944-02-01,-0.16729997
1944-03-01,0.24307513
1944-04-01,0.2846973
1944-05-01,0.7028875
1944-06-01,0.7610555
1944-07-01,1.2134712
1944-08-01,1.2144082
1944-09-01,1.1835053
1944-10-01,0.84042364
1944-11-01,-0.046953097
1944-12-01,0.13783702
1945-01-01,0.82198447
1945-02-01,-0.03657429
1945-03-01,-0.113102205
1945-04-01,0.5168025
1945-05-01,0.4700861
1945-06-01,0.92708665
1945-07-01,1.3071506
1945-08-01,1.2776828
1945-09-01,1.1826587
1945-10-01,0.21512055
1945-11-01,0.1238569
1945-12-01,-0.2438938
1946-01-01,0.3183608
1946-02-01,0.2726591
1946-03-01,0.064006954
1946-04-01,0.71260804
1946-05-01,0.7293148
1946-06-01,1.2231982
1946-07-01,1.3340316
