sim,year,storm_index,unique_storm_id,signal,Frequency,Intensity,Duration,storm_day,daily_flow
0,2008,1,0_2008_1,0.38194626316004343,1.0,58282.99411119649,7,1,58282.99411119649
0,2008,1,0_2008_1,0.38194626316004343,1.0,58282.99411119649,7,2,58282.99411119649
0,2008,1,0_2008_1,0.38194626316004343,1.0,58282.99411119649,7,3,58282.99411119649
0,2008,1,0_2008_1,0.38194626316004343,1.0,58282.99411119649,7,4,58282.99411119649
0,2008,1,0_2008_1,0.38194626316004343,1.0,58282.99411119649,7,5,58282.99411119649
0,2008,1,0_2008_1,0.38194626316004343,1.0,58282.99411119649,7,6,58282.99411119649
0,2008,1,0_2008_1,0.38194626316004343,1.0,58282.99411119649,7,7,55186.710049039175
0,2009,1,0_2009_1,0.450101419526083,3.0,16885.926002872366,3,1,14534.125723920783
0,2009,1,0_2009_1,0.450101419526083,3.0,16885.926002872366,3,2,16885.926002872366
0,2009,1,0_2009_1,0.450101419526083,3.0,16885.926002872366,3,3,14534.125723920783
0,2009,3,0_2009_3,0.450101419526083,3.0,72299.21019001307,3,1,72299.21019001307
0,2009,3,0_2009_3,0.450101419526083,3.0,72299.21019001307,3,2,56912.879417310054
0,2009,3,0_2009_3,0.450101419526083,3.0,72299.21019001307,3,3,41526.54864460705
0,2010,1,0_2010_1,0.3700420648921819,3.0,34613.00576830279,2,1,15947.353442987673
0,2010,1,0_2010_1,0.3700420648921819,3.0,34613.00576830279,2,2,34613.00576830279
0,2010,2,0_2010_2,0.3700420648921819,3.0,3208.305263268012,1,1,3208.305263268012
0,2010,3,0_2010_3,0.3700420648921819,3.0,40382.22538874239,2,2,34270.96872753805
0,2010,3,0_2010_3,0.3700420648921819,3.0,40382.22538874239,2,1,40382.22538874239
0,2011,1,0_2011_1,0.5685555385563308,1.0,84495.18723538019,5,1,66318.89695800189
0,2011,1,0_2011_1,0.5685555385563308,1.0,84495.18723538019,5,2,84495.18723538019
0,2011,1,0_2011_1,0.5685555385563308,1.0,84495.18723538019,5,3,83758.3106025135
0,2011,1,0_2011_1,0.5685555385563308,1.0,84495.18723538019,5,4,83267.0595139357
0,2011,1,0_2011_1,0.5685555385563308,1.0,84495.18723538019,5,5,76635.16981813552
0,2012,0,0_2012_0,0.19884815154439325,0.0,0.0,0,0,0
0,2013,1,0_2013_1,0.42974197971247563,1.0,95330.74429175058,3,1,91495.59940645027
0,2013,1,0_2013_1,0.42974197971247563,1.0,95330.74429175058,3,2,95330.74429175058
0,2013,1,0_2013_1,0.42974197971247563,1.0,95330.74429175058,3,3,74237.44742259888
0,2014,1,0_2014_1,0.6540889464229558,1.0,36761.16436532581,3,1,21946.96380019451
0,2014,1,0_2014_1,0.6540889464229558,1.0,36761.16436532581,3,2,36761.16436532581
0,2014,1,0_2014_1,0.6540889464229558,1.0,36761.16436532581,3,3,19103.834398805677
0,2015,1,0_2015_1,0.4459487592711803,1.0,10190.237582674416,1,1,10190.237582674416
0,2016,1,0_2016_1,0.4789834194694969,2.0,180583.71889090937,5,3,180583.71889090937
0,2016,1,0_2016_1,0.4789834194694969,2.0,180583.71889090937,5,2,155094.6293823839
0,2016,1,0_2016_1,0.4789834194694969,2.0,180583.71889090937,5,5,108436.63502779485
0,2016,1,0_2016_1,0.4789834194694969,2.0,180583.71889090937,5,4,170215.2757010007
0,2016,1,0_2016_1,0.4789834194694969,2.0,180583.71889090937,5,1,155526.6478486301
0,2016,2,0_2016_2,0.4789834194694969,2.0,24288.953969958253,5,4,19278.052291342225
0,2016,2,0_2016_2,0.4789834194694969,2.0,24288.953969958253,5,3,22549.05755377213
0,2016,2,0_2016_2,0.4789834194694969,2.0,24288.953969958253,5,2,24288.953969958253
0,2016,2,0_2016_2,0.4789834194694969,2.0,24288.953969958253,5,5,17538.155875156102
0,2016,2,0_2016_2,0.4789834194694969,2.0,24288.953969958253,5,1,24219.35811331081
0,2017,0,0_2017_0,0.029941120891851414,0.0,0.0,0,0,0
0,2018,0,0_2018_0,0.584290465798713,0.0,0.0,0,0,0
0,2019,1,0_2019_1,0.39404493408614194,1.0,26101.89409142554,2,1,26101.89409142554
0,2019,1,0_2019_1,0.39404493408614194,1.0,26101.89409142554,2,2,12738.018837282421
0,2020,0,0_2020_0,0.2922918034839242,0.0,0.0,0,0,0
0,2021,1,0_2021_1,0.5816555418058587,1.0,29758.221098766542,2,1,13710.59401409139
0,2021,1,0_2021_1,0.5816555418058587,1.0,29758.221098766542,2,2,29758.221098766542
0,2022,0,0_2022_0,0.30668728477629986,0.0,0.0,0,0,0
0,2023,0,0_2023_0,0.47116382191685907,0.0,0.0,0,0,0
0,2024,1,0_2024_1,0.5075500490291271,1.0,149245.87980434418,6,5,140161.34799016672
