year,sim,signal,Scale_Sig,Scale_Int,Scale_Dur,Scale_Freq
2025,0,-0.3875053929703207,2.924010789686518,44358.97435897436,3.9358974358974357,0.9176470588235294
2026,0,4.375056368582073,2.924010789686518,44358.97435897436,3.9358974358974357,0.9176470588235294
2027,0,3.338295187837599,2.924010789686518,44358.97435897436,3.9358974358974357,0.9176470588235294
2028,0,3.124073455233513,2.924010789686518,44358.97435897436,3.9358974358974357,0.9176470588235294
2029,0,3.5947771648880447,2.924010789686518,44358.97435897436,3.9358974358974357,0.9176470588235294
2030,0,2.630589282156363,2.924010789686518,44358.97435897436,3.9358974358974357,0.9176470588235294
2031,0,3.286785098482115,2.924010789686518,44358.97435897436,3.9358974358974357,0.9176470588235294
2032,0,2.8438734129397156,2.924010789686518,44358.97435897436,3.9358974358974357,0.9176470588235294
2033,0,1.5098283933815382,2.924010789686518,44358.97435897436,3.9358974358974357,0.9176470588235294
2034,0,3.1121261523683628,2.924010789686518,44358.97435897436,3.9358974358974357,0.9176470588235294
2035,0,3.795255633112404,2.924010789686518,44358.97435897436,3.9358974358974357,0.9176470588235294
2036,0,4.467107728162754,2.924010789686518,44358.97435897436,3.9358974358974357,0.9176470588235294
2037,0,2.678692354853909,2.924010789686518,44358.97435897436,3.9358974358974357,0.9176470588235294
2038,0,1.8141783764866954,2.924010789686518,44358.97435897436,3.9358974358974357,0.9176470588235294
2039,0,4.751797212067441,2.924010789686518,44358.97435897436,3.9358974358974357,0.9176470588235294
2040,0,1.7511033683049708,2.924010789686518,44358.97435897436,3.9358974358974357,0.9176470588235294
2041,0,2.8682103934880274,2.924010789686518,44358.97435897436,3.9358974358974357,0.9176470588235294
2042,0,1.6330926079539827,2.924010789686518,44358.97435897436,3.9358974358974357,0.9176470588235294
2043,0,2.5474178516923986,2.924010789686518,44358.97435897436,3.9358974358974357,0.9176470588235294
2044,0,4.7318908382741025,2.924010789686518,44358.97435897436,3.9358974358974357,0.9176470588235294
2025,1,-1.1491739442465385,2.924010789686518,44358.97435897436,3.9358974358974357,0.9176470588235294
2026,1,3.800891884483918,2.924010789686518,44358.97435897436,3.9358974358974357,0.9176470588235294
2027,1,3.9665202933554804,2.924010789686518,44358.97435897436,3.9358974358974357,0.9176470588235294
