Year,Signal,Cluster_ID,Duration,Intensity,Frequency
1980,0.419798707534211,1980.1,8,80200.0,2
1980,0.419798707534211,1980.2,8,34500.0,2
1981,0.3538058918376783,1981.1,6,36100.0,1
1982,0.47035134011599916,1982.1,7,25000.0,5
1982,0.47035134011599916,1982.2,4,84200.0,5
1982,0.47035134011599916,1982.3,6,25000.0,5
1982,0.47035134011599916,1982.4,4,49400.0,5
1982,0.47035134011599916,1982.5,3,34800.0,5
1983,0.5619135016807105,1983.1,3,25400.0,9
1983,0.5619135016807105,1983.2,4,24100.0,9
1983,0.5619135016807105,1983.3,3,19800.0,9
1983,0.5619135016807105,1983.4,8,24900.0,9
1983,0.5619135016807105,1983.5,8,34400.0,9
1983,0.5619135016807105,1983.6,1,20700.0,9
1983,0.5619135016807105,1983.7,4,36200.0,9
1983,0.5619135016807105,1983.8,4,25600.0,9
1983,0.5619135016807105,1983.9,6,47200.0,9
1984,0.37436067371463955,1984.0,3,19600.0,1
1985,0.2967382208451559,1985.0,0,4110.0,0
1986,0.7534118561936309,1986.1,14,131000.0,2
1986,0.7534118561936309,1986.2,9,40900.0,2
1987,0.3071667633417753,1987.0,0,3500.0,0
1988,0.2919066425786092,1988.0,0,4550.0,0
1989,0.36666062543793854,1989.1,3,24400.0,1
1990,0.23876031169175782,1990.0,0,7930.0,0
1991,0.6262678505685102,1991.0,0,4440.0,0
1992,0.43850897711314657,1992.0,0,4670.0,0
1993,0.41790919486847494,1993.0,0,16100.0,0
1994,0.17874553092198903,1994.0,0,4090.0,0
1995,0.6330615497055774,1995.1,2,26700.0,7
1995,0.6330615497055774,1995.2,2,28400.0,7
1995,0.6330615497055774,1995.3,1,17200.0,7
1995,0.6330615497055774,1995.4,8,41800.0,7
1995,0.6330615497055774,1995.5,6,22700.0,7
1995,0.6330615497055774,1995.6,16,22600.0,7
1995,0.6330615497055774,1995.7,5,32900.0,7
1996,0.5103766628012605,1996.1,5,27700.0,6
1996,0.5103766628012605,1996.2,6,22600.0,6
1996,0.5103766628012605,1996.3,5,43700.0,6
1996,0.5103766628012605,1996.4,3,24400.0,6
1996,0.5103766628012605,1996.5,4,27300.0,6
1996,0.5103766628012605,1996.6,4,32200.0,6
1997,0.43948146427205415,1997.0,14,106000.0,2
1997,0.43948146427205415,1997.1,10,32000.0,2
1998,0.5614266866173476,1998.1,6,33700.0,1
1999,0.24203309592894512,1999.1,3,19600.0,3
1999,0.24203309592894512,1999.2,3,23900.0,3
1999,0.24203309592894512,1999.3,3,21800.0,3
2000,0.41184507216009514,2000.1,5,24100.0,1
2001,0.35034902855207917,2001.0,0,3110.0,0
2002,0.43685781366636556,2002.0,0,4020.0,0
2003,0.35938508842923333,2003.0,0,7000.0,0
2004,0.3576562957410546,2004.0,0,7930.0,0
2005,0.6023207762800031,2005.1,4,23900.0,2
2005,0.6023207762800031,2005.2,7,36300.0,2
2006,0.40448619421037607,2006.0,11,36200.0,2
2006,0.40448619421037607,2006.1,16,34900.0,2
2007,0.27960318507025367,2007.0,0,4520.0,0
2008,0.5348626543710029,2008.0,0,4400.0,0
2009,0.39244532389281267,2009.0,0,5510.0,0
2010,0.4867249769328142,2010.1,8,30900.0,1
2011,0.5912910310458905,2011.1,14,26300.0,1
2012,0.44927435963104667,2012.0,0,9930.0,0
2013,0.11236757958862842,2013.0,0,4850.0,0
2014,0.4307887367003446,2014.0,0,2540.0,0
