sim,year,storm_index,unique_storm_id,signal,Frequency,Intensity,Duration,storm_day,daily_flow
0,2025,0,0_2025_0,-593.1205931143886,0.0,0.0,0,0,0
0,2026,1,0_2026_1,65281.58146431892,1.0,20593.52079753944,10,1,8733.859266813603
0,2026,1,0_2026_1,65281.58146431892,1.0,20593.52079753944,10,2,16654.595536205798
0,2026,1,0_2026_1,65281.58146431892,1.0,20593.52079753944,10,3,20241.06052770131
0,2026,1,0_2026_1,65281.58146431892,1.0,20593.52079753944,10,4,20320.546376023936
0,2026,1,0_2026_1,65281.58146431892,1.0,20593.52079753944,10,5,12314.365376586891
0,2026,1,0_2026_1,65281.58146431892,1.0,20593.52079753944,10,6,6996.659327676242
0,2026,1,0_2026_1,65281.58146431892,1.0,20593.52079753944,10,7,10201.98167639518
0,2026,1,0_2026_1,65281.58146431892,1.0,20593.52079753944,10,8,12474.897650183542
0,2026,1,0_2026_1,65281.58146431892,1.0,20593.52079753944,10,9,11819.056193864364
0,2026,1,0_2026_1,65281.58146431892,1.0,20593.52079753944,10,10,10266.115278535286
0,2027,0,0_2027_0,44751.08506233331,0.0,0.0,0,0,0
0,2028,0,0_2028_0,-34817.49238080984,0.0,0.0,0,0,0
0,2029,1,0_2029_1,46421.55053617076,1.0,25229.196404032537,6,2,24644.17155988106
0,2029,1,0_2029_1,46421.55053617076,1.0,25229.196404032537,6,5,23693.506188134903
0,2029,1,0_2029_1,46421.55053617076,1.0,25229.196404032537,6,6,18355.154485252657
0,2029,1,0_2029_1,46421.55053617076,1.0,25229.196404032537,6,1,18720.79501284733
0,2029,1,0_2029_1,46421.55053617076,1.0,25229.196404032537,6,3,25229.196404032537
0,2029,1,0_2029_1,46421.55053617076,1.0,25229.196404032537,6,4,25229.196404032537
0,2030,1,0_2030_1,85209.81981367823,2.0,26100.486279219476,8,1,21522.862531787137
0,2030,1,0_2030_1,85209.81981367823,2.0,26100.486279219476,8,2,21281.934966132805
0,2030,1,0_2030_1,85209.81981367823,2.0,26100.486279219476,8,3,20960.698211927025
0,2030,1,0_2030_1,85209.81981367823,2.0,26100.486279219476,8,4,20880.38902337558
0,2030,1,0_2030_1,85209.81981367823,2.0,26100.486279219476,8,5,21121.316589029913
0,2030,1,0_2030_1,85209.81981367823,2.0,26100.486279219476,8,6,25136.77601660214
0,2030,1,0_2030_1,85209.81981367823,2.0,26100.486279219476,8,7,26100.486279219476
0,2030,1,0_2030_1,85209.81981367823,2.0,26100.486279219476,8,8,20880.38902337558
0,2030,2,0_2030_2,85209.81981367823,2.0,39891.276585706524,4,1,27052.704810996376
0,2030,2,0_2030_2,85209.81981367823,2.0,39891.276585706524,4,2,39891.276585706524
0,2030,2,0_2030_2,85209.81981367823,2.0,39891.276585706524,4,3,34541.87167957729
0,2030,2,0_2030_2,85209.81981367823,2.0,39891.276585706524,4,4,21626.879834779593
0,2031,1,0_2031_1,48818.43082624255,1.0,18264.19778548694,2,1,18264.19778548694
0,2031,1,0_2031_1,48818.43082624255,1.0,18264.19778548694,2,2,14766.798209542632
0,2032,0,0_2032_0,-88890.226435718,0.0,0.0,0,0,0
0,2033,1,0_2033_1,48964.98985792669,1.0,29127.355211024427,5,1,22861.58693888545
0,2033,1,0_2033_1,48964.98985792669,1.0,29127.355211024427,5,2,29127.355211024427
0,2033,1,0_2033_1,48964.98985792669,1.0,29127.355211024427,5,3,28873.337578370145
0,2033,1,0_2033_1,48964.98985792669,1.0,29127.355211024427,5,4,28703.992489933957
0,2033,1,0_2033_1,48964.98985792669,1.0,29127.355211024427,5,5,26417.83379604541
0,2034,1,0_2034_1,59358.52228218595,1.0,34937.05345096346,8,8,12502.726198901788
0,2034,1,0_2034_1,59358.52228218595,1.0,34937.05345096346,8,7,17644.976490385587
0,2034,1,0_2034_1,59358.52228218595,1.0,34937.05345096346,8,4,34231.25439134803
0,2034,1,0_2034_1,59358.52228218595,1.0,34937.05345096346,8,5,30450.188000551123
0,2034,1,0_2034_1,59358.52228218595,1.0,34937.05345096346,8,3,34533.73970261179
0,2034,1,0_2034_1,59358.52228218595,1.0,34937.05345096346,8,2,34937.05345096346
0,2034,1,0_2034_1,59358.52228218595,1.0,34937.05345096346,8,1,23845.92537129252
0,2034,1,0_2034_1,59358.52228218595,1.0,34937.05345096346,8,6,23997.168026924395
0,2035,1,0_2035_1,92642.15476138047,2.0,22955.590243836206,10,9,7693.514770775388
0,2035,1,0_2035_1,92642.15476138047,2.0,22955.590243836206,10,8,7836.296730739319
0,2035,1,0_2035_1,92642.15476138047,2.0,22955.590243836206,10,10,5554.902371981739
0,2035,1,0_2035_1,92642.15476138047,2.0,22955.590243836206,10,6,17832.239078788378
0,2035,1,0_2035_1,92642.15476138047,2.0,22955.590243836206,10,2,13006.294082006656
0,2035,1,0_2035_1,92642.15476138047,2.0,22955.590243836206,10,1,4678.734805423104
0,2035,1,0_2035_1,92642.15476138047,2.0,22955.590243836206,10,7,12061.564165556758
0,2035,1,0_2035_1,92642.15476138047,2.0,22955.590243836206,10,3,20477.459695903097
0,2035,1,0_2035_1,92642.15476138047,2.0,22955.590243836206,10,4,23198.349307601566
0,2035,1,0_2035_1,92642.15476138047,2.0,22955.590243836206,10,5,21654.33508485261
0,2035,2,0_2035_2,92642.15476138047,2.0,50214.92373986375,4,4,33568.584551374115
0,2035,2,0_2035_2,92642.15476138047,2.0,50214.92373986375,4,1,26670.930191502724
0,2035,2,0_2035_2,92642.15476138047,2.0,50214.92373986375,4,2,27314.71126509072
0,2035,2,0_2035_2,92642.15476138047,2.0,50214.92373986375,4,3,50214.92373986375
0,2036,1,0_2036_1,46767.105018992595,1.0,6342.341340514703,2,1,6067.582870889518
0,2036,1,0_2036_1,46767.105018992595,1.0,6342.341340514703,2,2,6342.341340514703
0,2037,0,0_2037_0,-46913.24863444503,0.0,0.0,0,0,0
0,2038,0,0_2038_0,-31261.507866630516,0.0,0.0,0,0,0
0,2039,1,0_2039_1,56552.54988278635,3.0,16757.487271107653,4,4,6244.321137607865
0,2039,1,0_2039_1,56552.54988278635,3.0,16757.487271107653,4,3,10603.992622774083
0,2039,1,0_2039_1,56552.54988278635,3.0,16757.487271107653,4,2,16757.487271107653
0,2039,1,0_2039_1,56552.54988278635,3.0,16757.487271107653,4,1,8719.342970332438
0,2039,2,0_2039_2,56552.54988278635,3.0,28823.815634111743,9,8,9769.293237821079
0,2039,2,0_2039_2,56552.54988278635,3.0,28823.815634111743,9,6,18130.400062983263
0,2039,2,0_2039_2,56552.54988278635,3.0,28823.815634111743,9,5,25083.320475486555
0,2039,2,0_2039_2,56552.54988278635,3.0,28823.815634111743,9,4,28823.815634111743
0,2039,2,0_2039_2,56552.54988278635,3.0,28823.815634111743,9,3,27283.611745266076
0,2039,2,0_2039_2,56552.54988278635,3.0,28823.815634111743,9,2,17624.333070933975
0,2039,2,0_2039_2,56552.54988278635,3.0,28823.815634111743,9,1,5874.7776903113245
0,2039,2,0_2039_2,56552.54988278635,3.0,28823.815634111743,9,9,6974.923325201085
0,2039,2,0_2039_2,56552.54988278635,3.0,28823.815634111743,9,7,10429.380618754936
0,2039,3,0_2039_3,56552.54988278635,3.0,9089.490492149507,1,1,9089.490492149507
0,2040,1,0_2040_1,121558.13261829538,1.0,18504.207534995836,2,1,18504.207534995836
0,2040,1,0_2040_1,121558.13261829538,1.0,18504.207534995836,2,2,17984.008929594347
0,2041,0,0_2041_0,-26308.29681100546,0.0,0.0,0,0,0
0,2042,1,0_2042_1,79871.83888377891,2.0,36212.66717719446,7,3,36212.66717719446
0,2042,1,0_2042_1,79871.83888377891,2.0,36212.66717719446,7,1,12847.624528952469
0,2042,1,0_2042_1,79871.83888377891,2.0,36212.66717719446,7,2,33378.632354631416
