sim,year,storm_index,unique_storm_id,signal,Frequency,Intensity,Duration,storm_day,daily_flow
0,1975,0,0_1975_0,10376.810839479138,0.0,0.0,0,0,0
0,1976,1,0_1976_1,53222.02685922127,1.0,9154.036978230746,1,1,9154.036978230746
0,1977,0,0_1977_0,19945.678202910574,0.0,0.0,0,0,0
0,1978,0,0_1978_0,-20128.31742925478,0.0,0.0,0,0,0
0,1979,1,0_1979_1,81015.02321828787,1.0,54969.644593619,3,1,54969.644593619
0,1979,1,0_1979_1,81015.02321828787,1.0,54969.644593619,3,2,53867.4963310903
0,1979,1,0_1979_1,81015.02321828787,1.0,54969.644593619,3,3,46152.458493389386
0,1980,0,0_1980_0,58761.19773382263,0.0,0.0,0,0,0
0,1981,0,0_1981_0,16926.125595815745,0.0,0.0,0,0,0
0,1982,0,0_1982_0,33668.46357393358,0.0,0.0,0,0,0
0,1983,0,0_1983_0,-34992.22664944483,0.0,0.0,0,0,0
0,1984,0,0_1984_0,-7897.054354911943,0.0,0.0,0,0,0
100,1975,0,100_1975_0,-2779.158617434743,0.0,0.0,0,0,0
100,1976,1,100_1976_1,84810.39872748904,1.0,12289.48203815775,2,2,8215.496234299595
100,1976,1,100_1976_1,84810.39872748904,1.0,12289.48203815775,2,1,12289.48203815775
100,1977,0,100_1977_0,2579.2949796416433,0.0,0.0,0,0,0
100,1978,0,100_1978_0,-10596.279792556405,0.0,0.0,0,0,0
100,1979,1,100_1979_1,68006.37287335175,1.0,36769.74648401932,3,1,31648.611876217186
100,1979,1,100_1979_1,68006.37287335175,1.0,36769.74648401932,3,2,36769.74648401932
100,1979,1,100_1979_1,68006.37287335175,1.0,36769.74648401932,3,3,31648.611876217186
100,1980,0,100_1980_0,51773.12918644308,0.0,0.0,0,0,0
100,1981,0,100_1981_0,8703.14669886357,0.0,0.0,0,0,0
100,1982,0,100_1982_0,18648.131049098443,0.0,0.0,0,0,0
100,1983,0,100_1983_0,9705.522786204943,0.0,0.0,0,0,0
100,1984,0,100_1984_0,79097.81417284011,0.0,0.0,0,0,0
101,1975,1,101_1975_1,7969.657671531961,1.0,6208.263629951431,1,1,6208.263629951431
101,1976,1,101_1976_1,40778.754311884244,1.0,29321.08429834133,2,2,19601.091151821583
101,1976,1,101_1976_1,40778.754311884244,1.0,29321.08429834133,2,1,29321.08429834133
101,1977,1,101_1977_1,64300.83098277112,1.0,44006.97137256198,4,1,31321.065112081887
101,1977,1,101_1977_1,64300.83098277112,1.0,44006.97137256198,4,2,40332.4330074574
101,1977,1,101_1977_1,64300.83098277112,1.0,44006.97137256198,4,3,44006.97137256198
101,1977,1,101_1977_1,64300.83098277112,1.0,44006.97137256198,4,4,37532.78472928249
101,1978,0,101_1978_0,-27037.647075785968,0.0,0.0,0,0,0
101,1979,0,101_1979_0,43897.30365438007,0.0,0.0,0,0,0
101,1980,1,101_1980_1,53222.13824747037,1.0,15255.097653333272,2,1,15255.097653333272
101,1980,1,101_1980_1,53222.13824747037,1.0,15255.097653333272,2,2,7444.659785688734
101,1981,0,101_1981_0,19609.0574354547,0.0,0.0,0,0,0
101,1982,1,101_1982_1,7383.111075360055,1.0,17674.335385837934,9,9,6132.225929521161
101,1982,1,101_1982_1,7383.111075360055,1.0,17674.335385837934,9,8,7200.25324695531
101,1982,1,101_1982_1,7383.111075360055,1.0,17674.335385837934,9,7,7664.861242538162
101,1982,1,101_1982_1,7383.111075360055,1.0,17674.335385837934,9,5,16444.816402475295
101,1982,1,101_1982_1,7383.111075360055,1.0,17674.335385837934,9,4,17718.96178962334
101,1982,1,101_1982_1,7383.111075360055,1.0,17674.335385837934,9,3,17666.998172193227
101,1982,1,101_1982_1,7383.111075360055,1.0,17674.335385837934,9,2,14531.116100999181
101,1982,1,101_1982_1,7383.111075360055,1.0,17674.335385837934,9,1,6270.546815149458
101,1982,1,101_1982_1,7383.111075360055,1.0,17674.335385837934,9,6,10821.792545726526
101,1983,1,101_1983_1,40406.36593763088,1.0,13266.677767214847,2,1,13266.677767214847
101,1983,1,101_1983_1,40406.36593763088,1.0,13266.677767214847,2,2,11665.527002206158
101,1984,0,101_1984_0,64409.349502951096,0.0,0.0,0,0,0
102,1975,0,102_1975_0,22053.625575307422,0.0,0.0,0,0,0
102,1976,0,102_1976_0,34990.33271464346,0.0,0.0,0,0,0
102,1977,0,102_1977_0,-4200.111289794626,0.0,0.0,0,0,0
102,1978,0,102_1978_0,51478.21825295688,0.0,0.0,0,0,0
102,1979,1,102_1979_1,64775.38820956915,1.0,40123.22781231847,8,8,20264.256470867917
102,1979,1,102_1979_1,64775.38820956915,1.0,40123.22781231847,8,7,26481.52616235682
102,1979,1,102_1979_1,64775.38820956915,1.0,40123.22781231847,8,5,38083.75274495601
102,1979,1,102_1979_1,64775.38820956915,1.0,40123.22781231847,8,4,39485.96164544331
102,1979,1,102_1979_1,64775.38820956915,1.0,40123.22781231847,8,3,40310.17211920299
102,1979,1,102_1979_1,64775.38820956915,1.0,40123.22781231847,8,2,39123.687664944504
102,1979,1,102_1979_1,64775.38820956915,1.0,40123.22781231847,8,1,27385.695173487213
102,1979,1,102_1979_1,64775.38820956915,1.0,40123.22781231847,8,6,32990.901608305
102,1980,0,102_1980_0,32834.23082229608,0.0,0.0,0,0,0
