sim,year,storm_index,unique_storm_id,signal,Frequency,Intensity,Duration,storm_day,daily_flow
0,1970,0,0_1970_0,33729.074626773094,0.0,0.0,0,0,0
0,1971,0,0_1971_0,-12467.263838683062,0.0,0.0,0,0,0
0,1972,1,0_1972_1,64494.04697766554,1.0,44647.563838117145,2,1,20570.60532855659
0,1972,1,0_1972_1,64494.04697766554,1.0,44647.563838117145,2,2,44647.563838117145
0,1973,1,0_1973_1,41482.91537944379,2.0,21965.25054163301,3,2,21965.25054163301
0,1973,1,0_1973_1,41482.91537944379,2.0,21965.25054163301,3,3,13899.420058187825
0,1973,1,0_1973_1,41482.91537944379,2.0,21965.25054163301,3,1,11429.073452557015
0,1973,2,0_1973_2,41482.91537944379,2.0,21720.88816124,2,1,21720.88816124
0,1973,2,0_1973_2,41482.91537944379,2.0,21720.88816124,2,2,14520.37395394249
0,1974,0,0_1974_0,16700.08109721999,0.0,0.0,0,0,0
0,1975,0,0_1975_0,9330.531033038144,0.0,0.0,0,0,0
0,1976,1,0_1976_1,44740.59180021979,1.0,27395.29897226939,1,1,27395.29897226939
0,1977,0,0_1977_0,32839.01493406686,0.0,0.0,0,0,0
0,1978,1,0_1978_1,49734.20512484851,1.0,50732.72284015234,4,3,50814.05224658487
0,1978,1,0_1978_1,49734.20512484851,1.0,50732.72284015234,4,4,50429.84091274845
0,1978,1,0_1978_1,49734.20512484851,1.0,50732.72284015234,4,2,50359.72935547902
0,1978,1,0_1978_1,49734.20512484851,1.0,50732.72284015234,4,1,49066.872239430915
0,1979,0,0_1979_0,6918.115701988732,0.0,0.0,0,0,0
0,1980,0,0_1980_0,-7569.764686924322,0.0,0.0,0,0,0
0,1981,0,0_1981_0,75619.33096605484,0.0,0.0,0,0,0
0,1982,0,0_1982_0,49531.85610862209,0.0,0.0,0,0,0
0,1983,0,0_1983_0,-25742.256858193028,0.0,0.0,0,0,0
0,1984,1,0_1984_1,61541.03315932611,1.0,11402.138006095147,1,1,11402.138006095147
100,1970,1,100_1970_1,42039.98240020013,1.0,24003.23582032053,3,2,24003.23582032053
100,1970,1,100_1970_1,42039.98240020013,1.0,24003.23582032053,3,3,17435.18621774526
100,1970,1,100_1970_1,42039.98240020013,1.0,24003.23582032053,3,1,17912.862552478007
100,1971,1,100_1971_1,33080.117868746645,1.0,27206.477209002704,3,1,14156.215783546124
100,1971,1,100_1971_1,33080.117868746645,1.0,27206.477209002704,3,2,27206.477209002704
100,1971,1,100_1971_1,33080.117868746645,1.0,27206.477209002704,3,3,17216.022840927184
100,1972,0,100_1972_0,-38608.59947722337,0.0,0.0,0,0,0
100,1973,1,100_1973_1,48143.0760206257,1.0,21141.66839765984,2,2,18590.087728976756
100,1973,1,100_1973_1,48143.0760206257,1.0,21141.66839765984,2,1,21141.66839765984
100,1974,0,100_1974_0,82295.65645816979,0.0,0.0,0,0,0
100,1975,1,100_1975_1,18953.036506684213,1.0,31505.716545104533,5,5,14328.510763428108
100,1975,1,100_1975_1,18953.036506684213,1.0,31505.716545104533,5,1,18027.562503541594
100,1975,1,100_1975_1,18953.036506684213,1.0,31505.716545104533,5,2,31505.716545104533
100,1975,1,100_1975_1,18953.036506684213,1.0,31505.716545104533,5,4,16964.61660121013
100,1975,1,100_1975_1,18953.036506684213,1.0,31505.716545104533,5,3,17177.205781676428
100,1976,1,100_1976_1,34984.92169638938,1.0,34652.132998594185,2,1,34652.132998594185
100,1976,1,100_1976_1,34984.92169638938,1.0,34652.132998594185,2,2,16910.63190058334
100,1977,0,100_1977_0,18396.64474292195,0.0,0.0,0,0,0
100,1978,1,100_1978_1,38904.4451944187,1.0,8670.063576747461,1,1,8670.063576747461
100,1979,0,100_1979_0,-77536.59309026795,0.0,0.0,0,0,0
100,1980,1,100_1980_1,97481.91116553811,1.0,50934.015571404685,6,5,48664.82800494774
100,1980,1,100_1980_1,97481.91116553811,1.0,50934.015571404685,6,4,39465.99044725033
100,1980,1,100_1980_1,97481.91116553811,1.0,50934.015571404685,6,3,34068.52825169874
100,1980,1,100_1980_1,97481.91116553811,1.0,50934.015571404685,6,2,40830.25033705531
100,1980,1,100_1980_1,97481.91116553811,1.0,50934.015571404685,6,1,17981.25095172317
100,1980,1,100_1980_1,97481.91116553811,1.0,50934.015571404685,6,6,13736.749654106115
100,1981,1,100_1981_1,133318.95520903234,2.0,27122.57039004188,7,1,18512.23058367938
100,1981,1,100_1981_1,133318.95520903234,2.0,27122.57039004188,7,3,26809.46712435597
100,1981,1,100_1981_1,133318.95520903234,2.0,27122.57039004188,7,4,26574.63967509154
100,1981,1,100_1981_1,133318.95520903234,2.0,27122.57039004188,7,5,23639.29655928614
100,1981,1,100_1981_1,133318.95520903234,2.0,27122.57039004188,7,6,18629.644308311596
100,1981,1,100_1981_1,133318.95520903234,2.0,27122.57039004188,7,7,13698.267873758527
100,1981,1,100_1981_1,133318.95520903234,2.0,27122.57039004188,7,2,27122.57039004188
100,1981,2,100_1981_2,133318.95520903234,2.0,65545.00838966815,3,3,55031.523334683785
100,1981,2,100_1981_2,133318.95520903234,2.0,65545.00838966815,3,2,64230.822757795104
100,1981,2,100_1981_2,133318.95520903234,2.0,65545.00838966815,3,1,65545.00838966815
100,1982,0,100_1982_0,-9082.862482174878,0.0,0.0,0,0,0
100,1983,0,100_1983_0,-40387.99278372743,0.0,0.0,0,0,0
100,1984,0,100_1984_0,38010.56062695873,0.0,0.0,0,0,0
101,1970,0,101_1970_0,26388.484618875926,0.0,0.0,0,0,0
101,1971,0,101_1971_0,2073.6171147117675,0.0,0.0,0,0,0
101,1972,0,101_1972_0,29667.53491890766,0.0,0.0,0,0,0
101,1973,1,101_1973_1,84616.07611183853,1.0,11751.559390510976,3,2,11751.559390510976
101,1973,1,101_1973_1,84616.07611183853,1.0,11751.559390510976,3,1,7015.856352543866
101,1973,1,101_1973_1,84616.07611183853,1.0,11751.559390510976,3,3,6106.984052327956
101,1974,0,101_1974_0,25553.540879383723,0.0,0.0,0,0,0
101,1975,0,101_1975_0,-1084.1705630861761,0.0,0.0,0,0,0
101,1976,0,101_1976_0,-9090.936882860555,0.0,0.0,0,0,0
101,1977,1,101_1977_1,68380.9563789694,1.0,55272.2927069225,5,1,19512.794243504457
101,1977,1,101_1977_1,68380.9563789694,1.0,55272.2927069225,5,2,45641.51443223146
101,1977,1,101_1977_1,68380.9563789694,1.0,55272.2927069225,5,4,55272.2927069225
101,1977,1,101_1977_1,68380.9563789694,1.0,55272.2927069225,5,5,14906.769851260917
101,1977,1,101_1977_1,68380.9563789694,1.0,55272.2927069225,5,3,34126.453451622605
101,1978,0,101_1978_0,15477.040992892153,0.0,0.0,0,0,0
101,1979,1,101_1979_1,56811.21451722491,1.0,10366.89239561396,3,1,8401.69018496714
101,1979,1,101_1979_1,56811.21451722491,1.0,10366.89239561396,3,3,7157.663097493464
101,1979,1,101_1979_1,56811.21451722491,1.0,10366.89239561396,3,2,10366.89239561396
101,1980,0,101_1980_0,48771.21462172098,0.0,0.0,0,0,0
101,1981,0,101_1981_0,200.28351707436013,0.0,0.0,0,0,0
101,1982,0,101_1982_0,-6431.478799330285,0.0,0.0,0,0,0
101,1983,1,101_1983_1,50743.35074561288,1.0,50465.972731701906,2,2,24627.96412576708
101,1983,1,101_1983_1,50743.35074561288,1.0,50465.972731701906,2,1,50465.972731701906
101,1984,1,101_1984_1,43878.27451214685,1.0,11617.239226891461,1,1,11617.239226891461
102,1970,1,102_1970_1,26657.09881035718,1.0,29605.275882458078,3,3,20440.512217975403
102,1970,1,102_1970_1,26657.09881035718,1.0,29605.275882458078,3,2,29605.275882458078
102,1970,1,102_1970_1,26657.09881035718,1.0,29605.275882458078,3,1,23993.145323870373
102,1972,1,102_1972_1,81613.53242986747,1.0,16248.468656885088,2,1,16248.468656885088
102,1972,1,102_1972_1,81613.53242986747,1.0,16248.468656885088,2,2,14287.446577605853
102,1973,0,102_1973_0,10036.150206625382,0.0,0.0,0,0,0
102,1974,0,102_1974_0,-21709.42457847024,0.0,0.0,0,0,0
102,1975,0,102_1975_0,51766.40286945929,0.0,0.0,0,0,0
102,1976,1,102_1976_1,75697.08635496265,1.0,47075.645527647976,8,8,16333.202230896992
102,1976,1,102_1976_1,75697.08635496265,1.0,47075.645527647976,8,7,19437.115734049523
102,1976,1,102_1976_1,75697.08635496265,1.0,47075.645527647976,8,4,46968.29926690423
102,1976,1,102_1976_1,75697.08635496265,1.0,47075.645527647976,8,5,35796.888757939814
102,1976,1,102_1976_1,75697.08635496265,1.0,47075.645527647976,8,3,47194.33415606031
102,1976,1,102_1976_1,75697.08635496265,1.0,47075.645527647976,8,2,40954.093040678534
102,1976,1,102_1976_1,75697.08635496265,1.0,47075.645527647976,8,1,16701.620326330758
102,1976,1,102_1976_1,75697.08635496265,1.0,47075.645527647976,8,6,21446.122164659784
102,1977,1,102_1977_1,39189.35597443198,1.0,17791.098008294553,2,1,17791.098008294553
102,1977,1,102_1977_1,39189.35597443198,1.0,17791.098008294553,2,2,11893.316434116321
102,1978,0,102_1978_0,-10143.46051558002,0.0,0.0,0,0,0
102,1979,0,102_1979_0,-10986.164734370464,0.0,0.0,0,0,0
102,1980,0,102_1980_0,57827.85029402876,0.0,0.0,0,0,0
102,1981,0,102_1981_0,66462.0915231351,0.0,0.0,0,0,0
102,1982,1,102_1982_1,80826.1720309124,1.0,81928.05594808802,10,10,28425.47332459749
102,1982,1,102_1982_1,80826.1720309124,1.0,81928.05594808802,10,1,29066.64941462601
102,1982,1,102_1982_1,80826.1720309124,1.0,81928.05594808802,10,8,34887.71238049838
102,1982,1,102_1982_1,80826.1720309124,1.0,81928.05594808802,10,7,42460.10551744388
102,1982,1,102_1982_1,80826.1720309124,1.0,81928.05594808802,10,6,65870.1772790684
102,1982,1,102_1982_1,80826.1720309124,1.0,81928.05594808802,10,5,81166.58069105732
102,1982,1,102_1982_1,80826.1720309124,1.0,81928.05594808802,10,4,81928.05594808802
102,1982,1,102_1982_1,80826.1720309124,1.0,81928.05594808802,10,3,80939.45943599498
102,1982,1,102_1982_1,80826.1720309124,1.0,81928.05594808802,10,2,63931.7917472576
102,1982,1,102_1982_1,80826.1720309124,1.0,81928.05594808802,10,9,32962.72274040707
102,1983,0,102_1983_0,-74521.9707832984,0.0,0.0,0,0,0
102,1984,0,102_1984_0,7792.810483990488,0.0,0.0,0,0,0
103,1970,0,103_1970_0,57420.66534341972,0.0,0.0,0,0,0
103,1971,0,103_1971_0,-27464.672357315303,0.0,0.0,0,0,0
103,1972,0,103_1972_0,-3730.5596255889577,0.0,0.0,0,0,0
103,1973,1,103_1973_1,118044.00927898331,3.0,60267.91554890126,6,6,16254.074193491557
103,1973,1,103_1973_1,118044.00927898331,3.0,60267.91554890126,6,3,40311.74767028311
103,1973,1,103_1973_1,118044.00927898331,3.0,60267.91554890126,6,4,46698.32041799548
103,1973,1,103_1973_1,118044.00927898331,3.0,60267.91554890126,6,2,48312.58740447043
103,1973,1,103_1973_1,118044.00927898331,3.0,60267.91554890126,6,1,21276.400489233325
103,1973,1,103_1973_1,118044.00927898331,3.0,60267.91554890126,6,5,57582.88859617415
103,1973,2,103_1973_2,118044.00927898331,3.0,45852.120444349064,8,5,43521.44413711438
103,1973,2,103_1973_2,118044.00927898331,3.0,45852.120444349064,8,8,23157.636588055084
103,1973,2,103_1973_2,118044.00927898331,3.0,45852.120444349064,8,7,30262.623257189105
103,1973,2,103_1973_2,118044.00927898331,3.0,45852.120444349064,8,4,45123.86385504003
103,1973,2,103_1973_2,118044.00927898331,3.0,45852.120444349064,8,6,37701.42325506639
103,1973,2,103_1973_2,118044.00927898331,3.0,45852.120444349064,8,2,44709.86350927061
