sim,year,storm_index,unique_storm_id,signal,Frequency,Intensity,Duration,storm_day,daily_flow
0,2008,0,0_2008_0,29432.165331923883,0.0,0.0,0,0,0
0,2009,0,0_2009_0,29612.992562723404,0.0,0.0,0,0,0
0,2010,0,0_2010_0,-23516.52336288279,0.0,0.0,0,0,0
0,2011,1,0_2011_1,69347.24244396893,2.0,11179.458277959535,5,1,9628.241579103906
0,2011,1,0_2011_1,69347.24244396893,2.0,11179.458277959535,5,2,9601.496463606394
0,2011,1,0_2011_1,69347.24244396893,2.0,11179.458277959535,5,3,11179.458277959535
0,2011,1,0_2011_1,69347.24244396893,2.0,11179.458277959535,5,4,10537.575506019275
0,2011,1,0_2011_1,69347.24244396893,2.0,11179.458277959535,5,5,6713.0239898752225
0,2011,2,0_2011_2,69347.24244396893,2.0,25105.01659989403,7,1,21072.99878233529
0,2011,2,0_2011_2,69347.24244396893,2.0,25105.01659989403,7,2,22138.060092633827
0,2011,2,0_2011_2,69347.24244396893,2.0,25105.01659989403,7,3,23659.576250203158
0,2011,2,0_2011_2,69347.24244396893,2.0,25105.01659989403,7,4,25105.01659989403
0,2011,2,0_2011_2,69347.24244396893,2.0,25105.01659989403,7,5,20312.240703550622
0,2011,2,0_2011_2,69347.24244396893,2.0,25105.01659989403,7,6,21529.45362960609
0,2011,2,0_2011_2,69347.24244396893,2.0,25105.01659989403,7,7,21149.074590213757
0,2012,1,0_2012_1,57585.665507170634,1.0,19463.216898936433,7,7,6752.8900371092495
0,2012,1,0_2012_1,57585.665507170634,1.0,19463.216898936433,7,6,8140.702024685586
0,2012,1,0_2012_1,57585.665507170634,1.0,19463.216898936433,7,4,18109.25398422781
0,2012,1,0_2012_1,57585.665507170634,1.0,19463.216898936433,7,5,10087.02371457923
0,2012,1,0_2012_1,57585.665507170634,1.0,19463.216898936433,7,3,19463.216898936433
0,2012,1,0_2012_1,57585.665507170634,1.0,19463.216898936433,7,2,17940.008619889235
0,2012,1,0_2012_1,57585.665507170634,1.0,19463.216898936433,7,1,6905.210865013969
0,2013,1,0_2013_1,48833.78667235632,2.0,7911.298016526837,3,1,7756.780477141548
0,2013,1,0_2013_1,48833.78667235632,2.0,7911.298016526837,3,2,7911.298016526837
0,2013,1,0_2013_1,48833.78667235632,2.0,7911.298016526837,3,3,7818.587492895664
0,2013,2,0_2013_2,48833.78667235632,2.0,21675.875608067967,3,1,12940.82125854804
0,2013,2,0_2013_2,48833.78667235632,2.0,21675.875608067967,3,2,21675.875608067967
0,2013,2,0_2013_2,48833.78667235632,2.0,21675.875608067967,3,3,11264.396686417953
0,2014,0,0_2014_0,-20206.730933281662,0.0,0.0,0,0,0
0,2015,0,0_2015_0,8825.596078650986,0.0,0.0,0,0,0
0,2017,1,0_2017_1,51065.35612640058,3.0,19330.894568879186,7,3,19330.894568879186
0,2017,1,0_2017_1,51065.35612640058,3.0,19330.894568879186,7,5,19330.894568879186
0,2017,1,0_2017_1,51065.35612640058,3.0,19330.894568879186,7,2,19330.894568879186
0,2017,1,0_2017_1,51065.35612640058,3.0,19330.894568879186,7,7,18303.94079490748
0,2017,1,0_2017_1,51065.35612640058,3.0,19330.894568879186,7,6,19330.894568879186
0,2017,1,0_2017_1,51065.35612640058,3.0,19330.894568879186,7,1,19330.894568879186
0,2017,1,0_2017_1,51065.35612640058,3.0,19330.894568879186,7,4,19330.894568879186
0,2017,2,0_2017_2,51065.35612640058,3.0,32742.4124075318,7,5,26491.588220639365
0,2017,2,0_2017_2,51065.35612640058,3.0,32742.4124075318,7,1,27483.782536019116
0,2017,2,0_2017_2,51065.35612640058,3.0,32742.4124075318,7,2,28872.85457755077
0,2017,2,0_2017_2,51065.35612640058,3.0,32742.4124075318,7,3,30857.243208310272
0,2017,2,0_2017_2,51065.35612640058,3.0,32742.4124075318,7,4,32742.4124075318
0,2017,2,0_2017_2,51065.35612640058,3.0,32742.4124075318,7,7,27583.00196755709
0,2017,2,0_2017_2,51065.35612640058,3.0,32742.4124075318,7,6,28079.099125246965
0,2017,3,0_2017_3,51065.35612640058,3.0,31770.727534782298,6,5,29836.8571630999
0,2017,3,0_2017_3,51065.35612640058,3.0,31770.727534782298,6,6,23114.355394870596
0,2017,3,0_2017_3,51065.35612640058,3.0,31770.727534782298,6,4,31770.727534782298
0,2017,3,0_2017_3,51065.35612640058,3.0,31770.727534782298,6,3,31770.727534782298
0,2017,3,0_2017_3,51065.35612640058,3.0,31770.727534782298,6,2,31034.01501223662
0,2017,3,0_2017_3,51065.35612640058,3.0,31770.727534782298,6,1,23574.80072146165
0,2018,1,0_2018_1,50039.568376314506,1.0,9600.941178937313,6,1,5937.739182983675
0,2018,1,0_2018_1,50039.568376314506,1.0,9600.941178937313,6,2,8140.448879896974
0,2018,1,0_2018_1,50039.568376314506,1.0,9600.941178937313,6,6,4309.649407004281
0,2018,1,0_2018_1,50039.568376314506,1.0,9600.941178937313,6,3,9600.941178937313
0,2018,1,0_2018_1,50039.568376314506,1.0,9600.941178937313,6,5,5015.953059818871
0,2018,1,0_2018_1,50039.568376314506,1.0,9600.941178937313,6,4,6859.525306148479
0,2019,0,0_2019_0,8747.975129584192,0.0,0.0,0,0,0
0,2020,0,0_2020_0,1905.9699682230275,0.0,0.0,0,0,0
0,2021,1,0_2021_1,71352.47530538264,1.0,8040.692836671322,6,2,8040.692836671322
0,2021,1,0_2021_1,71352.47530538264,1.0,8040.692836671322,6,3,6743.172721218249
0,2021,1,0_2021_1,71352.47530538264,1.0,8040.692836671322,6,4,5288.37744025571
0,2021,1,0_2021_1,71352.47530538264,1.0,8040.692836671322,6,5,5229.399253189662
0,2021,1,0_2021_1,71352.47530538264,1.0,8040.692836671322,6,6,5249.058648878344
0,2021,1,0_2021_1,71352.47530538264,1.0,8040.692836671322,6,1,6585.897555708785
0,2022,0,0_2022_0,1705.251753639819,0.0,0.0,0,0,0
0,2023,1,0_2023_1,54743.05007997823,1.0,10223.639520058274,1,1,10223.639520058274
0,2024,1,0_2024_1,-7826.92026315811,2.0,15159.286449153638,2,2,15159.286449153638
0,2024,1,0_2024_1,-7826.92026315811,2.0,15159.286449153638,2,1,15159.286449153638
100,2008,1,100_2008_1,25092.22055336914,1.0,19029.705480110773,3,1,18264.142615968387
100,2008,1,100_2008_1,25092.22055336914,1.0,19029.705480110773,3,2,19029.705480110773
100,2008,1,100_2008_1,25092.22055336914,1.0,19029.705480110773,3,3,14819.109727327643
100,2009,1,100_2009_1,23314.17793093784,1.0,18433.449482061904,3,1,17691.87392818585
100,2009,1,100_2009_1,23314.17793093784,1.0,18433.449482061904,3,2,18433.449482061904
100,2009,1,100_2009_1,23314.17793093784,1.0,18433.449482061904,3,3,14354.78393574361
100,2011,0,100_2011_0,7629.741999819042,0.0,0.0,0,0,0
100,2012,1,100_2012_1,53578.382663775454,3.0,11653.033786754859,4,2,6338.738158729291
100,2012,1,100_2012_1,53578.382663775454,3.0,11653.033786754859,4,3,11653.033786754859
100,2012,1,100_2012_1,53578.382663775454,3.0,11653.033786754859,4,4,7790.0317438929
100,2012,1,100_2012_1,53578.382663775454,3.0,11653.033786754859,4,1,6189.340289668332
100,2012,2,100_2012_2,53578.382663775454,3.0,15775.708120269255,4,1,15775.708120269255
100,2012,2,100_2012_2,53578.382663775454,3.0,15775.708120269255,4,2,15775.708120269255
100,2012,2,100_2012_2,53578.382663775454,3.0,15775.708120269255,4,3,15775.708120269255
100,2012,2,100_2012_2,53578.382663775454,3.0,15775.708120269255,4,4,15775.708120269255
100,2012,3,100_2012_3,53578.382663775454,3.0,5805.2735865115355,1,1,5805.2735865115355
100,2013,1,100_2013_1,49721.242095588255,4.0,5424.435132152572,1,1,5424.435132152572
100,2013,3,100_2013_3,49721.242095588255,4.0,1705.0300238467064,1,1,1705.0300238467064
100,2013,4,100_2013_4,49721.242095588255,4.0,6911.398771081938,1,1,6911.398771081938
100,2014,1,100_2014_1,49213.23869893342,1.0,34165.62389287604,5,1,34067.72812240935
100,2014,1,100_2014_1,49213.23869893342,1.0,34165.62389287604,5,2,34165.62389287604
100,2014,1,100_2014_1,49213.23869893342,1.0,34165.62389287604,5,3,31718.229631208706
100,2014,1,100_2014_1,49213.23869893342,1.0,34165.62389287604,5,4,27117.128419274108
100,2014,1,100_2014_1,49213.23869893342,1.0,34165.62389287604,5,5,24669.73415760677
100,2015,0,100_2015_0,-10203.514071760805,0.0,0.0,0,0,0
100,2016,0,100_2016_0,-30342.908836421764,0.0,0.0,0,0,0
100,2017,1,100_2017_1,96029.81958964175,1.0,45275.46558707585,4,1,24047.408461999992
100,2017,1,100_2017_1,96029.81958964175,1.0,45275.46558707585,4,2,24627.863149013785
100,2017,1,100_2017_1,96029.81958964175,1.0,45275.46558707585,4,3,45275.46558707585
100,2017,1,100_2017_1,96029.81958964175,1.0,45275.46558707585,4,4,30266.56582286206
100,2018,0,100_2018_0,23899.18687504225,0.0,0.0,0,0,0
100,2019,1,100_2019_1,68823.22324271857,2.0,9211.058128232184,5,4,9077.1764693916
100,2019,1,100_2019_1,68823.22324271857,2.0,9211.058128232184,5,3,9130.729132927832
100,2019,1,100_2019_1,68823.22324271857,2.0,9211.058128232184,5,2,9211.058128232184
100,2019,1,100_2019_1,68823.22324271857,2.0,9211.058128232184,5,1,7229.6095773915395
100,2019,1,100_2019_1,68823.22324271857,2.0,9211.058128232184,5,5,8354.215511652445
