year,sim,signal,Scale_Sig,Scale_Int,Scale_Dur,Scale_Freq
1990,0,9992.902574368458,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1991,0,46067.441815575396,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1992,0,20366.10834134904,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1993,0,41048.28510739704,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1994,0,28701.20181064917,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1995,0,52083.03722855412,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1996,0,-68796.23077090825,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1997,0,74747.66640811198,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1998,0,105106.87426185962,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1999,0,51009.96482502894,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
2000,0,-84215.27733650588,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
2001,0,233.05559202966106,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
2002,0,108118.69757368091,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
2003,0,64254.69442518466,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
2004,0,-30120.94097160554,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1990,1,28108.35058099597,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1991,1,36819.906122521585,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1992,1,-29933.5564929722,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1993,1,105410.22728459853,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1994,1,7155.071884332578,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1995,1,10245.649948525574,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1996,1,48787.220942637054,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1997,1,5926.484471238389,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1998,1,52342.36212572633,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1999,1,43482.13028608396,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
2000,1,22129.812434151034,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
2001,1,-14071.163461410968,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
2002,1,33288.690200699995,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
2003,1,81696.49892609204,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
2004,1,31656.256675206565,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1990,2,25460.245250742162,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1991,2,-8529.216558952441,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1992,2,73969.19585836242,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1993,2,42865.93778940833,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1994,2,-4156.767878682473,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1995,2,21034.592965398915,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1996,2,63161.42068924314,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1997,2,29714.403823082244,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1998,2,-8662.450003807597,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1999,2,44721.77753649343,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
2000,2,18463.81901530137,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
2001,2,76325.66207048866,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
2002,2,30349.49238356204,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
2003,2,833.9089692122361,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
2004,2,-32891.627588269344,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1990,3,-1040.978866000849,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1991,3,55121.19385975438,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1992,3,35244.45736339821,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1993,3,57059.27045512876,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1994,3,-29788.80799451515,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1995,3,24737.596888607808,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1996,3,84100.82668813757,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1997,3,-42259.87300318574,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1998,3,78105.72969649752,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
1999,3,79298.21417941223,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
2000,3,-21491.22046171851,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
2001,3,-30538.184681407558,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
2002,3,97626.06951559927,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
2003,3,26724.941965744707,58413.57675811525,24393.333333333336,3.1555555555555554,0.9
