year,sim,signal,Scale_Sig,Scale_Int,Scale_Dur,Scale_Freq
2008,0,29432.165331923883,51699.66584964366,21056.060606060608,3.4545454545454546,0.9705882352941176
2009,0,29612.992562723404,51699.66584964366,21056.060606060608,3.4545454545454546,0.9705882352941176
2010,0,-23516.52336288279,51699.66584964366,21056.060606060608,3.4545454545454546,0.9705882352941176
2011,0,69347.24244396893,51699.66584964366,21056.060606060608,3.4545454545454546,0.9705882352941176
2012,0,57585.665507170634,51699.66584964366,21056.060606060608,3.4545454545454546,0.9705882352941176
2013,0,48833.78667235632,51699.66584964366,21056.060606060608,3.4545454545454546,0.9705882352941176
2014,0,-20206.730933281662,51699.66584964366,21056.060606060608,3.4545454545454546,0.9705882352941176
2015,0,8825.596078650986,51699.66584964366,21056.060606060608,3.4545454545454546,0.9705882352941176
2016,0,39379.82075872083,51699.66584964366,21056.060606060608,3.4545454545454546,0.9705882352941176
2017,0,51065.35612640058,51699.66584964366,21056.060606060608,3.4545454545454546,0.9705882352941176
2018,0,50039.568376314506,51699.66584964366,21056.060606060608,3.4545454545454546,0.9705882352941176
2019,0,8747.975129584192,51699.66584964366,21056.060606060608,3.4545454545454546,0.9705882352941176
2020,0,1905.9699682230275,51699.66584964366,21056.060606060608,3.4545454545454546,0.9705882352941176
2021,0,71352.47530538264,51699.66584964366,21056.060606060608,3.4545454545454546,0.9705882352941176
2022,0,1705.251753639819,51699.66584964366,21056.060606060608,3.4545454545454546,0.9705882352941176
2023,0,54743.05007997823,51699.66584964366,21056.060606060608,3.4545454545454546,0.9705882352941176
2024,0,-7826.92026315811,51699.66584964366,21056.060606060608,3.4545454545454546,0.9705882352941176
2008,1,11001.908383854494,51699.66584964366,21056.060606060608,3.4545454545454546,0.9705882352941176
2009,1,61543.47593875631,51699.66584964366,21056.060606060608,3.4545454545454546,0.9705882352941176
2010,1,-9225.544600824742,51699.66584964366,21056.060606060608,3.4545454545454546,0.9705882352941176
2011,1,42068.681847686166,51699.66584964366,21056.060606060608,3.4545454545454546,0.9705882352941176
2012,1,35966.87009852645,51699.66584964366,21056.060606060608,3.4545454545454546,0.9705882352941176
2013,1,76256.71362123857,51699.66584964366,21056.060606060608,3.4545454545454546,0.9705882352941176
