Year,Signal,Cluster_ID,Duration,Intensity,Frequency
1940,29323.080312349895,1940.1,3,57500.0,3
1940,29323.080312349895,1940.2,1,47400.0,3
1940,29323.080312349895,1940.3,2,69600.0,3
1941,10962.324970835525,1941.0,0,26900.0,0
1942,36340.68202503015,1942.1,2,54600.0,2
1942,36340.68202503015,1942.2,1,32600.0,2
1943,53635.61614445342,1943.1,3,73800.0,2
1943,53635.61614445342,1943.2,3,73700.0,2
1944,-7155.275123089345,1944.0,0,12400.0,0
1945,76268.84272638768,1945.1,2,70900.0,3
1945,76268.84272638768,1945.2,1,32400.0,3
1945,76268.84272638768,1945.3,1,32200.0,3
1946,20590.058802408043,1946.0,0,13300.0,0
1947,18628.865106946072,1947.0,0,20100.0,0
1948,-2533.7167408589303,1948.0,0,17600.0,0
1949,3617.1837652227005,1949.0,0,25500.0,0
1950,130046.45446578886,1950.1,5,132000.0,3
1950,130046.45446578886,1950.2,2,76400.0,3
1950,130046.45446578886,1950.3,3,60300.0,3
1951,15145.913362832856,1951.1,1,39500.0,1
1952,-5284.348661851913,1952.0,0,30500.0,0
1953,10250.504274830331,1953.0,0,27600.0,0
1954,24877.614348520518,1954.1,1,36500.0,1
1955,67461.70773876093,1955.1,7,69300.0,1
1956,18206.628366983612,1956.1,3,33500.0,1
1957,18926.134801145286,1957.0,0,28200.0,0
1958,48136.356140433956,1958.1,2,33000.0,1
1959,29430.658201051447,1959.0,0,6260.0,0
1960,30831.751472045624,1960.0,0,5170.0,0
1961,12356.172153961616,1961.0,0,4540.0,0
1962,-14629.693304621953,1962.0,0,7870.0,0
1963,58315.92405371394,1963.1,5,74100.0,1
1964,103949.73998851482,1964.1,7,115000.0,1
1965,-2678.921739013971,1965.1,4,35500.0,1
1966,-3979.37367046253,1966.0,0,22600.0,0
1967,27347.039787579022,1967.1,3,35900.0,1
1968,1462.3967105918564,1968.0,0,8230.0,0
1969,78016.15168190934,1969.1,3,67200.0,2
1969,78016.15168190934,1969.2,3,39900.0,2
1970,61684.13909765124,1970.1,3,52200.0,2
1970,61684.13909765124,1970.2,4,50300.0,2
1971,-7748.715653256611,1971.0,0,8240.0,0
1972,-2424.8909130224965,1972.0,0,5270.0,0
1973,45932.84732536953,1973.1,2,31900.0,1
1974,48231.93262978451,1974.0,0,26400.0,0
