Year,Signal,Cluster_ID,Duration,Intensity,Frequency
1940,29323.080312349895,1940.1,3,57500.0,3
1940,29323.080312349895,1940.2,1,47400.0,3
1940,29323.080312349895,1940.3,3,69600.0,3
1941,10962.324970835525,1941.0,0,26900.0,0
1942,36340.68202503015,1942.1,4,54600.0,3
1942,36340.68202503015,1942.2,2,32600.0,3
1942,36340.68202503015,1942.3,1,29300.0,3
1943,53635.61614445342,1943.1,4,73800.0,2
1943,53635.61614445342,1943.2,3,73700.0,2
1944,-7155.275123089345,1944.0,0,12400.0,0
1945,76268.84272638768,1945.1,2,70900.0,3
1945,76268.84272638768,1945.2,1,32400.0,3
1945,76268.84272638768,1945.3,1,32200.0,3
1946,20590.058802408043,1946.0,0,13300.0,0
1947,18628.865106946072,1947.0,0,20100.0,0
1948,-2533.7167408589303,1948.0,0,17600.0,0
1949,3617.1837652227005,1949.0,0,25500.0,0
1950,130046.45446578886,1950.1,5,132000.0,3
1950,130046.45446578886,1950.2,2,76400.0,3
1950,130046.45446578886,1950.3,3,60300.0,3
1951,15145.913362832856,1951.1,2,39500.0,1
1952,-5284.348661851913,1952.1,1,27700.0,3
1952,-5284.348661851913,1952.2,1,27500.0,3
1952,-5284.348661851913,1952.3,1,30500.0,3
1953,10250.504274830331,1953.1,1,27600.0,1
1954,24877.614348520518,1954.1,1,36500.0,1
1955,67461.70773876093,1955.1,7,69300.0,1
1956,18206.628366983612,1956.1,3,33500.0,1
1957,18926.134801145286,1957.1,1,28200.0,1
1958,48136.356140433956,1958.1,4,33000.0,2
1958,48136.356140433956,1958.2,2,28300.0,2
1959,29430.658201051447,1959.0,0,6260.0,0
1960,30831.751472045624,1960.0,0,5170.0,0
1961,12356.172153961616,1961.0,0,4540.0,0
1962,-14629.693304621953,1962.0,0,7870.0,0
1963,58315.92405371394,1963.1,5,74100.0,1
1964,103949.73998851482,1964.1,7,115000.0,1
1965,-2678.921739013971,1965.1,5,35500.0,1
1966,-3979.37367046253,1966.0,0,22600.0,0
1967,27347.039787579022,1967.1,3,35900.0,1
1968,1462.3967105918564,1968.0,0,8230.0,0
1969,78016.15168190934,1969.1,4,67200.0,2
1969,78016.15168190934,1969.2,4,39900.0,2
1970,61684.13909765124,1970.1,4,52200.0,2
1970,61684.13909765124,1970.2,5,50300.0,2
1971,-7748.715653256611,1971.0,0,8240.0,0
1972,-2424.8909130224965,1972.0,0,5270.0,0
1973,45932.84732536953,1973.1,3,31900.0,1
1974,48231.93262978451,1974.0,0,26400.0,0
1975,32392.066634911684,1975.0,0,8250.0,0
1976,24940.89335088629,1976.0,0,3070.0,0
1977,26513.00669817432,1977.0,0,1300.0,0
1978,17395.54792506957,1978.0,0,15200.0,0
1979,13895.91875755206,1979.0,0,16000.0,0
1980,63159.77214274353,1980.1,6,80200.0,2
1980,63159.77214274353,1980.2,4,34500.0,2
1981,12663.992851114454,1981.1,4,36100.0,1
1982,57092.061374930134,1982.1,3,84200.0,3
1982,57092.061374930134,1982.2,2,49400.0,3
1982,57092.061374930134,1982.3,2,34800.0,3
1983,38391.89912653886,1983.1,4,34400.0,3
1983,38391.89912653886,1983.2,3,36200.0,3
1983,38391.89912653886,1983.3,4,47200.0,3
1984,-26876.80430972821,1984.0,0,19600.0,0
1985,-9295.470426684351,1985.0,0,4110.0,0
1986,147308.02732479727,1986.1,8,131000.0,2
1986,147308.02732479727,1986.2,3,40900.0,2
1987,-2095.929833446404,1987.0,0,3500.0,0
1988,-14388.797650297853,1988.0,0,4550.0,0
1989,46102.29873865749,1989.0,0,24400.0,0
