time,latent,alpha,beta,lambda
1940-01-16 00:00:00,0.21005006,0.48797873,0.9921136,0.4918577
1940-02-15 00:00:00,0.24999732,0.48516667,0.98684055,0.49163634
1940-03-16 00:00:00,0.0010023027,0.48824126,0.99170005,0.49232754
1940-04-15 12:00:00,1.2329807,0.5054792,1.0117319,0.49961776
1940-05-16 00:00:00,0.029394763,0.5029932,1.0082254,0.49888963
1940-06-15 12:00:00,0.0025444122,0.505033,1.0106113,0.49973023
1940-07-16 00:00:00,0.19444773,0.5033172,1.0086884,0.4989818
1940-08-16 00:00:00,0.008605037,0.5039641,1.0095627,0.4991905
1940-09-15 12:00:00,0.24985301,0.50222266,1.0059005,0.49927667
1940-10-16 00:00:00,0.98802656,0.5011877,1.0073745,0.49751872
1940-11-15 12:00:00,0.020416388,0.5003916,1.0054073,0.49770036
1940-12-16 00:00:00,0.00013204425,0.48440617,0.98562765,0.49146974
1941-01-16 00:00:00,0.4053089,0.4897203,0.9933593,0.49299413
1941-02-14 12:00:00,0.1954767,0.48637292,0.9890639,0.49175075
1941-03-16 00:00:00,1.9322959,0.49352908,0.99866587,0.4941884
1941-04-15 12:00:00,0.00075729546,0.4979533,1.0032172,0.4963564
1941-05-16 00:00:00,0.37473077,0.5007263,1.0053399,0.49806666
1941-06-15 12:00:00,0.8961381,0.5016703,1.0059142,0.49872077
1941-07-16 00:00:00,0.00010255739,0.503952,1.0089825,0.49946555
1941-08-16 00:00:00,0.981055,0.50471705,1.0095996,0.49991804
1941-09-15 12:00:00,0.07504646,0.504058,1.009653,0.49923888
1941-10-16 00:00:00,0.5990296,0.50289977,1.0084878,0.49866718
1941-11-15 12:00:00,0.32005462,0.49848208,1.004306,0.49634483
1941-12-16 00:00:00,3.5592072,0.48280835,0.9832764,0.49101996
1942-01-16 00:00:00,1.455874,0.48848274,0.991642,0.4925999
1942-02-14 12:00:00,1.4783895,0.49065858,0.9946134,0.49331588
1942-03-16 00:00:00,0.31400415,0.499878,1.0059711,0.4969109
1942-04-15 12:00:00,0.4434208,0.49472496,0.99828804,0.49557337
1942-05-16 00:00:00,0.0056554596,0.49910262,1.0033402,0.49744105
1942-06-15 12:00:00,1.4994624,0.5034791,1.0086386,0.499167
1942-07-16 00:00:00,0.019294862,0.50429654,1.0099481,0.49932915
1942-08-16 00:00:00,0.072489664,0.50372994,1.0093559,0.49906078
1942-09-15 12:00:00,0.3950052,0.50430477,1.010069,0.49927753
1942-10-16 00:00:00,0.12675963,0.5037089,1.0089623,0.49923462
1942-11-15 12:00:00,0.7353481,0.4835241,0.98346573,0.49165323
1942-12-16 00:00:00,0.9030706,0.4961781,1.0003127,0.496023
1943-01-16 00:00:00,4.298172,0.48182455,0.98274595,0.49028394
1943-02-14 12:00:00,0.017230362,0.49899504,1.0050352,0.4964951
1943-03-16 00:00:00,1.1518627,0.4923434,0.9984812,0.4930923
1943-04-15 12:00:00,0.00809086,0.5021697,1.0085201,0.49792734
1943-05-16 00:00:00,0.9534895,0.5038967,1.0093181,0.4992447
1943-06-15 12:00:00,0.034015346,0.50279003,1.0076516,0.49897212
1943-07-16 00:00:00,0.31921816,0.50406164,1.009521,0.49930772
1943-08-16 00:00:00,0.13422002,0.50425273,1.010014,0.49925318
1943-09-15 12:00:00,2.5713973,0.50438535,1.0101666,0.49930906
1943-10-16 00:00:00,0.004764766,0.50157994,1.006492,0.4983447
1943-11-15 12:00:00,1.7489266,0.5020593,1.0070665,0.49853638
1943-12-16 00:00:00,0.028521158,0.4992702,1.0064774,0.49605706
1944-01-16 00:00:00,0.31467935,0.49249932,0.9956909,0.49463075
1944-02-15 00:00:00,0.44926977,0.49090293,0.9961054,0.4928223
1944-03-16 00:00:00,0.70791596,0.4972544,1.0026292,0.49595046
1944-04-15 12:00:00,0.0059374487,0.4985537,1.0033888,0.49686992
1944-05-16 00:00:00,0.46228263,0.50381196,1.0091641,0.4992369
1944-06-15 12:00:00,4.5859857,0.50283796,1.0075306,0.4990796
1944-07-16 00:00:00,0.80760306,0.5037963,1.009414,0.4990978
1944-08-16 00:00:00,0.5822506,0.50425833,1.0100294,0.49925113
1944-09-15 12:00:00,0.38704124,0.50428444,1.009848,0.49936667
1944-10-16 00:00:00,1.1049428,0.50149703,1.0070086,0.49800673
1944-11-15 12:00:00,0.018365458,0.49297714,0.9986175,0.49365965
1944-12-16 00:00:00,0.809794,0.4950352,0.9995597,0.49525326
1945-01-16 00:00:00,1.988288,0.5012831,1.0063226,0.4981336
1945-02-14 12:00:00,1.0643201,0.48948082,0.99236137,0.49324858
1945-03-16 00:00:00,0.235578,0.4922224,0.9967715,0.49381667
1945-04-15 12:00:00,0.146104,0.50168204,1.006599,0.49839318
1945-05-16 00:00:00,0.0020647284,0.5003062,1.0038624,0.49838126
1945-06-15 12:00:00,0.082127206,0.50348926,1.0084381,0.4992763
1945-07-16 00:00:00,0.03334494,0.5046608,1.0104011,0.49946576
1945-08-16 00:00:00,0.16578518,0.50480163,1.0104713,0.49957046
1945-09-15 12:00:00,0.43273982,0.50455105,1.0103086,0.4994029
1945-10-16 00:00:00,0.20564711,0.49449816,0.99801373,0.49548233
1945-11-15 12:00:00,0.013363241,0.49262953,0.9959879,0.49461398
1945-12-16 00:00:00,0.025375124,0.4864928,0.9883015,0.4922514
1946-01-16 00:00:00,0.8722451,0.49939364,1.0049618,0.49692795
1946-02-14 12:00:00,0.028125778,0.49797347,1.0032895,0.49634078
1946-03-16 00:00:00,2.5467875,0.49410847,0.99907225,0.4945673
1946-04-15 12:00:00,0.051306926,0.50566906,1.0119495,0.4996979
1946-05-16 00:00:00,0.6815108,0.5039958,1.009568,0.49921927
1946-06-15 12:00:00,0.48339415,0.50420004,1.0098996,0.4992576
1946-07-16 00:00:00,0.13447729,0.5052011,1.0107569,0.49982455
1946-08-16 00:00:00,0.008862452,0.5040745,1.0096954,0.49923423
1946-09-15 12:00:00,4.824693e-05,0.50416356,1.009947,0.49919808
1946-10-16 00:00:00,0.8572416,0.5032096,1.0103271,0.498066
1946-11-15 12:00:00,0.5986961,0.4873132,0.98994076,0.49226502
1946-12-16 00:00:00,0.031843066,0.49981472,1.0080396,0.49582845
1947-01-16 00:00:00,0.05253171,0.50032693,1.0059024,0.49739113
1947-02-14 12:00:00,0.051636692,0.4978619,1.0044389,0.4956617
1947-03-16 00:00:00,0.26122853,0.49325845,0.99714726,0.49466962
1947-04-15 12:00:00,0.9500577,0.5058135,1.012273,0.4996809
1947-05-16 00:00:00,0.041264016,0.50367624,1.0087981,0.4992835
1947-06-15 12:00:00,0.0005201911,0.5020604,1.0064076,0.49886388
1947-07-16 00:00:00,0.0024418554,0.5042066,1.0099181,0.49925494
1947-08-16 00:00:00,0.010642059,0.50277907,1.0079765,0.49880037
1947-09-15 12:00:00,0.002137365,0.5041014,1.0096724,0.49927223
1947-10-16 00:00:00,0.04875164,0.49319175,0.99665564,0.4948467
1947-11-15 12:00:00,0.08744518,0.50113064,1.0066068,0.4978415
1947-12-16 00:00:00,1.7314506,0.49896485,1.0044296,0.4967644
1948-01-16 00:00:00,0.068616934,0.4919658,0.9942072,0.49483228
1948-02-15 00:00:00,0.26262927,0.49697012,1.0023524,0.4958038
1948-03-16 00:00:00,0.36395684,0.4911594,0.9954089,0.49342477
1948-04-15 12:00:00,0.013186785,0.4877869,0.98997754,0.49272522
1948-05-16 00:00:00,1.5111198,0.5012268,1.0063698,0.49805427
1948-06-15 12:00:00,0.13072571,0.50360286,1.008371,0.4994222
1948-07-16 00:00:00,0.30277115,0.5040296,1.0096114,0.49923128
1948-08-16 00:00:00,4.6696506,0.50398093,1.0096503,0.49916384
1948-09-15 12:00:00,3.7133956,0.50417095,1.009692,0.49933144
1948-10-16 00:00:00,0.05481517,0.50294644,1.0079672,0.49897102
1948-11-15 12:00:00,0.059731763,0.4967079,1.0003887,0.49651486
1948-12-16 00:00:00,0.0097534545,0.4877864,0.99007213,0.49267766
1949-01-16 00:00:00,0.0677171,0.49780396,1.0041081,0.4957673
1949-02-14 12:00:00,0.67719215,0.49153328,0.99508154,0.49396282
1949-03-16 00:00:00,0.39454088,0.49179733,0.99617314,0.4936866
1949-04-15 12:00:00,0.00754697,0.502954,1.0088276,0.498553
1949-05-16 00:00:00,1.4321464,0.50090605,1.0062954,0.49777237
1949-06-15 12:00:00,0.9197186,0.5042362,1.0098904,0.49929795
1949-07-16 00:00:00,0.5999256,0.50417966,1.0099015,0.49923646
1949-08-16 00:00:00,0.7318271,0.5043604,1.0099844,0.49937445
1949-09-15 12:00:00,2.0820608,0.5034226,1.008808,0.4990272
1949-10-16 00:00:00,0.7703462,0.50303596,1.0084416,0.4988251
1949-11-15 12:00:00,0.4548343,0.49821177,1.0040169,0.49621853
1949-12-16 00:00:00,0.16030371,0.49700823,1.0031958,0.495425
1950-01-16 00:00:00,0.2512552,0.48250228,0.9830408,0.4908263
1950-02-14 12:00:00,0.4080858,0.49384546,0.9982665,0.49470302
1950-03-16 00:00:00,0.21390651,0.49261945,0.9956528,0.49477032
1950-04-15 12:00:00,0.4189473,0.5004698,1.0062959,0.4973386
1950-05-16 00:00:00,0.03988436,0.5021005,1.0072281,0.4984973
1950-06-15 12:00:00,1.5144463,0.50295335,1.00756,0.49917954
1950-07-16 00:00:00,0.19363792,0.5044624,1.0102091,0.49936438
1950-08-16 00:00:00,0.101055555,0.5038717,1.0094078,0.49917555
1950-09-15 12:00:00,0.07671892,0.5040493,1.0090989,0.49950436
1950-10-16 00:00:00,0.17471264,0.4907191,0.9933709,0.49399385
1950-11-15 12:00:00,0.16141824,0.4847877,0.9854582,0.49194142
1950-12-16 00:00:00,1.1696129,0.4855246,0.98598015,0.49242836
1951-01-16 00:00:00,0.091375194,0.4840445,0.9848352,0.49149796
1951-02-14 12:00:00,0.9155182,0.49372086,0.9975466,0.49493513
1951-03-16 00:00:00,0.03104768,0.4968903,1.0014297,0.49618092
1951-04-15 12:00:00,0.9165158,0.5012538,1.0074466,0.4975487
1951-05-16 00:00:00,0.15213513,0.50010514,1.0041928,0.49801704
1951-06-15 12:00:00,2.9470475,0.5047928,1.0104259,0.49958417
1951-07-16 00:00:00,0.018283844,0.5043963,1.0101312,0.4993374
1951-08-16 00:00:00,0.09116531,0.502989,1.0081722,0.4989118
1951-09-15 12:00:00,1.009869,0.503675,1.009195,0.4990859
1951-10-16 00:00:00,0.5731444,0.49774742,1.0017409,0.49688238
1951-11-15 12:00:00,0.0019269831,0.49106553,0.9938036,0.49412733
1951-12-16 00:00:00,0.65512276,0.4821607,0.9819645,0.4910164
1952-01-16 00:00:00,0.119903855,0.48201185,0.9825037,0.49059546
1952-02-15 00:00:00,1.9855147e-06,0.49183172,0.9944512,0.494576
1952-03-16 00:00:00,0.9964096,0.49003264,0.99480593,0.4925912
1952-04-15 12:00:00,3.3879209,0.501774,1.0091424,0.49722815
1952-05-16 00:00:00,0.014188208,0.50186884,1.0074543,0.49815544
1952-06-15 12:00:00,0.19160378,0.50233936,1.006984,0.49885535
1952-07-16 00:00:00,2.8319755,0.5041968,1.0090266,0.49968633
1952-08-16 00:00:00,0.059501413,0.5042367,1.0098802,0.4993035
1952-09-15 12:00:00,0.1405754,0.50504607,1.0105413,0.49977776
1952-10-16 00:00:00,1.0671952,0.50392383,1.0095996,0.49913236
1952-11-15 12:00:00,0.05500967,0.49682456,1.0023563,0.49565664
1952-12-16 00:00:00,0.34110993,0.48306513,0.9843149,0.49076277
1953-01-16 00:00:00,0.0010253765,0.4856275,0.9857682,0.49263865
1953-02-14 12:00:00,0.87034535,0.5017035,1.0068576,0.49828643
1953-03-16 00:00:00,0.00078301376,0.49437016,0.99789417,0.49541342
