time,latent,alpha,beta,lambda
1940-01-16 00:00:00,0.0056095603,1.1360872,13.707002,0.082883716
1940-02-15 00:00:00,0.10059901,1.1171454,13.859495,0.08060506
1940-03-16 00:00:00,0.0013220087,1.1948564,13.252494,0.09016087
1940-04-15 12:00:00,0.22212864,1.7429614,6.1105804,0.28523663
1940-05-16 00:00:00,0.63384724,1.7752266,4.6996193,0.3777384
1940-06-15 12:00:00,0.64825743,1.8016675,3.938608,0.45743763
1940-07-16 00:00:00,0.7247921,1.7891593,2.753352,0.6498113
1940-08-16 00:00:00,0.47614866,1.7777458,2.6773298,0.66399956
1940-09-15 12:00:00,0.40360928,1.8001347,4.2535067,0.4232119
1940-10-16 00:00:00,0.12158331,1.6803944,7.78319,0.21590048
1940-11-15 12:00:00,0.16586934,1.7352457,6.171307,0.2811796
1940-12-16 00:00:00,0.007186564,1.1230794,13.810729,0.08131935
1941-01-16 00:00:00,0.21828936,1.1626377,13.499651,0.08612354
1941-02-14 12:00:00,0.0011198724,1.1263951,13.78346,0.081720784
1941-03-16 00:00:00,0.20136541,1.3282813,12.213006,0.10875957
1941-04-15 12:00:00,0.2510993,1.4473823,11.233053,0.12885031
1941-05-16 00:00:00,0.25342813,1.6545831,8.398263,0.19701491
1941-06-15 12:00:00,0.4407607,1.7958272,3.9802463,0.45118493
1941-07-16 00:00:00,0.1883825,1.8092852,2.8847067,0.627199
1941-08-16 00:00:00,0.25838295,1.825538,3.3063025,0.55213886
1941-09-15 12:00:00,0.76101977,1.7730188,2.9533567,0.60034025
1941-10-16 00:00:00,0.54037255,1.7813702,4.8351655,0.36841968
1941-11-15 12:00:00,0.0059111374,1.637737,8.757295,0.18701404
1941-12-16 00:00:00,0.07022244,1.1303155,13.750875,0.082199536
1942-01-16 00:00:00,0.06892707,1.1954197,13.252159,0.090205655
1942-02-14 12:00:00,0.0028226287,1.2615539,12.74972,0.09894758
1942-03-16 00:00:00,0.16625199,1.6431956,8.66791,0.1895723
1942-04-15 12:00:00,0.23286864,1.3837222,11.824205,0.11702454
1942-05-16 00:00:00,0.4279113,1.6535726,8.416392,0.19647047
1942-06-15 12:00:00,0.78523433,1.7890303,3.1655703,0.56515265
1942-07-16 00:00:00,0.8716787,1.7760209,2.6437087,0.67179143
1942-08-16 00:00:00,0.21895608,1.7781788,2.7361033,0.6498946
1942-09-15 12:00:00,0.102128625,1.755954,2.5805998,0.6804441
1942-10-16 00:00:00,0.29715163,1.8012877,3.9545317,0.45549962
1942-11-15 12:00:00,0.10249664,1.2049738,13.150179,0.09163174
1942-12-16 00:00:00,0.22776824,1.6727691,7.861788,0.2127721
1943-01-16 00:00:00,0.0042525646,1.141523,13.654029,0.08360338
1943-02-14 12:00:00,0.26714268,1.6296966,8.940795,0.18227647
1943-03-16 00:00:00,0.057642657,1.3771892,11.832482,0.116390556
1943-04-15 12:00:00,0.08211417,1.6757499,7.902058,0.212065
1943-05-16 00:00:00,0.18180864,1.7821941,3.0435736,0.5855597
1943-06-15 12:00:00,0.10938605,1.796067,3.6855886,0.48732162
1943-07-16 00:00:00,0.4945783,1.8022301,2.7424548,0.65715945
1943-08-16 00:00:00,0.23111263,1.7552931,2.604531,0.6739383
1943-09-15 12:00:00,0.61929774,1.7605788,2.57163,0.6846159
1943-10-16 00:00:00,0.26150295,1.7284409,6.491999,0.2662417
1943-11-15 12:00:00,0.13612746,1.776768,4.5793505,0.38799563
1943-12-16 00:00:00,0.085490525,1.5852847,9.733711,0.1628654
1944-01-16 00:00:00,0.07647077,1.5209185,10.562768,0.14398862
1944-02-15 00:00:00,0.08984853,1.1904644,13.2768,0.08966501
1944-03-16 00:00:00,0.37503365,1.6328051,8.858454,0.18432169
1944-04-15 12:00:00,0.068983264,1.6338313,8.838751,0.18484867
1944-05-16 00:00:00,0.052948233,1.7719809,5.2349,0.33849373
1944-06-15 12:00:00,0.068749994,1.7948647,4.0584598,0.44225267
1944-07-16 00:00:00,0.2906794,1.7681302,2.689242,0.65748274
1944-08-16 00:00:00,0.39215466,1.7530483,2.5959678,0.67529666
1944-09-15 12:00:00,1.3439258,1.774249,2.7484267,0.6455508
1944-10-16 00:00:00,0.2218345,1.7059165,7.04804,0.24204127
1944-11-15 12:00:00,0.03727778,1.283048,12.582112,0.10197398
1944-12-16 00:00:00,0.07224092,1.5528759,10.192372,0.15235667
1945-01-16 00:00:00,0.35966498,1.7627289,5.290936,0.33316013
1945-02-14 12:00:00,0.039278597,1.2916659,12.480251,0.10349679
1945-03-16 00:00:00,0.008218193,1.2640357,12.726182,0.099325605
1945-04-15 12:00:00,0.026832838,1.7655859,5.202331,0.3393836
1945-05-16 00:00:00,0.12155664,1.7191659,6.6456985,0.2586885
1945-06-15 12:00:00,0.04100393,1.803146,3.372323,0.5346896
1945-07-16 00:00:00,2.0281615,1.7751273,2.5339985,0.7005242
1945-08-16 00:00:00,0.46961695,1.7881168,2.621304,0.6821478
1945-09-15 12:00:00,0.08326553,1.7720635,2.6586978,0.6665156
1945-10-16 00:00:00,0.64460623,1.5619564,10.00307,0.1561477
1945-11-15 12:00:00,0.33058184,1.5079687,10.757283,0.14018118
1945-12-16 00:00:00,0.10498167,1.1615306,13.506361,0.08599878
1946-01-16 00:00:00,0.180251,1.6651764,8.149766,0.204322
1946-02-14 12:00:00,0.443401,1.6615423,8.285189,0.20054369
1946-03-16 00:00:00,0.11526184,1.4178936,11.42233,0.12413349
1946-04-15 12:00:00,1.181162,1.7868805,4.1628804,0.42924136
1946-05-16 00:00:00,0.2885534,1.7871369,4.494549,0.3976232
1946-06-15 12:00:00,0.25528973,1.7628762,2.6275866,0.6709108
1946-07-16 00:00:00,1.2839258,1.8095937,2.7928681,0.6479338
1946-08-16 00:00:00,0.09130662,1.7722526,2.6839993,0.66030294
1946-09-15 12:00:00,0.6650085,1.7596885,2.7669919,0.63595724
