sim,year,storm_index,unique_storm_id,signal,Frequency,Intensity,Duration,storm_day,daily_flow
0,2015,0,0_2015_0,1.5904714226440866,0.0,0.0,0,0,0
0,2016,1,0_2016_1,1.4492933069436458,1.0,18767.625172408974,3,1,15220.98734455216
0,2016,1,0_2016_1,1.4492933069436458,1.0,18767.625172408974,3,2,18767.625172408974
0,2016,1,0_2016_1,1.4492933069436458,1.0,18767.625172408974,3,3,17659.30085120372
0,2017,1,0_2017_1,3.089510670055708,1.0,35345.93134824453,8,8,17926.644607243637
0,2017,1,0_2017_1,3.089510670055708,1.0,35345.93134824453,8,7,19025.919984102915
0,2017,1,0_2017_1,3.089510670055708,1.0,35345.93134824453,8,5,21224.470737821473
0,2017,1,0_2017_1,3.089510670055708,1.0,35345.93134824453,8,6,20294.314649709777
0,2017,1,0_2017_1,3.089510670055708,1.0,35345.93134824453,8,3,35345.93134824453
0,2017,1,0_2017_1,3.089510670055708,1.0,35345.93134824453,8,2,30356.912330190873
0,2017,1,0_2017_1,3.089510670055708,1.0,35345.93134824453,8,1,30441.47197456467
0,2017,1,0_2017_1,3.089510670055708,1.0,35345.93134824453,8,4,33316.49988327355
0,2018,1,0_2018_1,1.4894894881416214,1.0,45731.293141683935,12,9,36245.488494023644
0,2018,1,0_2018_1,1.4894894881416214,1.0,45731.293141683935,12,12,32690.049850329207
0,2018,1,0_2018_1,1.4894894881416214,1.0,45731.293141683935,12,11,36209.4878332363
0,2018,1,0_2018_1,1.4894894881416214,1.0,45731.293141683935,12,10,36189.28828558851
0,2018,1,0_2018_1,1.4894894881416214,1.0,45731.293141683935,12,8,35725.18138802222
0,2018,1,0_2018_1,1.4894894881416214,1.0,45731.293141683935,12,3,46031.26321607621
0,2018,1,0_2018_1,1.4894894881416214,1.0,45731.293141683935,12,6,43408.060969697406
0,2018,1,0_2018_1,1.4894894881416214,1.0,45731.293141683935,12,5,43293.45077202087
0,2018,1,0_2018_1,1.4894894881416214,1.0,45731.293141683935,12,4,44729.887684847105
0,2018,1,0_2018_1,1.4894894881416214,1.0,45731.293141683935,12,2,41164.67992825679
0,2018,1,0_2018_1,1.4894894881416214,1.0,45731.293141683935,12,1,30081.80119205825
0,2018,1,0_2018_1,1.4894894881416214,1.0,45731.293141683935,12,7,39050.194107863004
0,2019,0,0_2019_0,0.020592836237533385,0.0,0.0,0,0,0
0,2020,0,0_2020_0,2.160674246875138,0.0,0.0,0,0,0
0,2021,1,0_2021_1,2.77462021526771,2.0,21095.413398182263,7,7,16538.804104174895
