sim,year,storm_index,unique_storm_id,signal,Frequency,Intensity,Duration,storm_day,daily_flow
0,2008,0,0_2008_0,1.601462405067261,0.0,0.0,0,0,0
0,2009,0,0_2009_0,1.0287222560928844,0.0,0.0,0,0,0
0,2010,1,0_2010_1,2.376749672643335,1.0,115460.36616286046,5,5,83369.66267346944
0,2010,1,0_2010_1,2.376749672643335,1.0,115460.36616286046,5,1,115129.53416812448
0,2010,1,0_2010_1,2.376749672643335,1.0,115460.36616286046,5,3,107189.56629446072
0,2010,1,0_2010_1,2.376749672643335,1.0,115460.36616286046,5,4,91640.46254186919
0,2010,1,0_2010_1,2.376749672643335,1.0,115460.36616286046,5,2,115460.36616286046
0,2011,0,0_2011_0,3.0192048146249917,0.0,0.0,0,0,0
0,2012,1,0_2012_1,0.1787021019186137,2.0,61282.186809645274,6,6,27508.21353051409
0,2012,1,0_2012_1,0.1787021019186137,2.0,61282.186809645274,6,4,43783.90653606826
0,2012,1,0_2012_1,0.1787021019186137,2.0,61282.186809645274,6,3,61282.186809645274
0,2012,1,0_2012_1,0.1787021019186137,2.0,61282.186809645274,6,5,32016.504081348343
0,2012,1,0_2012_1,0.1787021019186137,2.0,61282.186809645274,6,1,37900.2053087083
0,2012,1,0_2012_1,0.1787021019186137,2.0,61282.186809645274,6,2,51959.95889097106
0,2012,2,0_2012_2,0.1787021019186137,2.0,16436.51793633228,5,5,7475.17752300132
0,2012,2,0_2012_2,0.1787021019186137,2.0,16436.51793633228,5,4,8850.43273494815
0,2012,2,0_2012_2,0.1787021019186137,2.0,16436.51793633228,5,3,8961.34041333096
0,2012,2,0_2012_2,0.1787021019186137,2.0,16436.51793633228,5,2,16436.51793633228
0,2012,2,0_2012_2,0.1787021019186137,2.0,16436.51793633228,5,1,9404.971126862194
0,2013,1,0_2013_1,2.319976134526826,1.0,111492.3533554695,5,5,84327.90285572587
0,2013,1,0_2013_1,2.319976134526826,1.0,111492.3533554695,5,3,111492.3533554695
0,2013,1,0_2013_1,2.319976134526826,1.0,111492.3533554695,5,2,94248.83260345833
0,2013,1,0_2013_1,2.319976134526826,1.0,111492.3533554695,5,4,110311.29029026326
0,2013,1,0_2013_1,2.319976134526826,1.0,111492.3533554695,5,1,64013.61813417847
0,2014,1,0_2014_1,1.6582133653812847,2.0,31027.38196494142,3,1,31027.38196494142
0,2014,1,0_2014_1,1.6582133653812847,2.0,31027.38196494142,3,2,27282.69793468987
0,2014,1,0_2014_1,1.6582133653812847,2.0,31027.38196494142,3,3,13284.712393035265
0,2014,2,0_2014_2,1.6582133653812847,2.0,38004.924811708996,2,1,17510.12242633713
0,2014,2,0_2014_2,1.6582133653812847,2.0,38004.924811708996,2,2,38004.924811708996
0,2015,1,0_2015_1,1.2426284399777607,1.0,23542.273249282847,4,1,12249.638113447987
0,2015,1,0_2015_1,1.2426284399777607,1.0,23542.273249282847,4,4,8772.527294786969
0,2015,1,0_2015_1,1.2426284399777607,1.0,23542.273249282847,4,3,14897.34635151096
0,2015,1,0_2015_1,1.2426284399777607,1.0,23542.273249282847,4,2,23542.273249282847
0,2016,1,0_2016_1,2.5452996633402516,2.0,26993.647040877553,2,1,12436.863558100653
0,2016,1,0_2016_1,2.5452996633402516,2.0,26993.647040877553,2,2,26993.647040877553
0,2016,2,0_2016_2,2.5452996633402516,2.0,18383.322571810506,1,1,18383.322571810506
0,2017,1,0_2017_1,0.9868655717895136,1.0,40744.32393888318,7,1,27809.617926539315
0,2017,1,0_2017_1,0.9868655717895136,1.0,40744.32393888318,7,2,40744.32393888318
0,2017,1,0_2017_1,0.9868655717895136,1.0,40744.32393888318,7,3,40273.97099297977
0,2017,1,0_2017_1,0.9868655717895136,1.0,40744.32393888318,7,4,39921.20628355221
0,2017,1,0_2017_1,0.9868655717895136,1.0,40744.32393888318,7,5,35511.6474157077
0,2017,1,0_2017_1,0.9868655717895136,1.0,40744.32393888318,7,6,27986.00028125309
0,2017,1,0_2017_1,0.9868655717895136,1.0,40744.32393888318,7,7,20577.941383274334
0,2018,0,0_2018_0,2.492300848245521,0.0,0.0,0,0,0
0,2019,1,0_2019_1,1.673790472587242,1.0,37755.652650657736,2,2,37755.652650657736
0,2019,1,0_2019_1,1.673790472587242,1.0,37755.652650657736,2,1,17395.274519674767
0,2020,0,0_2020_0,0.948183120349367,0.0,0.0,0,0,0
0,2021,0,0_2021_0,1.0503169864551998,0.0,0.0,0,0,0
0,2022,0,0_2022_0,2.2381306970071035,0.0,0.0,0,0,0
0,2024,0,0_2024_0,2.457283335627792,0.0,0.0,0,0,0
100,2008,1,100_2008_1,2.4113973979050587,2.0,22701.345466861952,3,1,21918.540450763267
100,2008,1,100_2008_1,2.4113973979050587,2.0,22701.345466861952,3,2,22701.345466861952
100,2008,1,100_2008_1,2.4113973979050587,2.0,22701.345466861952,3,3,19925.945864330242
100,2009,1,100_2009_1,1.6028322404897621,1.0,67124.66075992503,2,2,56966.329309609966
100,2009,1,100_2009_1,1.6028322404897621,1.0,67124.66075992503,2,1,67124.66075992503
100,2010,1,100_2010_1,0.17734782651786607,3.0,6733.086374858271,1,1,6733.086374858271
100,2010,2,100_2010_2,0.17734782651786607,3.0,18445.83683402326,3,1,18445.83683402326
100,2010,2,100_2010_2,0.17734782651786607,3.0,18445.83683402326,3,2,16952.24680697684
100,2010,2,100_2010_2,0.17734782651786607,3.0,18445.83683402326,3,3,9372.27741971627
100,2010,3,100_2010_3,0.17734782651786607,3.0,2105.4848490396425,1,1,2105.4848490396425
100,2011,1,100_2011_1,2.2607849645548024,2.0,68589.42047368568,5,5,38590.07155875357
100,2011,1,100_2011_1,2.2607849645548024,2.0,68589.42047368568,5,4,58498.7303841176
100,2011,1,100_2011_1,2.2607849645548024,2.0,68589.42047368568,5,3,68589.42047368568
100,2011,1,100_2011_1,2.2607849645548024,2.0,68589.42047368568,5,2,62862.27204447137
100,2011,1,100_2011_1,2.2607849645548024,2.0,68589.42047368568,5,1,48817.122325207696
100,2012,1,100_2012_1,2.7826453539021085,1.0,84816.3588131412,5,1,73047.58175294458
100,2012,1,100_2012_1,2.7826453539021085,1.0,84816.3588131412,5,2,72844.67180363083
100,2012,1,100_2012_1,2.7826453539021085,1.0,84816.3588131412,5,3,84816.3588131412
100,2012,1,100_2012_1,2.7826453539021085,1.0,84816.3588131412,5,4,79946.52002961157
100,2012,1,100_2012_1,2.7826453539021085,1.0,84816.3588131412,5,5,50930.39727774746
100,2013,0,100_2013_0,1.5914687438552284,0.0,0.0,0,0,0
100,2014,1,100_2014_1,1.3677432924826218,1.0,100209.02366228058,3,3,69187.79546769633
100,2014,1,100_2014_1,1.3677432924826218,1.0,100209.02366228058,3,1,81212.87830717
100,2014,1,100_2014_1,1.3677432924826218,1.0,100209.02366228058,3,2,100209.02366228058
100,2015,1,100_2015_1,2.430538838260978,1.0,33827.25633509427,11,11,26744.965752540098
100,2015,1,100_2015_1,2.430538838260978,1.0,33827.25633509427,11,10,33535.55726940923
