Year,Signal,Cluster_ID,Duration,Intensity,Frequency
1980,1.5372131634120563,1980.1,8,80200.0,2
1980,1.5372131634120563,1980.2,8,34500.0,2
1981,2.056089793913831,1981.1,6,36100.0,1
1982,1.1193824743709164,1982.1,7,25000.0,5
1982,1.1193824743709164,1982.2,4,84200.0,5
1982,1.1193824743709164,1982.3,6,25000.0,5
1982,1.1193824743709164,1982.4,4,49400.0,5
1982,1.1193824743709164,1982.5,3,34800.0,5
1983,1.0229854478494256,1983.1,3,25400.0,9
1983,1.0229854478494256,1983.2,4,24100.0,9
1983,1.0229854478494256,1983.3,3,19800.0,9
1983,1.0229854478494256,1983.4,8,24900.0,9
1983,1.0229854478494256,1983.5,8,34400.0,9
1983,1.0229854478494256,1983.6,1,20700.0,9
1983,1.0229854478494256,1983.7,4,36200.0,9
1983,1.0229854478494256,1983.8,4,25600.0,9
1983,1.0229854478494256,1983.9,6,47200.0,9
1984,1.3596202182796733,1984.0,3,19600.0,1
1985,3.0796964541396656,1985.0,0,4110.0,0
1986,2.2982590533960026,1986.1,14,131000.0,2
1986,2.2982590533960026,1986.2,9,40900.0,2
1987,0.9068922419908826,1987.0,0,3500.0,0
1988,1.9203399896735716,1988.0,0,4550.0,0
1989,1.655965003300938,1989.1,3,24400.0,1
1990,1.0744361728620582,1990.0,0,7930.0,0
1991,1.359274706153717,1991.0,0,4440.0,0
1992,2.78235276383766,1992.0,0,4670.0,0
1993,2.0300858038458034,1993.0,0,16100.0,0
1994,1.1697183554081718,1994.0,0,4090.0,0
1995,1.2882439464557744,1995.1,2,26700.0,7
1995,1.2882439464557744,1995.2,2,28400.0,7
1995,1.2882439464557744,1995.3,1,17200.0,7
1995,1.2882439464557744,1995.4,8,41800.0,7
1995,1.2882439464557744,1995.5,6,22700.0,7
1995,1.2882439464557744,1995.6,16,22600.0,7
1995,1.2882439464557744,1995.7,5,32900.0,7
1996,2.1176045028090202,1996.1,5,27700.0,6
1996,2.1176045028090202,1996.2,6,22600.0,6
1996,2.1176045028090202,1996.3,5,43700.0,6
1996,2.1176045028090202,1996.4,3,24400.0,6
1996,2.1176045028090202,1996.5,4,27300.0,6
1996,2.1176045028090202,1996.6,4,32200.0,6
1997,2.0443533419573816,1997.0,14,106000.0,2
1997,2.0443533419573816,1997.1,10,32000.0,2
1998,1.203864938230336,1998.1,6,33700.0,1
1999,1.4364000111516853,1999.1,3,19600.0,3
1999,1.4364000111516853,1999.2,3,23900.0,3
1999,1.4364000111516853,1999.3,3,21800.0,3
2000,2.2176714153889723,2000.1,5,24100.0,1
2001,1.5421685636781917,2001.0,0,3110.0,0
2002,2.412065510592619,2002.0,0,4020.0,0
2003,1.2849912102112904,2003.0,0,7000.0,0
2004,0.4806746673854214,2004.0,0,7930.0,0
2005,3.318208202506263,2005.1,4,23900.0,2
2005,3.318208202506263,2005.2,7,36300.0,2
2006,1.0845983744401293,2006.0,11,36200.0,2
2006,1.0845983744401293,2006.1,16,34900.0,2
2007,1.3815463914579997,2007.0,0,4520.0,0
2008,2.853379195570462,2008.0,0,4400.0,0
2009,0.8432494700924137,2009.0,0,5510.0,0
2010,1.2143614478981455,2010.1,8,30900.0,1
2011,2.988802935954522,2011.1,14,26300.0,1
2012,1.6873574014034944,2012.0,0,9930.0,0
2013,0.2958922448050494,2013.0,0,4850.0,0
2014,0.9637157388780454,2014.0,0,2540.0,0
