Year,Signal,Cluster_ID,Duration,Intensity,Frequency
1940,1.712408617271969,1940.1,3,57500.0,3
1940,1.712408617271969,1940.2,1,47400.0,3
1940,1.712408617271969,1940.3,3,69600.0,3
1941,1.9369281657237514,1941.1,1,26900.0,1
1942,1.654220599013948,1942.1,4,54600.0,3
1942,1.654220599013948,1942.2,2,32600.0,3
1942,1.654220599013948,1942.3,1,29300.0,3
1943,0.03285391289515949,1943.1,4,73800.0,2
1943,0.03285391289515949,1943.2,3,73700.0,2
1944,2.3801257538996357,1944.0,0,12400.0,0
1945,1.934294508540997,1945.1,2,70900.0,3
1945,1.934294508540997,1945.2,1,32400.0,3
1945,1.934294508540997,1945.3,1,32200.0,3
1946,1.31069794055036,1946.0,0,13300.0,0
1947,2.06908509959034,1947.0,0,20100.0,0
1948,2.000313867452505,1948.0,0,17600.0,0
1949,1.512380918688119,1949.1,1,25500.0,1
1950,1.4319426910160515,1950.1,5,132000.0,3
1950,1.4319426910160515,1950.2,2,76400.0,3
1950,1.4319426910160515,1950.3,3,60300.0,3
1951,1.5004114344986426,1951.1,2,39500.0,1
1952,2.4639412627413906,1952.1,1,27700.0,3
1952,2.4639412627413906,1952.2,1,27500.0,3
1952,2.4639412627413906,1952.3,1,30500.0,3
1953,1.5869833880717654,1953.1,1,27600.0,1
1954,1.3170659513018568,1954.1,1,36500.0,1
1955,1.889232169049773,1955.1,7,69300.0,1
1956,1.040973189468896,1956.1,3,33500.0,2
1956,1.040973189468896,1956.2,1,25900.0,2
1957,2.5342760315672055,1957.1,1,28200.0,1
1958,1.488492867616484,1958.1,7,33000.0,1
1959,2.0121213107748717,1959.0,0,6260.0,0
1960,2.16340989076079,1960.0,0,5170.0,0
1961,0.698759959909153,1961.0,0,4540.0,0
1962,1.335517997994098,1962.0,0,7870.0,0
1963,2.1917350943607357,1963.1,5,74100.0,1
1964,2.4964005596302865,1964.1,7,115000.0,1
1965,0.8679836004317208,1965.1,5,35500.0,1
1966,2.199628537100211,1966.0,0,22600.0,0
1967,1.7688142530306725,1967.1,3,35900.0,2
1967,1.7688142530306725,1967.2,1,27200.0,2
1968,0.8375712941089969,1968.0,0,8230.0,0
1969,2.151795241632042,1969.1,9,67200.0,1
1970,2.2771288831282357,1970.1,4,52200.0,2
1970,2.2771288831282357,1970.2,5,50300.0,2
1971,1.2585062191602219,1971.0,0,8240.0,0
1972,1.6712464338566884,1972.0,0,5270.0,0
1973,2.2275448179756547,1973.1,3,31900.0,1
1974,1.5857915889797325,1974.1,4,26400.0,1
1975,1.1115207341070446,1975.0,0,8250.0,0
1976,1.1325948122430862,1976.0,0,3070.0,0
1977,1.601463458483669,1977.0,0,1300.0,0
1978,3.9341202894733187,1978.0,0,15200.0,0
1979,0.8389422676131768,1979.0,0,16000.0,0
1980,1.5372131634120563,1980.1,6,80200.0,2
1980,1.5372131634120563,1980.2,6,34500.0,2
1981,2.056089793913831,1981.1,5,36100.0,1
1982,1.1193824743709164,1982.1,2,25000.0,5
1982,1.1193824743709164,1982.2,4,84200.0,5
1982,1.1193824743709164,1982.3,4,25000.0,5
1982,1.1193824743709164,1982.4,3,49400.0,5
1982,1.1193824743709164,1982.5,3,34800.0,5
1983,1.0229854478494256,1983.1,1,25400.0,5
1983,1.0229854478494256,1983.2,5,34400.0,5
1983,1.0229854478494256,1983.3,3,36200.0,5
1983,1.0229854478494256,1983.4,3,25600.0,5
1983,1.0229854478494256,1983.5,5,47200.0,5
1984,1.3596202182796733,1984.0,0,19600.0,0
1985,3.0796964541396656,1985.0,0,4110.0,0
1986,2.2982590533960026,1986.1,9,131000.0,2
1986,2.2982590533960026,1986.2,6,40900.0,2
1987,0.9068922419908826,1987.0,0,3500.0,0
1988,1.9203399896735716,1988.0,0,4550.0,0
1989,1.655965003300938,1989.0,0,24400.0,0
1990,1.0744361728620582,1990.0,0,7930.0,0
1991,1.359274706153717,1991.0,0,4440.0,0
1992,2.78235276383766,1992.0,0,4670.0,0
1993,2.0300858038458034,1993.0,0,16100.0,0
1994,1.1697183554081718,1994.0,0,4090.0,0
1995,1.2882439464557744,1995.1,1,26700.0,4
1995,1.2882439464557744,1995.2,1,28400.0,4
1995,1.2882439464557744,1995.3,5,41800.0,4
1995,1.2882439464557744,1995.4,2,32900.0,4
1996,2.1176045028090202,1996.1,2,27700.0,4
1996,2.1176045028090202,1996.2,3,43700.0,4
1996,2.1176045028090202,1996.3,1,27300.0,4
1996,2.1176045028090202,1996.4,3,32200.0,4
1997,2.0443533419573816,1997.0,10,106000.0,2
1997,2.0443533419573816,1997.1,7,32000.0,2
1998,1.203864938230336,1998.1,2,33700.0,1
1999,1.4364000111516853,1999.0,0,23900.0,0
2000,2.2176714153889723,2000.0,0,24100.0,0
2001,1.5421685636781917,2001.0,0,3110.0,0
2002,2.412065510592619,2002.0,0,4020.0,0
2003,1.2849912102112904,2003.0,0,7000.0,0
2004,0.4806746673854214,2004.0,0,7930.0,0
2005,3.318208202506263,2005.1,6,36300.0,1
2006,1.0845983744401293,2006.0,6,36200.0,2
2006,1.0845983744401293,2006.1,5,34900.0,2
2007,1.3815463914579997,2007.0,0,4520.0,0
