sim,year,storm_index,unique_storm_id,signal,Frequency,Intensity,Duration,storm_day,daily_flow
0,1976,0,0_1976_0,1.6912566541249636,0.0,0.0,0,0,0
0,1977,1,0_1977_1,1.9815818071904499,2.0,44875.80785362208,2,1,44875.80785362208
0,1977,1,0_1977_1,1.9815818071904499,2.0,44875.80785362208,2,2,21899.90058865055
0,1978,1,0_1978_1,1.2163286045707755,1.0,33474.21826575385,2,1,31546.91478984681
0,1978,1,0_1978_1,1.2163286045707755,1.0,33474.21826575385,2,2,33474.21826575385
0,1979,1,0_1979_1,1.444937097628869,1.0,101163.42857323907,9,8,41212.429726848415
0,1979,1,0_1979_1,1.444937097628869,1.0,101163.42857323907,9,7,43871.72846423476
0,1979,1,0_1979_1,1.444937097628869,1.0,101163.42857323907,9,6,61941.205331615005
0,1979,1,0_1979_1,1.444937097628869,1.0,101163.42857323907,9,9,35099.311304975985
0,1979,1,0_1979_1,1.444937097628869,1.0,101163.42857323907,9,4,101418.85882921594
0,1979,1,0_1979_1,1.444937097628869,1.0,101163.42857323907,9,3,101121.43221681214
0,1979,1,0_1979_1,1.444937097628869,1.0,101163.42857323907,9,2,83172.43583318943
0,1979,1,0_1979_1,1.444937097628869,1.0,101163.42857323907,9,5,94125.972672492
0,1979,1,0_1979_1,1.444937097628869,1.0,101163.42857323907,9,1,35891.025093810036
0,1980,0,0_1980_0,1.9152269605208636,0.0,0.0,0,0,0
0,1981,0,0_1981_0,2.3104684062866285,0.0,0.0,0,0,0
0,1982,0,0_1982_0,1.6629880017626553,0.0,0.0,0,0,0
0,1983,1,0_1983_1,0.8646076931856082,1.0,71689.02581170926,3,1,60487.615528629685
0,1983,1,0_1983_1,0.8646076931856082,1.0,71689.02581170926,3,2,71689.02581170926
0,1983,1,0_1983_1,0.8646076931856082,1.0,71689.02581170926,3,3,64221.41895632288
0,1984,1,0_1984_1,1.5579909361141144,2.0,117248.12517532702,2,1,117248.12517532702
