sim,year,storm_index,unique_storm_id,signal,Frequency,Intensity,Duration,storm_day,daily_flow
0,2008,1,0_2008_1,1.6689681246092827,1.0,82808.68331304363,3,1,61797.52486048032
0,2008,1,0_2008_1,1.6689681246092827,1.0,82808.68331304363,3,2,82808.68331304363
0,2008,1,0_2008_1,1.6689681246092827,1.0,82808.68331304363,3,3,60149.59086420084
0,2009,1,0_2009_1,2.2374225542771717,1.0,40749.6341743331,9,9,9860.789338369155
0,2009,1,0_2009_1,2.2374225542771717,1.0,40749.6341743331,9,8,13811.32639191137
0,2009,1,0_2009_1,2.2374225542771717,1.0,40749.6341743331,9,7,14744.524121094573
0,2009,1,0_2009_1,2.2374225542771717,1.0,40749.6341743331,9,5,35461.513708961626
0,2009,1,0_2009_1,2.2374225542771717,1.0,40749.6341743331,9,6,25631.830961565247
0,2009,1,0_2009_1,2.2374225542771717,1.0,40749.6341743331,9,3,38572.17280623897
0,2009,1,0_2009_1,2.2374225542771717,1.0,40749.6341743331,9,2,24916.37936919146
0,2009,1,0_2009_1,2.2374225542771717,1.0,40749.6341743331,9,1,8305.459789730487
0,2009,1,0_2009_1,2.2374225542771717,1.0,40749.6341743331,9,4,40749.6341743331
0,2010,0,0_2010_0,1.5135165252940723,0.0,0.0,0,0,0
0,2011,1,0_2011_1,1.4063761851002199,1.0,83195.17697371179,4,1,83195.17697371179
0,2011,1,0_2011_1,1.4063761851002199,1.0,83195.17697371179,4,2,82880.04372759924
0,2011,1,0_2011_1,1.4063761851002199,1.0,83195.17697371179,4,3,81934.6439892616
0,2011,1,0_2011_1,1.4063761851002199,1.0,83195.17697371179,4,4,80674.11100481144
0,2012,0,0_2012_0,0.8267473443684996,0.0,0.0,0,0,0
0,2013,1,0_2013_1,2.986564268828941,2.0,21975.733754144916,1,1,21975.733754144916
0,2013,2,0_2013_2,2.986564268828941,2.0,12016.374634608304,1,1,12016.374634608304
0,2015,1,0_2015_1,1.4822388928363166,1.0,13601.51761903398,1,1,13601.51761903398
0,2017,0,0_2017_0,1.5911300833764912,0.0,0.0,0,0,0
0,2018,0,0_2018_0,1.08202359980019,0.0,0.0,0,0,0
0,2019,1,0_2019_1,2.5154338285367266,2.0,11427.610882315936,1,1,11427.610882315936
0,2020,1,0_2020_1,2.162528928015832,1.0,31728.373647206467,4,1,16852.066589175596
0,2020,1,0_2020_1,2.162528928015832,1.0,31728.373647206467,4,2,17258.840610293624
0,2020,1,0_2020_1,2.162528928015832,1.0,31728.373647206467,4,3,31728.373647206467
0,2020,1,0_2020_1,2.162528928015832,1.0,31728.373647206467,4,4,21210.359672583076
0,2021,0,0_2021_0,0.690919150392795,0.0,0.0,0,0,0
0,2022,1,0_2022_1,2.61148078497304,1.0,14758.38903430707,1,1,14758.38903430707
0,2023,0,0_2023_0,0.7863833262010849,0.0,0.0,0,0,0
0,2024,0,0_2024_0,1.2254364621582552,0.0,0.0,0,0,0
100,2008,1,100_2008_1,1.0220031790445683,1.0,17328.87414696904,1,1,17328.87414696904
100,2009,0,100_2009_0,2.056245909749107,0.0,0.0,0,0,0
100,2010,1,100_2010_1,2.9682940086936815,1.0,76268.12444527804,6,2,64666.24017804123
100,2010,1,100_2010_1,2.9682940086936815,1.0,76268.12444527804,6,3,76268.12444527804
100,2010,1,100_2010_1,2.9682940086936815,1.0,76268.12444527804,6,4,54490.817091202385
100,2010,1,100_2010_1,2.9682940086936815,1.0,76268.12444527804,6,5,39845.81563911658
100,2010,1,100_2010_1,2.9682940086936815,1.0,76268.12444527804,6,6,34235.06832955124
100,2010,1,100_2010_1,2.9682940086936815,1.0,76268.12444527804,6,1,47168.31636515949
100,2011,0,100_2011_0,1.1299406521662334,0.0,0.0,0,0,0
100,2012,1,100_2012_1,1.6388941750899306,1.0,34858.70059318823,3,3,34450.200195611804
100,2012,1,100_2012_1,1.6388941750899306,1.0,34858.70059318823,3,2,34858.70059318823
100,2012,1,100_2012_1,1.6388941750899306,1.0,34858.70059318823,3,1,34177.86659722752
100,2014,0,100_2014_0,0.9117524562216955,0.0,0.0,0,0,0
100,2015,1,100_2015_1,2.31494183572973,1.0,55361.32640456064,7,4,54242.91577012507
100,2015,1,100_2015_1,2.31494183572973,1.0,55361.32640456064,7,5,48251.43022850595
100,2015,1,100_2015_1,2.31494183572973,1.0,55361.32640456064,7,6,38025.961570809326
100,2015,1,100_2015_1,2.31494183572973,1.0,55361.32640456064,7,7,27960.265860889216
100,2015,1,100_2015_1,2.31494183572973,1.0,55361.32640456064,7,2,55361.32640456064
100,2015,1,100_2015_1,2.31494183572973,1.0,55361.32640456064,7,1,37786.30214914457
100,2015,1,100_2015_1,2.31494183572973,1.0,55361.32640456064,7,3,54722.2346134546
100,2016,1,100_2016_1,2.181333509524584,2.0,85150.10327018288,12,8,84915.5299829372
100,2016,1,100_2016_1,2.181333509524584,2.0,85150.10327018288,12,12,67322.53343951098
100,2016,1,100_2016_1,2.181333509524584,2.0,85150.10327018288,12,11,83742.66354670879
100,2016,1,100_2016_1,2.181333509524584,2.0,85150.10327018288,12,10,84211.81012120015
100,2016,1,100_2016_1,2.181333509524584,2.0,85150.10327018288,12,9,84446.38340844584
100,2016,1,100_2016_1,2.181333509524584,2.0,85150.10327018288,12,7,83273.51697221742
100,2016,1,100_2016_1,2.181333509524584,2.0,85150.10327018288,12,3,80927.7840997606
100,2016,1,100_2016_1,2.181333509524584,2.0,85150.10327018288,12,5,82804.37039772606
100,2016,1,100_2016_1,2.181333509524584,2.0,85150.10327018288,12,4,82804.37039772606
100,2016,1,100_2016_1,2.181333509524584,2.0,85150.10327018288,12,2,81396.93067425195
100,2016,1,100_2016_1,2.181333509524584,2.0,85150.10327018288,12,1,61927.34783286028
100,2016,1,100_2016_1,2.181333509524584,2.0,85150.10327018288,12,6,85150.10327018288
100,2016,2,100_2016_2,2.181333509524584,2.0,64534.589753200315,4,4,62578.99612431546
100,2016,2,100_2016_2,2.181333509524584,2.0,64534.589753200315,4,2,64290.140549589705
100,2016,2,100_2016_2,2.181333509524584,2.0,64534.589753200315,4,1,64534.589753200315
100,2016,2,100_2016_2,2.181333509524584,2.0,64534.589753200315,4,3,63556.792938757884
100,2017,1,100_2017_1,1.2274779690588695,1.0,76674.38723396184,1,1,76674.38723396184
100,2018,0,100_2018_0,2.2656301474956484,0.0,0.0,0,0,0
100,2019,1,100_2019_1,1.4198337199521047,1.0,5736.183433007717,1,1,5736.183433007717
100,2021,2,100_2021_2,2.373779797976574,2.0,29240.7094931658,3,1,28280.566793390204
100,2021,2,100_2021_2,2.373779797976574,2.0,29240.7094931658,3,2,29240.7094931658
100,2021,2,100_2021_2,2.373779797976574,2.0,29240.7094931658,3,3,29066.138093206602
100,2022,0,100_2022_0,1.789453254159719,0.0,0.0,0,0,0
100,2023,1,100_2023_1,0.9459511765389496,1.0,4266.168831818187,1,1,4266.168831818187
100,2024,1,100_2024_1,3.353075223605868,1.0,134909.69899625203,6,6,60557.969624252786
100,2024,1,100_2024_1,3.353075223605868,1.0,134909.69899625203,6,4,96388.10165193568
100,2024,1,100_2024_1,3.353075223605868,1.0,134909.69899625203,6,3,134909.69899625203
100,2024,1,100_2024_1,3.353075223605868,1.0,134909.69899625203,6,2,114387.27595692192
100,2024,1,100_2024_1,3.353075223605868,1.0,134909.69899625203,6,5,70482.74797933866
100,2024,1,100_2024_1,3.353075223605868,1.0,134909.69899625203,6,1,83435.42481563716
101,2008,0,101_2008_0,2.12305693011169,0.0,0.0,0,0,0
101,2009,1,101_2009_1,0.9194777959113637,2.0,65018.52292997971,3,1,65018.52292997971
101,2009,1,101_2009_1,0.9194777959113637,2.0,65018.52292997971,3,2,57171.459817740775
101,2009,1,101_2009_1,0.9194777959113637,2.0,65018.52292997971,3,3,27838.390564847632
101,2009,2,101_2009_2,0.9194777959113637,2.0,17056.372455184737,1,1,17056.372455184737
101,2010,0,101_2010_0,1.5965219358354599,0.0,0.0,0,0,0
101,2011,0,101_2011_0,2.641432288688661,0.0,0.0,0,0,0
101,2012,0,101_2012_0,2.112807030863765,0.0,0.0,0,0,0
101,2013,1,101_2013_1,1.1798796685437618,1.0,26347.237692982842,2,2,21302.02196453932
101,2013,1,101_2013_1,1.1798796685437618,1.0,26347.237692982842,2,1,26347.237692982842
101,2015,0,101_2015_0,1.3401832079074394,0.0,0.0,0,0,0
101,2016,1,101_2016_1,1.005512447055503,1.0,137949.9078592592,8,8,47862.620205082094
101,2016,1,101_2016_1,1.005512447055503,1.0,137949.9078592592,8,2,120011.383765371
101,2016,1,101_2016_1,1.005512447055503,1.0,137949.9078592592,8,6,62845.45954480186
101,2016,1,101_2016_1,1.005512447055503,1.0,137949.9078592592,8,5,104898.77409977757
101,2016,1,101_2016_1,1.005512447055503,1.0,137949.9078592592,8,4,137635.34166239336
101,2016,1,101_2016_1,1.005512447055503,1.0,137949.9078592592,8,3,138297.71159450075
101,2016,1,101_2016_1,1.005512447055503,1.0,137949.9078592592,8,7,56958.291161129324
101,2016,1,101_2016_1,1.005512447055503,1.0,137949.9078592592,8,1,48942.228179632824
101,2017,0,101_2017_0,2.332608379658668,0.0,0.0,0,0,0
101,2018,0,101_2018_0,2.6326230146052527,0.0,0.0,0,0,0
101,2019,1,101_2019_1,1.6364372744440425,1.0,23228.46470255694,1,1,23228.46470255694
101,2020,1,101_2020_1,0.18685881475891453,4.0,17360.546373522167,2,1,17360.546373522167
101,2020,1,101_2020_1,0.18685881475891453,4.0,17360.546373522167,2,2,13185.225093814306
101,2020,2,101_2020_2,0.18685881475891453,4.0,57604.95863708009,4,1,29973.31181116363
101,2020,2,101_2020_2,0.18685881475891453,4.0,57604.95863708009,4,2,57604.95863708009
101,2020,2,101_2020_2,0.18685881475891453,4.0,57604.95863708009,4,3,36451.91827034742
101,2020,2,101_2020_2,0.18685881475891453,4.0,57604.95863708009,4,4,21465.262364765615
101,2020,3,101_2020_3,0.18685881475891453,4.0,18920.334038040866,5,5,13661.673861278792
101,2020,3,101_2020_3,0.18685881475891453,4.0,18920.334038040866,5,1,18866.121046527856
101,2020,3,101_2020_3,0.18685881475891453,4.0,18920.334038040866,5,2,18920.334038040866
101,2020,3,101_2020_3,0.18685881475891453,4.0,18920.334038040866,5,3,17565.00925021559
101,2020,3,101_2020_3,0.18685881475891453,4.0,18920.334038040866,5,4,15016.998649104067
101,2020,4,101_2020_4,0.18685881475891453,4.0,57199.110609533825,6,4,57199.110609533825
101,2020,4,101_2020_4,0.18685881475891453,4.0,57199.110609533825,6,1,42443.39801750916
101,2020,4,101_2020_4,0.18685881475891453,4.0,57199.110609533825,6,2,55872.754421486665
101,2020,4,101_2020_4,0.18685881475891453,4.0,57199.110609533825,6,3,57199.110609533825
101,2020,4,101_2020_4,0.18685881475891453,4.0,57199.110609533825,6,6,41614.42539997968
101,2020,4,101_2020_4,0.18685881475891453,4.0,57199.110609533825,6,5,53717.425615910026
101,2021,0,101_2021_0,1.998586817626832,0.0,0.0,0,0,0
101,2022,2,101_2022_2,2.2702044207151912,2.0,140583.40998590714,5,4,140583.40998590714
101,2022,2,101_2022_2,2.2702044207151912,2.0,140583.40998590714,5,3,86799.6054079654
101,2022,2,101_2022_2,2.2702044207151912,2.0,140583.40998590714,5,2,116087.81582169606
101,2022,2,101_2022_2,2.2702044207151912,2.0,140583.40998590714,5,1,49630.20382835813
101,2022,2,101_2022_2,2.2702044207151912,2.0,140583.40998590714,5,5,37914.91966286587
101,2023,1,101_2023_1,1.8937680626702775,1.0,58178.83243907493,6,1,35980.92380271966
101,2023,1,101_2023_1,1.8937680626702775,1.0,58178.83243907493,6,2,49328.685858567274
101,2023,1,101_2023_1,1.8937680626702775,1.0,58178.83243907493,6,4,41566.67205435154
101,2023,1,101_2023_1,1.8937680626702775,1.0,58178.83243907493,6,5,30395.17555108778
101,2023,1,101_2023_1,1.8937680626702775,1.0,58178.83243907493,6,6,26115.186631006207
101,2023,1,101_2023_1,1.8937680626702775,1.0,58178.83243907493,6,3,58178.83243907493
101,2024,1,101_2024_1,0.9422572713107126,2.0,76898.87745524851,3,2,76898.87745524851
101,2024,1,101_2024_1,0.9422572713107126,2.0,76898.87745524851,3,3,67497.4472961429
101,2024,1,101_2024_1,0.9422572713107126,2.0,76898.87745524851,3,1,74247.19202575719
101,2024,2,101_2024_2,0.9422572713107126,2.0,34937.837426474216,2,1,34937.837426474216
101,2024,2,101_2024_2,0.9422572713107126,2.0,34937.837426474216,2,2,28247.61323842596
102,2008,0,102_2008_0,2.671220972067482,0.0,0.0,0,0,0
102,2009,1,102_2009_1,0.8900746326082397,1.0,5528.018673131811,1,1,5528.018673131811
102,2010,1,102_2010_1,0.08158485146646921,1.0,44279.14994870876,4,1,44279.14994870876
102,2010,1,102_2010_1,0.08158485146646921,1.0,44279.14994870876,4,2,44279.14994870876
102,2010,1,102_2010_1,0.08158485146646921,1.0,44279.14994870876,4,3,44279.14994870876
102,2010,1,102_2010_1,0.08158485146646921,1.0,44279.14994870876,4,4,44279.14994870876
102,2011,1,102_2011_1,3.4421782232469598,1.0,15771.791322203924,1,1,15771.791322203924
102,2012,1,102_2012_1,2.3604016064731805,1.0,39246.19137992347,4,4,38056.91285325912
102,2012,1,102_2012_1,2.3604016064731805,1.0,39246.19137992347,4,3,38651.552116591294
102,2012,1,102_2012_1,2.3604016064731805,1.0,39246.19137992347,4,2,39097.53156409042
102,2012,1,102_2012_1,2.3604016064731805,1.0,39246.19137992347,4,1,39246.19137992347
102,2013,1,102_2013_1,1.203995241468938,2.0,41658.25755011137,2,2,20329.69973531528
102,2013,1,102_2013_1,1.203995241468938,2.0,41658.25755011137,2,1,41658.25755011137
102,2013,2,102_2013_2,1.203995241468938,2.0,39950.51073548262,8,1,27267.808914694488
102,2013,2,102_2013_2,1.203995241468938,2.0,39950.51073548262,8,2,38955.2732741548
102,2013,2,102_2013_2,1.203995241468938,2.0,39950.51073548262,8,3,40136.65030964804
102,2013,2,102_2013_2,1.203995241468938,2.0,39950.51073548262,8,4,39315.98778632722
102,2013,2,102_2013_2,1.203995241468938,2.0,39950.51073548262,8,5,37919.814926198844
102,2013,2,102_2013_2,1.203995241468938,2.0,39950.51073548262,8,6,32848.88681042734
102,2013,2,102_2013_2,1.203995241468938,2.0,39950.51073548262,8,7,26367.532048764835
102,2013,2,102_2013_2,1.203995241468938,2.0,39950.51073548262,8,8,20177.02562398112
102,2014,0,102_2014_0,1.3983615642171665,0.0,0.0,0,0,0
102,2015,0,102_2015_0,1.7339147541402737,0.0,0.0,0,0,0
102,2016,1,102_2016_1,1.5573380578523932,1.0,26547.0276381289,3,3,22849.670028361645
102,2016,1,102_2016_1,1.5573380578523932,1.0,26547.0276381289,3,2,26547.0276381289
102,2016,1,102_2016_1,1.5573380578523932,1.0,26547.0276381289,3,1,22849.670028361645
102,2017,0,102_2017_0,2.2144892636413003,0.0,0.0,0,0,0
102,2018,1,102_2018_1,1.7289227701568246,2.0,60197.44631527678,3,1,60197.44631527678
102,2018,1,102_2018_1,1.7289227701568246,2.0,60197.44631527678,3,2,55323.15916424222
102,2018,1,102_2018_1,1.7289227701568246,2.0,60197.44631527678,3,3,30586.151872741844
102,2019,1,102_2019_1,0.793083526807272,1.0,88847.37217451389,4,1,60252.81561260137
102,2019,1,102_2019_1,0.793083526807272,1.0,88847.37217451389,4,2,88847.37217451389
102,2019,1,102_2019_1,0.793083526807272,1.0,88847.37217451389,4,3,76932.97360705034
102,2019,1,102_2019_1,0.793083526807272,1.0,88847.37217451389,4,4,48168.21135131692
102,2020,1,102_2020_1,3.3632814992340467,2.0,79769.02630785368,5,1,62609.4101834898
102,2020,1,102_2020_1,3.3632814992340467,2.0,79769.02630785368,5,4,78609.5927859372
102,2020,1,102_2020_1,3.3632814992340467,2.0,79769.02630785368,5,3,79073.36619470379
102,2020,1,102_2020_1,3.3632814992340467,2.0,79769.02630785368,5,2,79769.02630785368
102,2020,1,102_2020_1,3.3632814992340467,2.0,79769.02630785368,5,5,72348.65176758822
102,2020,2,102_2020_2,3.3632814992340467,2.0,61892.58967344562,7,7,21474.037634525914
102,2020,2,102_2020_2,3.3632814992340467,2.0,61892.58967344562,7,2,57048.82178595857
102,2020,2,102_2020_2,3.3632814992340467,2.0,61892.58967344562,7,5,32076.507343803125
102,2020,2,102_2020_2,3.3632814992340467,2.0,61892.58967344562,7,4,57587.018217901576
102,2020,2,102_2020_2,3.3632814992340467,2.0,61892.58967344562,7,3,61892.58967344562
102,2020,2,102_2020_2,3.3632814992340467,2.0,61892.58967344562,7,1,21958.41442327462
102,2020,2,102_2020_2,3.3632814992340467,2.0,61892.58967344562,7,6,25887.24837645856
