Year,Signal,Cluster_ID,Duration,Intensity,Frequency
1940,1.712408617271969,1940.1,3,57500.0,3
1940,1.712408617271969,1940.2,1,47400.0,3
1940,1.712408617271969,1940.3,2,69600.0,3
1941,1.9369281657237514,1941.0,0,26900.0,0
1942,1.654220599013948,1942.1,2,54600.0,2
1942,1.654220599013948,1942.2,1,32600.0,2
1943,0.03285391289515949,1943.1,3,73800.0,2
1943,0.03285391289515949,1943.2,3,73700.0,2
1944,2.3801257538996357,1944.0,0,12400.0,0
1945,1.934294508540997,1945.1,2,70900.0,3
1945,1.934294508540997,1945.2,1,32400.0,3
1945,1.934294508540997,1945.3,1,32200.0,3
1946,1.31069794055036,1946.0,0,13300.0,0
1947,2.06908509959034,1947.0,0,20100.0,0
1948,2.000313867452505,1948.0,0,17600.0,0
1949,1.512380918688119,1949.0,0,25500.0,0
1950,1.4319426910160515,1950.1,5,132000.0,3
1950,1.4319426910160515,1950.2,2,76400.0,3
1950,1.4319426910160515,1950.3,3,60300.0,3
1951,1.5004114344986426,1951.1,1,39500.0,1
1952,2.4639412627413906,1952.0,0,30500.0,0
1953,1.5869833880717654,1953.0,0,27600.0,0
1954,1.3170659513018568,1954.1,1,36500.0,1
1955,1.889232169049773,1955.1,7,69300.0,1
1956,1.040973189468896,1956.1,3,33500.0,1
1957,2.5342760315672055,1957.0,0,28200.0,0
1958,1.488492867616484,1958.1,1,33000.0,1
1959,2.0121213107748717,1959.0,0,6260.0,0
1960,2.16340989076079,1960.0,0,5170.0,0
1961,0.698759959909153,1961.0,0,4540.0,0
1962,1.335517997994098,1962.0,0,7870.0,0
1963,2.1917350943607357,1963.1,5,74100.0,1
1964,2.4964005596302865,1964.1,7,115000.0,1
1965,0.8679836004317208,1965.1,3,35500.0,1
1966,2.199628537100211,1966.0,0,22600.0,0
1967,1.7688142530306725,1967.1,1,35900.0,1
1968,0.8375712941089969,1968.0,0,8230.0,0
1969,2.151795241632042,1969.1,3,67200.0,2
1969,2.151795241632042,1969.2,3,39900.0,2
