time,latent,alpha,beta,lambda
1940-01-16 00:00:00,0.091128826,1.2630585,10.3657875,0.12184878
1940-02-15 00:00:00,0.29850766,1.2264398,10.605201,0.11564513
1940-03-16 00:00:00,0.39703977,1.352517,9.786565,0.1382014
1940-04-15 12:00:00,0.22773768,1.6986375,4.360603,0.3895419
1940-05-16 00:00:00,0.17085394,1.7673783,3.0770264,0.57437867
1940-06-15 12:00:00,0.48092893,1.7893759,2.6959784,0.6637204
1940-07-16 00:00:00,0.55024546,1.9300343,1.8486599,1.044018
1940-08-16 00:00:00,0.67977536,1.9397867,1.8212379,1.0650924
1940-09-15 12:00:00,0.32798323,1.7397333,2.6440322,0.6579849
1940-10-16 00:00:00,0.09417944,1.6829288,5.570378,0.30212113
1940-11-15 12:00:00,0.18907094,1.7065997,4.159028,0.4103362
1940-12-16 00:00:00,0.022185069,1.2421802,10.503625,0.11826205
1941-01-16 00:00:00,0.06326857,1.3116648,10.061884,0.13035977
1941-02-14 12:00:00,0.16814506,1.2450984,10.492791,0.11866226
1941-03-16 00:00:00,0.100953154,1.4614984,9.09821,0.16063581
1941-04-15 12:00:00,0.047261197,1.5348837,8.438272,0.1818955
1941-05-16 00:00:00,0.16469899,1.6713992,5.975945,0.27968785
1941-06-15 12:00:00,0.8297971,1.7686542,2.5871644,0.68362653
1941-07-16 00:00:00,0.40100342,1.8951883,1.9187438,0.98772347
1941-08-16 00:00:00,3.096497,1.8184121,2.394715,0.7593438
1941-09-15 12:00:00,1.1430756,1.9077107,1.9623516,0.9721554
1941-10-16 00:00:00,0.45234537,1.741509,3.3180974,0.5248517
1941-11-15 12:00:00,0.11349898,1.6718631,6.256922,0.26720217
1941-12-16 00:00:00,0.35350326,1.2555385,10.403337,0.120686136
1942-01-16 00:00:00,0.0735282,1.3534873,9.780022,0.13839307
1942-02-14 12:00:00,0.22429611,1.4216763,9.341382,0.15219122
1942-03-16 00:00:00,0.5731464,1.6713691,6.2031035,0.26944077
1942-04-15 12:00:00,0.043617073,1.504627,8.714723,0.17265345
1942-05-16 00:00:00,0.12304743,1.6686009,6.024658,0.27696192
1942-06-15 12:00:00,0.77338374,1.8680792,2.0147698,0.9271924
1942-07-16 00:00:00,1.0340037,1.9510049,1.8070054,1.0796895
1942-08-16 00:00:00,0.7496571,1.9538045,1.8412344,1.0611384
1942-09-15 12:00:00,1.0591025,1.9438778,1.7828876,1.0902975
1942-10-16 00:00:00,0.36000267,1.817246,2.5977633,0.6995425
1942-11-15 12:00:00,0.016569832,1.3551799,9.740726,0.13912514
1942-12-16 00:00:00,0.7971255,1.6779882,5.4130836,0.3099875
1943-01-16 00:00:00,0.2370441,1.2740728,10.281762,0.1239158
1943-02-14 12:00:00,0.1495835,1.6559287,6.525521,0.25376192
1943-03-16 00:00:00,0.27947837,1.4756565,8.863893,0.16647951
1943-04-15 12:00:00,0.15107371,1.6829349,5.6922364,0.29565442
1943-05-16 00:00:00,0.25738308,1.8932468,1.9657569,0.96311337
1943-06-15 12:00:00,0.1740393,1.8123833,2.4228067,0.7480511
1943-07-16 00:00:00,2.6397982,1.9272801,1.9441961,0.9912992
1943-08-16 00:00:00,3.1400223,1.9466358,1.7818681,1.0924691
1943-09-15 12:00:00,0.83440053,1.9454508,1.7929716,1.0850427
1943-10-16 00:00:00,0.4938268,1.7085618,4.51544,0.37838212
1943-11-15 12:00:00,0.7614035,1.7544917,2.943697,0.5960164
1943-12-16 00:00:00,0.2218044,1.64198,7.2058945,0.22786623
1944-01-16 00:00:00,0.07304684,1.5922433,7.7791524,0.20468083
1944-02-15 00:00:00,0.12396679,1.3455509,9.838116,0.13676916
1944-03-16 00:00:00,0.07703498,1.6508244,6.575685,0.25104982
1944-04-15 12:00:00,0.17674541,1.6553032,6.4030128,0.25851944
1944-05-16 00:00:00,0.106438205,1.733377,3.6398685,0.47621968
1944-06-15 12:00:00,1.2937903,1.7912997,2.652715,0.6752703
1944-07-16 00:00:00,0.46337268,1.9461793,1.8150737,1.0722315
1944-08-16 00:00:00,1.2229286,1.9462178,1.7793183,1.0937997
1944-09-15 12:00:00,0.8046108,1.9264952,1.8153639,1.0612171
1944-10-16 00:00:00,0.2809931,1.7139186,4.721469,0.36300537
1944-11-15 12:00:00,0.13527936,1.4367199,9.218428,0.15585303
1944-12-16 00:00:00,0.18145752,1.6147844,7.543511,0.2140627
1945-01-16 00:00:00,0.39428684,1.7536886,3.4205885,0.5126862
1945-02-14 12:00:00,0.16198009,1.4332145,9.178271,0.156153
1945-03-16 00:00:00,0.025058853,1.4102806,9.386031,0.15025313
1945-04-15 12:00:00,0.46686006,1.7040821,3.5613058,0.47849926
1945-05-16 00:00:00,0.12433502,1.6689627,4.7187862,0.35368475
1945-06-15 12:00:00,1.2008632,1.8269886,2.186734,0.83548737
1945-07-16 00:00:00,0.9271021,1.9527814,1.7965921,1.0869365
1945-08-16 00:00:00,0.9604626,1.9391797,1.8390487,1.0544472
1945-09-15 12:00:00,0.6520566,1.9314569,1.824511,1.0586162
1945-10-16 00:00:00,0.13739108,1.6137223,7.4649105,0.21617436
1945-11-15 12:00:00,0.8249569,1.5894845,7.7882085,0.20408858
1945-12-16 00:00:00,0.3090673,1.30845,10.06036,0.13005996
1946-01-16 00:00:00,0.121965885,1.6778296,5.8121347,0.288677
1946-02-14 12:00:00,0.23421256,1.6863258,5.944736,0.28366706
1946-03-16 00:00:00,0.0088963825,1.5018423,8.6406555,0.17381115
1946-04-15 12:00:00,0.15070651,1.8011751,2.8123424,0.6404537
1946-05-16 00:00:00,0.44454214,1.7806057,3.0252128,0.5885886
1946-06-15 12:00:00,2.0520852,1.9456857,1.7836318,1.0908562
1946-07-16 00:00:00,2.1737044,1.9212583,1.935263,0.9927634
1946-08-16 00:00:00,1.7800479,1.9459186,1.7985965,1.0819094
1946-09-15 12:00:00,1.9357809,1.9299732,1.8584824,1.0384673
1946-10-16 00:00:00,0.4633286,1.6942835,4.2435427,0.39926156
1946-11-15 12:00:00,0.043760207,1.3996474,9.448965,0.14812705
1946-12-16 00:00:00,0.17063792,1.620966,7.424663,0.21832182
1947-01-16 00:00:00,0.33113614,1.706052,4.744905,0.3595545
1947-02-14 12:00:00,0.03447691,1.6083429,7.6520195,0.21018541
1947-03-16 00:00:00,0.34344268,1.5328106,8.385683,0.182789
1947-04-15 12:00:00,0.4891478,1.7129713,4.2563944,0.40244657
1947-05-16 00:00:00,0.15767546,1.7464045,3.3924813,0.5147868
1947-06-15 12:00:00,0.6861064,1.6840513,4.4124866,0.38165584
1947-07-16 00:00:00,0.256829,1.9485352,1.7873157,1.090202
1947-08-16 00:00:00,0.12837857,1.9006075,2.0520725,0.92618924
1947-09-15 12:00:00,0.99634904,1.90991,1.9321829,0.98847264
1947-10-16 00:00:00,0.14729276,1.6142699,7.397888,0.21820685
1947-11-15 12:00:00,0.32988,1.6937158,4.2917376,0.39464572
1947-12-16 00:00:00,0.68979037,1.6818082,5.711149,0.2944781
1948-01-16 00:00:00,0.2275258,1.6433785,6.553313,0.25077066
1948-02-15 00:00:00,0.30864456,1.6594945,6.576134,0.25235108
1948-03-16 00:00:00,0.10339684,1.3394051,9.872566,0.1356694
1948-04-15 12:00:00,0.09279164,1.283114,10.231149,0.12541251
1948-05-16 00:00:00,0.27278185,1.6451058,6.349024,0.2591116
1948-06-15 12:00:00,0.54707813,1.7218354,3.2613044,0.5279591
1948-07-16 00:00:00,1.7688816,1.9378333,1.8479006,1.0486674
1948-08-16 00:00:00,1.3518609,1.9471089,1.7953727,1.0845151
1948-09-15 12:00:00,0.28541315,1.8993052,2.0513754,0.92586917
1948-10-16 00:00:00,0.41354337,1.7550387,3.4962626,0.50197566
1948-11-15 12:00:00,0.21704853,1.6698952,5.228388,0.31939006
1948-12-16 00:00:00,0.102493994,1.3531871,9.785725,0.13828175
1949-01-16 00:00:00,0.3542913,1.6605716,6.4604526,0.25703642
1949-02-14 12:00:00,0.086083986,1.5514746,8.21515,0.18885529
1949-03-16 00:00:00,0.11578881,1.2626143,10.363971,0.12182727
1949-04-15 12:00:00,0.06948332,1.714332,3.5646043,0.4809319
1949-05-16 00:00:00,0.074734144,1.64723,5.453506,0.30204973
1949-06-15 12:00:00,0.19256915,1.9346898,1.7993202,1.0752337
1949-07-16 00:00:00,0.284496,1.9500129,1.8211087,1.0707834
1949-08-16 00:00:00,1.6976764,1.9450008,1.8571937,1.0472795
1949-09-15 12:00:00,1.4628386,1.9114256,1.9142632,0.99851763
1949-10-16 00:00:00,0.742899,1.8457428,2.3137097,0.7977417
1949-11-15 12:00:00,0.318253,1.6579218,6.4997993,0.25507277
1949-12-16 00:00:00,0.24464464,1.6346514,7.225076,0.22624695
