time,latent,alpha,beta,lambda
1940-01-16 00:00:00,0.07174271,1.3049606,10.478042,0.124542415
1940-02-15 00:00:00,0.033387784,1.2800906,10.644797,0.120255046
1940-03-16 00:00:00,0.023070462,1.3705028,10.055313,0.13629639
1940-04-15 12:00:00,0.6373416,1.8317692,4.4676185,0.41001022
1940-05-16 00:00:00,0.45993468,1.8983917,3.2761846,0.57945204
1940-06-15 12:00:00,3.5432386,1.9468573,2.7504115,0.7078422
1940-07-16 00:00:00,1.7795026,2.0417807,1.9215418,1.0625741
1940-08-16 00:00:00,0.46736985,2.0341134,1.8755639,1.0845343
1940-09-15 12:00:00,1.3259052,1.91796,2.8698316,0.668318
1940-10-16 00:00:00,0.50517154,1.8027796,5.663022,0.31834233
1940-11-15 12:00:00,0.63318527,1.8301997,4.3729353,0.41852888
1940-12-16 00:00:00,0.031474248,1.2873336,10.594945,0.12150451
1941-01-16 00:00:00,0.2661777,1.327368,10.329507,0.12850255
1941-02-14 12:00:00,0.08762547,1.2885762,10.586785,0.12171554
1941-03-16 00:00:00,0.076991744,1.4577017,9.50636,0.15333962
1941-04-15 12:00:00,0.03998625,1.5860689,8.618662,0.18402727
1941-05-16 00:00:00,0.29265028,1.7925721,6.016125,0.29796124
1941-06-15 12:00:00,0.3676331,1.9469535,2.636642,0.7384217
1941-07-16 00:00:00,0.674291,2.0446823,1.9889497,1.0280211
1941-08-16 00:00:00,0.7922532,2.0072658,2.3478184,0.85494936
1941-09-15 12:00:00,0.74364644,2.01698,2.0215685,0.9977302
1941-10-16 00:00:00,0.6809769,1.8773096,3.5342872,0.5311706
1941-11-15 12:00:00,1.1598846,1.7808478,6.3732753,0.27942428
1941-12-16 00:00:00,0.28284398,1.299098,10.516255,0.12353238
1942-01-16 00:00:00,0.14415441,1.3611512,10.110679,0.1346251
1942-02-14 12:00:00,0.068301894,1.4159373,9.765916,0.14498766
1942-03-16 00:00:00,0.09110902,1.780944,6.3701944,0.2795745
1942-04-15 12:00:00,0.07705933,1.5115476,9.136941,0.16543256
1942-05-16 00:00:00,0.2767973,1.7879901,6.148131,0.29081848
1942-06-15 12:00:00,0.78691524,2.013986,2.0936286,0.96195954
1942-07-16 00:00:00,2.9881074,2.0343409,1.8774308,1.083577
1942-08-16 00:00:00,1.2662746,2.0354743,1.9479553,1.0449287
1942-09-15 12:00:00,0.060940187,2.0136218,1.8140222,1.1100315
1942-10-16 00:00:00,2.392322,1.953469,2.863228,0.68226105
1942-11-15 12:00:00,0.19444226,1.3838288,9.958579,0.13895845
1942-12-16 00:00:00,0.1754226,1.7974347,5.612728,0.3202426
1943-01-16 00:00:00,0.10317882,1.3178371,10.389032,0.12684888
1943-02-14 12:00:00,0.08245359,1.7698634,6.6021004,0.2680758
1943-03-16 00:00:00,0.269311,1.5490721,8.898092,0.17409037
1943-04-15 12:00:00,0.20945515,1.8007922,5.7614307,0.3125599
1943-05-16 00:00:00,0.5064454,2.020033,2.0510423,0.98488116
1943-06-15 12:00:00,0.61201584,1.9747745,2.4985585,0.7903655
1943-07-16 00:00:00,2.634607,2.0530148,1.9419141,1.057212
1943-08-16 00:00:00,0.43587977,2.013363,1.8374268,1.0957514
1943-09-15 12:00:00,2.0704317,2.0189137,1.8100424,1.1153958
1943-10-16 00:00:00,0.5410968,1.8246582,4.7894325,0.38097584
1943-11-15 12:00:00,1.4310769,1.8947128,3.1360505,0.60417163
1943-12-16 00:00:00,0.075169176,1.724756,7.386538,0.23349991
