time,latent,alpha,beta,lambda
1850-01-16 12:00:00,0.43103346,1.0003829,2.0312614,0.49249342
1850-02-15 00:00:00,0.4974107,1.0183088,2.0626209,0.4936965
1850-03-16 12:00:00,0.17628616,1.0157771,2.0634036,0.49228233
1850-04-16 00:00:00,0.17878966,1.0165195,2.0658708,0.4920538
1850-05-16 12:00:00,0.11359738,1.0192946,2.0677228,0.49295515
1850-06-16 00:00:00,1.050113,1.0212585,2.0721173,0.49285746
1850-07-16 12:00:00,1.2231218,1.0222147,2.0731957,0.49306232
1850-08-16 12:00:00,0.26569638,1.0123286,2.044737,0.49508986
1850-09-16 00:00:00,0.62120664,0.98259586,1.9734272,0.49791342
1850-10-16 12:00:00,0.030292189,0.9601037,1.9140055,0.5016201
1850-11-16 00:00:00,0.030157665,0.97771984,1.954038,0.50035864
1850-12-16 12:00:00,0.72878385,0.9759646,1.9601876,0.49789348
1851-01-16 12:00:00,0.10868028,0.98762506,1.9875686,0.49690112
1851-02-15 00:00:00,0.40566927,1.0001075,2.0156264,0.49617702
1851-03-16 12:00:00,0.23024468,1.0075688,2.0454385,0.49259308
1851-04-16 00:00:00,1.8593148,1.0051497,2.041747,0.49229884
1851-05-16 12:00:00,0.43869022,1.0186416,2.0644479,0.49342084
1851-06-16 00:00:00,0.7892878,1.0215303,2.0725167,0.49289364
1851-07-16 12:00:00,0.16999377,1.0208427,2.0680873,0.49361682
1851-08-16 12:00:00,2.4712195,1.0193408,2.0598881,0.49485248
1851-09-16 00:00:00,1.3980526,1.0199486,2.0648315,0.49396214
1851-10-16 12:00:00,0.007391779,1.0230147,2.0807297,0.4916615
1851-11-16 00:00:00,0.500015,1.0157704,2.058206,0.49352223
1851-12-16 12:00:00,0.058996487,1.0112348,2.0578237,0.49140984
1852-01-16 12:00:00,0.55049133,1.0143073,2.0630631,0.4916511
1852-02-15 00:00:00,0.09889701,1.0166229,2.0685527,0.49146578
1852-03-16 12:00:00,1.6787075,1.0107516,2.058846,0.49093112
1852-04-16 00:00:00,1.7288105,1.0222083,2.0734181,0.49300635
1852-05-16 12:00:00,1.8945975,1.0152209,2.064917,0.49165213
1852-06-16 00:00:00,0.12281113,1.0188648,2.0654547,0.49328834
1852-07-16 12:00:00,0.37106484,1.0193563,2.0685136,0.49279648
1852-08-16 12:00:00,0.4191025,1.0131627,2.0460088,0.49518982
1852-09-16 00:00:00,1.2016954,1.0073195,2.0348759,0.49502748
1852-10-16 12:00:00,0.42911392,1.0022781,2.025329,0.4948717
1852-11-16 00:00:00,0.1446666,1.0057038,2.0316997,0.49500614
1852-12-16 12:00:00,0.5153967,0.9917356,2.0000591,0.49585313
1853-01-16 12:00:00,0.37417597,0.9945313,2.0118914,0.49432653
1853-02-15 00:00:00,0.29775482,0.99790704,2.015503,0.49511564
