sim,year,storm_index,unique_storm_id,signal,Frequency,Intensity,Duration,storm_day,daily_flow
0,2025,1,0_2025_1,108.39670586822686,2.0,43066.626192720454,11,1,31321.182685614876
0,2025,1,0_2025_1,108.39670586822686,2.0,43066.626192720454,11,2,41509.54558761487
0,2025,1,0_2025_1,108.39670586822686,2.0,43066.626192720454,11,3,40917.5649076312
0,2025,1,0_2025_1,108.39670586822686,2.0,43066.626192720454,11,4,41941.40578123845
0,2025,1,0_2025_1,108.39670586822686,2.0,43066.626192720454,11,5,42390.50867738627
0,2025,1,0_2025_1,108.39670586822686,2.0,43066.626192720454,11,6,42636.01331317481
0,2025,1,0_2025_1,108.39670586822686,2.0,43066.626192720454,11,7,42531.090804735206
0,2025,1,0_2025_1,108.39670586822686,2.0,43066.626192720454,11,8,42902.251585076236
0,2025,1,0_2025_1,108.39670586822686,2.0,43066.626192720454,11,9,42467.47226501038
0,2025,1,0_2025_1,108.39670586822686,2.0,43066.626192720454,11,10,42695.254228698934
0,2025,1,0_2025_1,108.39670586822686,2.0,43066.626192720454,11,11,34049.92208625557
0,2025,2,0_2025_2,108.39670586822686,2.0,155275.41232582703,9,9,77406.64156123818
0,2025,2,0_2025_2,108.39670586822686,2.0,155275.41232582703,9,8,90346.2592550571
0,2025,2,0_2025_2,108.39670586822686,2.0,155275.41232582703,9,7,92194.7760684598
0,2025,2,0_2025_2,108.39670586822686,2.0,155275.41232582703,9,6,66315.54068082196
0,2025,2,0_2025_2,108.39670586822686,2.0,155275.41232582703,9,1,65853.41147747128
0,2025,2,0_2025_2,108.39670586822686,2.0,155275.41232582703,9,4,139100.89020855338
0,2025,2,0_2025_2,108.39670586822686,2.0,155275.41232582703,9,3,155275.41232582703
0,2025,2,0_2025_2,108.39670586822686,2.0,155275.41232582703,9,2,131013.62914991655
0,2025,2,0_2025_2,108.39670586822686,2.0,155275.41232582703,9,5,60307.861037263174
0,2026,1,0_2026_1,149.0437913207469,1.0,41011.70749563749,3,2,41011.70749563749
0,2026,1,0_2026_1,149.0437913207469,1.0,41011.70749563749,3,1,24484.60148993283
0,2026,1,0_2026_1,149.0437913207469,1.0,41011.70749563749,3,3,21312.732660555168
0,2027,0,0_2027_0,255.10150339826737,0.0,0.0,0,0,0
0,2028,0,0_2028_0,91.2674708759971,0.0,0.0,0,0,0
0,2030,1,0_2030_1,278.38752533329216,1.0,19328.553068256224,5,1,16646.600728641726
0,2030,1,0_2030_1,278.38752533329216,1.0,19328.553068256224,5,5,11606.379952469646
0,2030,1,0_2030_1,278.38752533329216,1.0,19328.553068256224,5,2,16600.360171062162
0,2030,1,0_2030_1,278.38752533329216,1.0,19328.553068256224,5,3,19328.553068256224
0,2030,1,0_2030_1,278.38752533329216,1.0,19328.553068256224,5,4,18218.779686346777
0,2031,1,0_2031_1,48.70444447462677,2.0,2729.638649396685,1,1,2729.638649396685
0,2031,2,0_2031_2,48.70444447462677,2.0,80952.5210537546,5,1,80952.5210537546
0,2031,2,0_2031_2,48.70444447462677,2.0,80952.5210537546,5,2,80029.10826606918
0,2031,2,0_2031_2,48.70444447462677,2.0,80952.5210537546,5,3,78490.08695326015
0,2031,2,0_2031_2,48.70444447462677,2.0,80952.5210537546,5,4,76335.45711532752
0,2031,2,0_2031_2,48.70444447462677,2.0,80952.5210537546,5,5,76643.26137788933
0,2032,0,0_2032_0,131.69354020972028,0.0,0.0,0,0,0
0,2033,2,0_2033_2,273.1398835539487,3.0,48426.33079759514,6,6,39481.33975854891
0,2033,2,0_2033_2,273.1398835539487,3.0,48426.33079759514,6,5,48426.33079759514
0,2033,2,0_2033_2,273.1398835539487,3.0,48426.33079759514,6,2,48426.33079759514
0,2033,2,0_2033_2,273.1398835539487,3.0,48426.33079759514,6,1,38864.44382482158
0,2033,2,0_2033_2,273.1398835539487,3.0,48426.33079759514,6,4,48117.882830731476
0,2033,2,0_2033_2,273.1398835539487,3.0,48426.33079759514,6,3,47809.43486386781
0,2033,3,0_2033_3,273.1398835539487,3.0,25195.295865370925,3,1,24181.69200871807
0,2033,3,0_2033_3,273.1398835539487,3.0,25195.295865370925,3,2,25195.295865370925
0,2033,3,0_2033_3,273.1398835539487,3.0,25195.295865370925,3,3,19620.47465378023
0,2034,0,0_2034_0,67.64459486609982,0.0,0.0,0,0,0
0,2035,0,0_2035_0,203.85831026812266,0.0,0.0,0,0,0
0,2036,0,0_2036_0,211.26633459440478,0.0,0.0,0,0,0
0,2037,1,0_2037_1,143.8287644037198,3.0,41096.72449612625,2,2,31583.593825726653
0,2037,1,0_2037_1,143.8287644037198,3.0,41096.72449612625,2,1,41096.72449612625
0,2037,2,0_2037_2,143.8287644037198,3.0,38362.71421411159,4,1,34125.502311602824
0,2037,2,0_2037_2,143.8287644037198,3.0,38362.71421411159,4,2,38362.71421411159
0,2037,2,0_2037_2,143.8287644037198,3.0,38362.71421411159,4,3,20867.129584397993
0,2037,2,0_2037_2,143.8287644037198,3.0,38362.71421411159,4,4,12028.2144329281
0,2038,0,0_2038_0,181.03458578652948,0.0,0.0,0,0,0
0,2039,1,0_2039_1,45.52517377215946,1.0,2812.5492224213067,1,1,2812.5492224213067
0,2040,0,0_2040_0,170.70820283619534,0.0,0.0,0,0,0
0,2041,0,0_2041_0,225.63811174923822,0.0,0.0,0,0,0
0,2042,1,0_2042_1,97.71820954373777,1.0,6071.239315623972,2,1,6071.239315623972
0,2042,1,0_2042_1,97.71820954373777,1.0,6071.239315623972,2,2,4665.859844414719
0,2043,1,0_2043_1,118.45237103473522,1.0,157254.88743240578,8,7,157254.88743240578
0,2043,1,0_2043_1,118.45237103473522,1.0,157254.88743240578,8,6,151448.55312720925
0,2043,1,0_2043_1,118.45237103473522,1.0,157254.88743240578,8,5,127255.49352222375
0,2043,1,0_2043_1,118.45237103473522,1.0,157254.88743240578,8,4,125803.90994592464
0,2043,1,0_2043_1,118.45237103473522,1.0,157254.88743240578,8,3,126287.77113802433
0,2043,1,0_2043_1,118.45237103473522,1.0,157254.88743240578,8,2,128223.21590642318
0,2043,1,0_2043_1,118.45237103473522,1.0,157254.88743240578,8,1,129674.79948272232
0,2043,1,0_2043_1,118.45237103473522,1.0,157254.88743240578,8,8,125803.90994592464
0,2044,0,0_2044_0,162.2889188518563,0.0,0.0,0,0,0
100,2025,1,100_2025_1,120.53653991555215,2.0,84974.94133771706,4,3,46221.52391053968
100,2025,1,100_2025_1,120.53653991555215,2.0,84974.94133771706,4,4,26642.974481184443
100,2025,1,100_2025_1,120.53653991555215,2.0,84974.94133771706,4,1,75589.34805457253
100,2025,1,100_2025_1,120.53653991555215,2.0,84974.94133771706,4,2,84974.94133771706
100,2025,2,100_2025_2,120.53653991555215,2.0,48514.76287959003,14,14,11167.549191150913
100,2025,2,100_2025_2,120.53653991555215,2.0,48514.76287959003,14,13,14317.943534887812
100,2025,2,100_2025_2,120.53653991555215,2.0,48514.76287959003,14,12,14702.961986582319
100,2025,2,100_2025_2,120.53653991555215,2.0,48514.76287959003,14,10,18325.50455769468
100,2025,2,100_2025_2,120.53653991555215,2.0,48514.76287959003,14,9,27269.793341587352
100,2025,2,100_2025_2,120.53653991555215,2.0,48514.76287959003,14,8,27612.573363634776
100,2025,2,100_2025_2,120.53653991555215,2.0,48514.76287959003,14,11,14444.262197728829
100,2025,2,100_2025_2,120.53653991555215,2.0,48514.76287959003,14,6,51907.431127158205
100,2025,2,100_2025_2,120.53653991555215,2.0,48514.76287959003,14,5,27338.47899924087
100,2025,2,100_2025_2,120.53653991555215,2.0,48514.76287959003,14,4,14106.92656328952
100,2025,2,100_2025_2,120.53653991555215,2.0,48514.76287959003,14,3,14678.992704768809
100,2025,2,100_2025_2,120.53653991555215,2.0,48514.76287959003,14,2,14323.640760386494
100,2025,2,100_2025_2,120.53653991555215,2.0,48514.76287959003,14,1,11350.623768055026
100,2025,2,100_2025_2,120.53653991555215,2.0,48514.76287959003,14,7,36535.176669585926
100,2027,1,100_2027_1,134.60551411196747,2.0,6390.244848976132,1,1,6390.244848976132
100,2027,2,100_2027_2,134.60551411196747,2.0,85161.7310596611,5,1,84139.79028694516
100,2027,2,100_2027_2,134.60551411196747,2.0,85161.7310596611,5,2,85161.7310596611
100,2027,2,100_2027_2,134.60551411196747,2.0,85161.7310596611,5,3,85161.7310596611
100,2027,2,100_2027_2,134.60551411196747,2.0,85161.7310596611,5,4,85161.7310596611
100,2027,2,100_2027_2,134.60551411196747,2.0,85161.7310596611,5,5,85161.7310596611
100,2028,1,100_2028_1,147.64658560442365,2.0,822.3658711055049,1,1,822.3658711055049
100,2029,1,100_2029_1,127.07813152878647,2.0,72049.99870422186,4,4,26847.899246153127
100,2029,1,100_2029_1,127.07813152878647,2.0,72049.99870422186,4,3,45592.61435619459
100,2029,1,100_2029_1,127.07813152878647,2.0,72049.99870422186,4,2,72049.99870422186
100,2029,1,100_2029_1,127.07813152878647,2.0,72049.99870422186,4,1,37489.43022008292
100,2029,2,100_2029_2,127.07813152878647,2.0,89063.77786426485,1,1,89063.77786426485
100,2030,1,100_2030_1,138.27893497286703,1.0,82277.94372549409,2,1,82277.94372549409
100,2030,1,100_2030_1,138.27893497286703,1.0,82277.94372549409,2,2,70920.55885541055
100,2032,0,100_2032_0,136.4353278876367,0.0,0.0,0,0,0
100,2033,1,100_2033_1,171.2488669654301,1.0,117383.58933666315,6,1,117047.24667380739
100,2033,1,100_2033_1,171.2488669654301,1.0,117383.58933666315,6,2,117383.58933666315
100,2033,1,100_2033_1,171.2488669654301,1.0,117383.58933666315,6,3,108975.02276526895
100,2033,1,100_2033_1,171.2488669654301,1.0,117383.58933666315,6,4,93166.91761104783
100,2033,1,100_2033_1,171.2488669654301,1.0,117383.58933666315,6,5,84758.35103965361
100,2033,1,100_2033_1,171.2488669654301,1.0,117383.58933666315,6,6,83749.32305108632
100,2034,1,100_2034_1,128.5283846378041,2.0,43581.570956605436,10,10,21725.931950093483
100,2034,1,100_2034_1,128.5283846378041,2.0,43581.570956605436,10,9,25012.383322746406
100,2034,1,100_2034_1,128.5283846378041,2.0,43581.570956605436,10,8,26400.32476539048
100,2034,1,100_2034_1,128.5283846378041,2.0,43581.570956605436,10,7,21590.207556006113
100,2034,1,100_2034_1,128.5283846378041,2.0,43581.570956605436,10,1,18483.25553963177
100,2034,1,100_2034_1,128.5283846378041,2.0,43581.570956605436,10,5,26060.59418986823
100,2034,1,100_2034_1,128.5283846378041,2.0,43581.570956605436,10,4,43003.88177768477
100,2034,1,100_2034_1,128.5283846378041,2.0,43581.570956605436,10,3,42835.66779558937
100,2034,1,100_2034_1,128.5283846378041,2.0,43581.570956605436,10,2,35245.71850780569
100,2034,1,100_2034_1,128.5283846378041,2.0,43581.570956605436,10,6,14806.861242724002
100,2034,2,100_2034_2,128.5283846378041,2.0,149068.43828925918,5,5,118894.46437572334
100,2034,2,100_2034_2,128.5283846378041,2.0,149068.43828925918,5,4,134656.9880618988
100,2034,2,100_2034_2,128.5283846378041,2.0,149068.43828925918,5,1,117543.39091690829
100,2034,2,100_2034_2,128.5283846378041,2.0,149068.43828925918,5,2,149068.43828925918
100,2034,2,100_2034_2,128.5283846378041,2.0,149068.43828925918,5,3,135107.3458815038
100,2035,1,100_2035_1,143.53572015017414,2.0,102962.03308651382,3,1,88621.91705775145
100,2035,1,100_2035_1,143.53572015017414,2.0,102962.03308651382,3,2,102962.03308651382
100,2035,1,100_2035_1,143.53572015017414,2.0,102962.03308651382,3,3,88621.91705775145
100,2035,2,100_2035_2,143.53572015017414,2.0,8027.007737118303,2,1,8027.007737118303
100,2035,2,100_2035_2,143.53572015017414,2.0,8027.007737118303,2,2,6676.184428606485
100,2036,1,100_2036_1,191.13846170199477,1.0,27829.04301755265,3,1,26869.420844533593
100,2036,1,100_2036_1,191.13846170199477,1.0,27829.04301755265,3,2,27829.04301755265
100,2036,1,100_2036_1,191.13846170199477,1.0,27829.04301755265,3,3,24426.746222303267
100,2037,0,100_2037_0,184.45733267289327,0.0,0.0,0,0,0
100,2038,0,100_2038_0,156.6864958886887,0.0,0.0,0,0,0
100,2039,1,100_2039_1,216.67681148839742,1.0,15932.310263999647,1,1,15932.310263999647
100,2040,1,100_2040_1,151.17066646317113,2.0,43007.76199888784,3,2,37817.17003350483
100,2040,1,100_2040_1,151.17066646317113,2.0,43007.76199888784,3,3,18414.242924811173
100,2040,1,100_2040_1,151.17066646317113,2.0,43007.76199888784,3,1,43007.76199888784
100,2040,2,100_2040_2,151.17066646317113,2.0,114076.06520242982,3,2,114076.06520242982
100,2040,2,100_2040_2,151.17066646317113,2.0,114076.06520242982,3,3,100129.46161968762
100,2040,2,100_2040_2,151.17066646317113,2.0,114076.06520242982,3,1,110142.40778165638
100,2041,0,100_2041_0,-26.275334232082827,0.0,0.0,0,0,0
100,2042,1,100_2042_1,197.478917125599,1.0,8087.293992239326,2,1,8087.293992239326
100,2042,1,100_2042_1,197.478917125599,1.0,8087.293992239326,2,2,3946.690721177443
100,2043,1,100_2043_1,266.9026353954421,3.0,110309.54741891904,4,4,73741.73041740924
100,2043,1,100_2043_1,266.9026353954421,3.0,110309.54741891904,4,3,110309.54741891904
100,2043,1,100_2043_1,266.9026353954421,3.0,110309.54741891904,4,2,60003.54502457684
100,2043,1,100_2043_1,266.9026353954421,3.0,110309.54741891904,4,1,58589.320057667624
100,2043,2,100_2043_2,266.9026353954421,3.0,60638.02237720916,7,1,49666.83984441338
100,2043,2,100_2043_2,266.9026353954421,3.0,60638.02237720916,7,2,60638.02237720916
100,2043,2,100_2043_2,266.9026353954421,3.0,60638.02237720916,7,3,50852.91363174265
100,2043,2,100_2043_2,266.9026353954421,3.0,60638.02237720916,7,4,39881.73109894685
100,2043,2,100_2043_2,266.9026353954421,3.0,60638.02237720916,7,5,39436.953428698376
100,2043,2,100_2043_2,266.9026353954421,3.0,60638.02237720916,7,6,39585.21265211454
100,2043,2,100_2043_2,266.9026353954421,3.0,60638.02237720916,7,7,36026.991290126716
100,2043,3,100_2043_3,266.9026353954421,3.0,50346.33777672725,4,4,33656.43459433231
100,2043,3,100_2043_3,266.9026353954421,3.0,50346.33777672725,4,3,50346.33777672725
100,2043,3,100_2043_3,266.9026353954421,3.0,50346.33777672725,4,2,27386.19472470328
100,2043,3,100_2043_3,266.9026353954421,3.0,50346.33777672725,4,1,26740.72885577088
100,2044,1,100_2044_1,121.69784298568553,1.0,51811.437813464836,3,1,44595.360123567225
100,2044,1,100_2044_1,121.69784298568553,1.0,51811.437813464836,3,2,51811.437813464836
100,2044,1,100_2044_1,121.69784298568553,1.0,51811.437813464836,3,3,44595.360123567225
